method,cell_macro_auroc,equal_family_auroc,delta_vs_global_lr,delta_ci_low,delta_ci_high,family_wins_vs_global_lr
iu_pcr,0.7745527668742732,0.7424111962586284,-0.008165076340208244,-0.018443652732610196,0.003032902984868636,2
fixed_expert_cv,0.7669129602273607,0.7360732108639096,-0.014503061734927138,-0.02332191981393176,-0.004984739303795198,1
global_lr,0.7867161709453775,0.7505762725988367,0.0,0.0,0.0,0
context_only_lr,0.7745527668742732,0.7424111962586284,-0.008165076340208244,-0.018310623440287017,0.002837846615454412,2
augmented_lr,0.7893656477806612,0.7522509382521456,0.0016746656533089656,0.0002535715057529306,0.0031643257303627134,6
context_core_only_lr,0.777915109513932,0.7439831836502135,-0.0065930889486230625,-0.01068354826704733,-0.002223140624061766,2
augmented_core_lr,0.7879437565816504,0.750625841752355,4.956915351830068e-05,-0.007193577144797597,0.006188941545801981,6
quartile_router_cv,0.7587951251781071,0.7379793345257312,-0.012596938073105534,-0.02784209767067875,0.003748625753931256,1
cstg_iu_rank,0.7815317151293143,0.7463678912342591,-0.004208381364577712,-0.01398276088942266,0.004136292986018941,3
cstg_core,0.785586535793929,0.7562906055156062,0.0057143329167695395,-0.00514409651601966,0.01921001169985916,4
cstg_iu_rank_permuted,0.7808999487349241,0.7451723187145215,-0.005403953884315199,-0.01132387737106311,-0.0007143649892646653,1
cstg_core_permuted,0.7766595229283145,0.7415285738617764,-0.009047698737060312,-0.01484178928085056,-0.004652257311225162,0
