cell,family,method,auroc,auprc
epr_triviaqa_mistral24b,triviaqa,iu_pcr,0.7435902318064074,0.8949946033990293
epr_triviaqa_mistral24b,triviaqa,fixed_expert_cv,0.7278307909166722,0.8785252341450116
epr_triviaqa_mistral24b,triviaqa,global_lr,0.7358334624836717,0.8753307549027263
epr_triviaqa_mistral24b,triviaqa,context_only_lr,0.7435902318064074,0.8949946033990293
epr_triviaqa_mistral24b,triviaqa,augmented_lr,0.7470313872222345,0.8850111944797842
epr_triviaqa_mistral24b,triviaqa,context_core_only_lr,0.7478291673124183,0.9019730828322519
epr_triviaqa_mistral24b,triviaqa,augmented_core_lr,0.75221872901307,0.9027217032532084
epr_triviaqa_mistral24b,triviaqa,quartile_router_cv,0.7319574394284912,0.869285268597354
epr_triviaqa_mistral24b,triviaqa,cstg_iu_rank,0.7549668268130862,0.8999319945797349
epr_triviaqa_mistral24b,triviaqa,cstg_core,0.7529455133172449,0.8963637595768127
epr_triviaqa_mistral24b,triviaqa,cstg_iu_rank_permuted,0.7424188013372595,0.8857958330681452
epr_triviaqa_mistral24b,triviaqa,cstg_core_permuted,0.732456365635678,0.8765719607021556
losnet_hotpotqa_mistral7b,hotpotqa,iu_pcr,0.5701173277995052,0.43612824434328906
losnet_hotpotqa_mistral7b,hotpotqa,fixed_expert_cv,0.5685283475669779,0.4357889919196283
losnet_hotpotqa_mistral7b,hotpotqa,global_lr,0.5569811370952722,0.4214595792935327
losnet_hotpotqa_mistral7b,hotpotqa,context_only_lr,0.5701173277995052,0.43612824434328906
losnet_hotpotqa_mistral7b,hotpotqa,augmented_lr,0.5561710165748797,0.42546165053812235
losnet_hotpotqa_mistral7b,hotpotqa,context_core_only_lr,0.5589232979487588,0.4038442866352211
losnet_hotpotqa_mistral7b,hotpotqa,augmented_core_lr,0.5524157288424189,0.4132479500553107
losnet_hotpotqa_mistral7b,hotpotqa,quartile_router_cv,0.5914857530529173,0.456126238958789
losnet_hotpotqa_mistral7b,hotpotqa,cstg_iu_rank,0.5231429749647485,0.39602696672987137
losnet_hotpotqa_mistral7b,hotpotqa,cstg_core,0.5555870380716738,0.4168299194377211
losnet_hotpotqa_mistral7b,hotpotqa,cstg_iu_rank_permuted,0.5339864846888551,0.39493172796681614
losnet_hotpotqa_mistral7b,hotpotqa,cstg_core_permuted,0.5520432596376407,0.40706894152398065
sciq_llama8b,sciq,iu_pcr,0.7473310165617859,0.8537891599472491
sciq_llama8b,sciq,fixed_expert_cv,0.7053645784415015,0.8315025824803846
