domain,group,cell,n,n_correct,method,selector_type,actuator,geometry_id,lambda,trust_factor,auroc,auprc,delta_vs_iu_pp,family_nrm_delta_pp
processbench_qwen,omnimath,qwen3_4b__omnimath,1000,241,supervised_one_se,supervised_donor_label,full,contribution_union_k7,0.1,1.0,0.8413286755339795,0.6814412401835214,1.250280178658325,1.1015804809779262
processbench_qwen,omnimath,qwen3_4b__omnimath,1000,241,supervised_max_mean,supervised_donor_label_sensitivity,full,contribution_union_k7,3.0,1.0,0.8408475882767783,0.6778797975228181,1.2021714529382055,1.1015804809779262
processbench_qwen,omnimath,qwen3_4b__omnimath,1000,241,canonical_cross,frozen_canonical_matched_cross_actuator,cross,residual_union_k7,,0.5,0.8334290040947085,0.6599559261345431,0.4603130347312301,1.1015804809779262
processbench_qwen,omnimath,qwen3_4b__omnimath,1000,241,label_free_cross,intrinsic_label_free_geometry_matched_cross_actuator,cross,residual_adaptive_k7,,0.5,0.8348285306611124,0.6622983073604554,0.6002656913716153,1.1015804809779262
processbench_qwen,omnimath,qwen3_4b__omnimath,1000,241,supervised_one_se_cross,supervised_donor_label_matched_cross_actuator,cross,contribution_union_k7,,1.0,0.8410115952962787,0.6813371761507698,1.2185721548882422,1.1015804809779262
processbench_qwen,omnimath,qwen3_4b__omnimath,1000,241,supervised_max_mean_cross,supervised_donor_label_sensitivity_matched_cross_actuator,cross,contribution_union_k7,,1.0,0.8410115952962787,0.6813371761507698,1.2185721548882422,1.1015804809779262
processbench_qwen,gsm8k,qwen3_8b__gsm8k,400,193,iu,baseline,none,none,,,0.7528972991915097,0.7026884792552938,0.0,0.32790167955745186
processbench_qwen,gsm8k,qwen3_8b__gsm8k,400,193,canonical,frozen_canonical,full,residual_union_k7,0.03,0.5,0.751770919376236,0.7032994926640908,-0.11263798152737481,0.32790167955745186
processbench_qwen,gsm8k,qwen3_8b__gsm8k,400,193,label_free,intrinsic_label_free_geometry,full,residual_adaptive_k7,0.03,0.5,0.7544492002703311,0.7060985843802744,0.1551901078821416,0.32790167955745186
processbench_qwen,gsm8k,qwen3_8b__gsm8k,400,193,supervised_one_se,supervised_donor_label,full,contribution_union_k7,0.1,1.0,0.7581537383294535,0.7039273657911993,0.5256439137943825,0.32790167955745186
processbench_qwen,gsm8k,qwen3_8b__gsm8k,400,193,supervised_max_mean,supervised_donor_label_sensitivity,full,contribution_union_k7,3.0,1.0,0.7540236790067834,0.7013179604589899,0.1126379815273637,0.32790167955745186
processbench_qwen,gsm8k,qwen3_8b__gsm8k,400,193,canonical_cross,frozen_canonical_matched_cross_actuator,cross,residual_union_k7,,0.5,0.7517709193762359,0.703455297055953,-0.11263798152738591,0.32790167955745186
processbench_qwen,gsm8k,qwen3_8b__gsm8k,400,193,label_free_cross,intrinsic_label_free_geometry_matched_cross_actuator,cross,residual_adaptive_k7,,0.5,0.7543490776200846,0.7059467964106866,0.14517784285749125,0.32790167955745186
processbench_qwen,gsm8k,qwen3_8b__gsm8k,400,193,supervised_one_se_cross,supervised_donor_label_matched_cross_actuator,cross,contribution_union_k7,,1.0,0.758679382243248,0.7044461783231774,0.5782083051738329,0.32790167955745186
processbench_qwen,gsm8k,qwen3_8b__gsm8k,400,193,supervised_max_mean_cross,supervised_donor_label_sensitivity_matched_cross_actuator,cross,contribution_union_k7,,1.0,0.758679382243248,0.7044461783231774,0.5782083051738329,0.32790167955745186
processbench_qwen,math,qwen3_8b__math,1000,406,iu,baseline,none,none,,,0.7929873447114826,0.6922963220328945,0.0,0.33918827022275666
processbench_qwen,math,qwen3_8b__math,1000,406,canonical,frozen_canonical,full,residual_union_k7,0.03,0.5,0.7929914912673534,0.6897651425243955,0.00041465558707765027,0.33918827022275666
