acc_correct,acc_correct_sd,acc_erroneous,acc_erroneous_sd,cal_f1,cal_f1_sd,f1,f1_sd,model,n,n_splits,sla,sla_sd,sla_tol1,sla_tol1_sd,split,subset,system,tau,tau_sd
0.5828899530048915,0.138993629362727,0.2227978223032493,0.040229810701288796,0.33688105358940157,0.033378799092758205,0.3122149130912413,0.03428701481082657,qwen3_4b,400,100,0.2227978223032493,0.040229810701288796,0.474564039957045,0.055395521145476766,development,gsm8k,global_dufs__local_iu_core,-0.142078110228394,0.08181167107785012
0.6216058898276292,0.10813975395490102,0.24462347053582412,0.040235190447023665,0.366573990496616,0.03456052827416734,0.34365329366830855,0.03364735506602483,qwen3_4b,400,100,0.24462347053582412,0.040235190447023665,0.48278639065890744,0.05250280667192997,development,gsm8k,global_dufs__local_temporal_core,-0.1188681000183664,0.06253018416836292
0.587942739056703,0.13315409437508346,0.22627381775231292,0.04060978726587415,0.34155518288885206,0.033765170972264016,0.3169373212332383,0.034183931153786894,qwen3_4b,400,100,0.22627381775231292,0.04060978726587415,0.4739940189503114,0.05370168790454119,development,gsm8k,global_dufs__local_dufs_core,-0.1395118389964751,0.0778825269893816
0.5424536083748352,0.13937422067477173,0.21444730470606768,0.04074301653275547,0.32518405706137554,0.02393496822666529,0.2957062580550844,0.03173087808246123,qwen3_4b,400,100,0.21444730470606768,0.04074301653275547,0.40055636670143,0.05858578088943969,development,gsm8k,global_dufs__hmm_reversible,-0.16630583735730642,0.08144318738804908
0.5699553190477742,0.1354948889610713,0.11525373479570054,0.025504841630707698,0.20448799976319593,0.02970712327689666,0.18716585092427224,0.030462561467813027,qwen3_4b,400,100,0.11525373479570054,0.025504841630707698,0.33726676523817184,0.05496124054205274,development,gsm8k,global_dufs__hmm_absorbing,-0.15516875135336322,0.08815251105482967
0.49466797527605266,0.10717543575485766,0.21657165221065366,0.04123621818171798,0.3204971053796413,0.031308995418533034,0.29263009674615503,0.03092139904125723,qwen3_4b,400,100,0.21657165221065366,0.04123621818171798,0.43596881213882555,0.06350449479391446,development,gsm8k,mindgap_control,0.41713860663479274,0.01602254862463672
0.6338969227237825,0.05769017024211915,0.2302769981253735,0.020523187013673817,0.3500104061255878,0.01799704150906865,0.3361805587284131,0.018950605261923326,qwen3_4b,1000,100,0.2302769981253735,0.020523187013673817,0.44001238140699805,0.028924806779325213,development,math,global_dufs__local_iu_core,-0.15335271775138484,0.03102269170678501
0.5912858142357629,0.05769692982087077,0.2205654609532247,0.020933457509844548,0.3329781349213809,0.01785923376379211,0.31942935472516293,0.018337266886526284,qwen3_4b,1000,100,0.2205654609532247,0.020933457509844548,0.46043061858625545,0.0289286039355603,development,math,global_dufs__local_temporal_core,-0.17932798800106575,0.02803406768896006
0.6338969227237825,0.05769017024211915,0.2302769981253735,0.020523187013673817,0.3500104061255878,0.01799704150906865,0.3361805587284131,0.018950605261923326,qwen3_4b,1000,100,0.2302769981253735,0.020523187013673817,0.44001238140699805,0.028924806779325213,development,math,global_dufs__local_dufs_core,-0.15335271775138484,0.03102269170678501
0.5916371945709232,0.04707359079809874,0.21766834010616173,0.020384146455355988,0.3295570881595991,0.018094901343569947,0.3168315879505751,0.01956679822773773,qwen3_4b,1000,100,0.21766834010616173,0.020384146455355988,0.46330954654504436,0.025846825356301607,development,math,global_dufs__hmm_reversible,-0.17783726732831964,0.024282828686205345
0.3599147548999253,0.21885609229852343,0.046377201433766946,0.011261697567735122,0.08680831819303206,0.012855792738853017,0.07732929391194004,0.014181375326369433,qwen3_4b,1000,100,0.046377201433766946,0.011261697567735122,0.2063521653152065,0.03883555165079857,development,math,global_dufs__hmm_absorbing,-0.33292000612928846,0.1455936786339554
0.5267662831890604,0.05074414018076552,0.19211343515375365,0.020043944648406673,0.2874065395231511,0.017044474961487664,0.2798690879746035,0.019048208100363714,qwen3_4b,1000,100,0.19211343515375365,0.020043944648406673,0.41957731121161246,0.027175508024689723,development,math,mindgap_control,0.49361447441160544,0.009547508326956191
0.5928566751910566,0.08507133277748224,0.21280866845648533,0.02034053472449046,0.3205768138838188,0.017504939126171733,0.3101559687448459,0.017108026683374734,qwen3_4b,1000,100,0.21280866845648533,0.02034053472449046,0.45879650797753657,0.030878649720776006,nonselection,olympiadbench,global_dufs__local_iu_core,-0.20243716528383832,0.03497292376412427
0.5575407254204382,0.08408668642128746,0.2082313725092415,0.02267720930733997,0.30825583511036053,0.01808975021783794,0.29983402397951603,0.018566436248301676,qwen3_4b,1000,100,0.2082313725092415,0.02267720930733997,0.4512818746740358,0.030607119573804856,nonselection,olympiadbench,global_dufs__local_temporal_core,-0.21898288714282446,0.035261441769302404
0.5928566751910566,0.08507133277748224,0.21280866845648533,0.02034053472449046,0.3205768138838188,0.017504939126171733,0.3101559687448459,0.017108026683374734,qwen3_4b,1000,100,0.21280866845648533,0.02034053472449046,0.45879650797753657,0.030878649720776006,nonselection,olympiadbench,global_dufs__local_dufs_core,-0.20243716528383832,0.03497292376412427
