acc_correct,acc_erroneous,cal_f1,f1,method,model,sla,sla_tol1,split_index,subset,tau
0.6382978723404256,0.2169811320754717,0.34077841662980984,0.3238676367049988,global_dufs__local_iu_core,qwen3_4b,0.2169811320754717,0.44339622641509435,0,gsm8k,-0.09716522010786527
0.7083333333333334,0.25961538461538464,0.2830808080808081,0.3799668874172185,global_dufs__local_iu_core,qwen3_4b,0.25961538461538464,0.5096153846153846,1,gsm8k,-0.09460485294992675
0.3076923076923077,0.3125,0.3037974683544304,0.31007751937984496,global_dufs__local_iu_core,qwen3_4b,0.3125,0.6041666666666666,2,gsm8k,-0.2975808514676882
0.6363636363636364,0.16831683168316833,0.3837368661489265,0.2662192393736018,global_dufs__local_iu_core,qwen3_4b,0.16831683168316833,0.504950495049505,3,gsm8k,-0.13739495976852653
0.7422680412371134,0.23300970873786409,0.2921792618629174,0.35467980295566504,global_dufs__local_iu_core,qwen3_4b,0.23300970873786409,0.4563106796116505,4,gsm8k,-0.035488597279622544
0.6288659793814433,0.21359223300970873,0.34392789373814037,0.3188784602589996,global_dufs__local_iu_core,qwen3_4b,0.21359223300970873,0.5242718446601942,5,gsm8k,-0.13739495976852653
0.5959595959595959,0.19801980198019803,0.3641267700606878,0.29726665826930343,global_dufs__local_iu_core,qwen3_4b,0.19801980198019803,0.4752475247524752,6,gsm8k,-0.13739495976852653
0.5894736842105263,0.22857142857142856,0.3338709677419355,0.3294117647058824,global_dufs__local_iu_core,qwen3_4b,0.22857142857142856,0.49523809523809526,7,gsm8k,-0.13739495976852653
0.40625,0.27884615384615385,0.3037769053743062,0.3307017543859649,global_dufs__local_iu_core,qwen3_4b,0.27884615384615385,0.5384615384615384,8,gsm8k,-0.22627682774439517
0.6666666666666666,0.19230769230769232,0.3635556542004217,0.29850746268656714,global_dufs__local_iu_core,qwen3_4b,0.19230769230769232,0.4326923076923077,9,gsm8k,-0.09460485294992675
0.41836734693877553,0.2549019607843137,0.3278688524590164,0.31679049034175333,global_dufs__local_iu_core,qwen3_4b,0.2549019607843137,0.5098039215686274,10,gsm8k,-0.22468088111464452
0.7362637362637363,0.21100917431192662,0.31948881789137384,0.3280119199659429,global_dufs__local_iu_core,qwen3_4b,0.21100917431192662,0.3944954128440367,11,gsm8k,-0.035488597279622544
0.44680851063829785,0.2358490566037736,0.33939062713485446,0.30873272566892096,global_dufs__local_iu_core,qwen3_4b,0.2358490566037736,0.5283018867924528,12,gsm8k,-0.2355744662936963
0.7415730337078652,0.1981981981981982,0.33670886075949363,0.3127962085308057,global_dufs__local_iu_core,qwen3_4b,0.1981981981981982,0.38738738738738737,13,gsm8k,-0.03537568467466615
0.45544554455445546,0.29292929292929293,0.2904389657245941,0.3565414940531872,global_dufs__local_iu_core,qwen3_4b,0.29292929292929293,0.5151515151515151,14,gsm8k,-0.2355744662936963
0.6129032258064516,0.24299065420560748,0.3137349397590361,0.3480098626276858,global_dufs__local_iu_core,qwen3_4b,0.24299065420560748,0.4392523364485981,15,gsm8k,-0.13902321213063068
0.43,0.21,0.36243180046765394,0.2821875,global_dufs__local_iu_core,qwen3_4b,0.21,0.52,16,gsm8k,-0.23577434261695682
0.7052631578947368,0.1619047619047619,0.38114104595879555,0.2633526011560694,global_dufs__local_iu_core,qwen3_4b,0.1619047619047619,0.42857142857142855,17,gsm8k,-0.03857580716423444
0.3148148148148148,0.2717391304347826,0.3241749808135073,0.2916952642415923,global_dufs__local_iu_core,qwen3_4b,0.2717391304347826,0.6086956521739131,18,gsm8k,-0.2981501572271793
0.8152173913043478,0.19444444444444445,0.31182917184498926,0.3139952153110047,global_dufs__local_iu_core,qwen3_4b,0.19444444444444445,0.4166666666666667,19,gsm8k,-0.02626079466827742
0.5729166666666666,0.20192307692307693,0.3651525126179504,0.29860392967942084,global_dufs__local_iu_core,qwen3_4b,0.20192307692307693,0.4807692307692308,20,gsm8k,-0.13902321213063068
0.39,0.27,0.31837690206788916,0.3190909090909091,global_dufs__local_iu_core,qwen3_4b,0.27,0.56,21,gsm8k,-0.2267788947986009
