candidate,exact,mapped_fraction,mean_normalized_token_distance,mean_signed_step_error,median_absolute_step_error,model,split,subset,tol1
local_iu_core,0.2946859903381642,1.0,0.30990417444041635,-0.2463768115942029,1.0,qwen3_4b,development,gsm8k,0.6280193236714976
local_temporal_core,0.3333333333333333,1.0,0.2931521660439351,-0.15942028985507245,1.0,qwen3_4b,development,gsm8k,0.6521739130434783
local_dufs_core,0.2995169082125604,1.0,0.3076268400841965,-0.22705314009661837,1.0,qwen3_4b,development,gsm8k,0.6280193236714976
local_hmm_reversible_core_iu,0.2995169082125604,1.0,0.30752006086906525,-0.927536231884058,1.0,qwen3_4b,development,gsm8k,0.5458937198067633
local_hmm_absorbing_core_iu,0.13526570048309178,1.0,0.5327737458582483,1.6231884057971016,2.0,qwen3_4b,development,gsm8k,0.42995169082125606
mindgap_locator,0.28019323671497587,1.0,nan,0.19806763285024154,1.0,qwen3_4b,development,gsm8k,0.6038647342995169
local_iu_core,0.2895622895622896,0.9983164983164983,0.3046158882822567,0.33895446880269814,1.0,qwen3_4b,development,math,0.5841750841750841
local_temporal_core,0.27104377104377103,0.9983164983164983,0.3000860856399971,0.22259696458684655,1.0,qwen3_4b,development,math,0.5858585858585859
local_dufs_core,0.2895622895622896,0.9983164983164983,0.30497912253139486,0.3406408094435076,1.0,qwen3_4b,development,math,0.5841750841750841
local_hmm_reversible_core_iu,0.26262626262626265,0.9949494949494949,0.3116597054341482,0.24196277495769883,1.0,qwen3_4b,development,math,0.5841750841750841
local_hmm_absorbing_core_iu,0.05723905723905724,1.0,0.6435730932625363,3.2962962962962963,3.0,qwen3_4b,development,math,0.24915824915824916
mindgap_locator,0.23737373737373738,1.0,nan,0.8484848484848485,1.0,qwen3_4b,development,math,0.5454545454545454
local_iu_core,0.24508320726172467,1.0,0.270537783836544,-0.06656580937972768,1.0,qwen3_4b,nonselection,olympiadbench,0.5264750378214826
local_temporal_core,0.23903177004538578,1.0,0.27434413439627525,-0.07866868381240545,1.0,qwen3_4b,nonselection,olympiadbench,0.5113464447806354
local_dufs_core,0.24659606656580937,1.0,0.27100072387273555,-0.06505295007564296,1.0,qwen3_4b,nonselection,olympiadbench,0.5264750378214826
local_hmm_reversible_core_iu,0.2118003025718608,1.0,0.2991052601590403,-0.4357034795763994,2.0,qwen3_4b,nonselection,olympiadbench,0.43872919818456885
local_hmm_absorbing_core_iu,0.13313161875945537,1.0,0.39956800241611007,1.178517397881997,2.0,qwen3_4b,nonselection,olympiadbench,0.3177004538577912
mindgap_locator,0.18608169440242056,1.0,nan,0.913767019667171,2.0,qwen3_4b,nonselection,olympiadbench,0.44175491679273826
local_iu_core,0.2318840579710145,1.0,0.27560604893012264,0.37549407114624506,1.0,qwen3_4b,nonselection,omnimath,0.525691699604743
local_temporal_core,0.22793148880105402,1.0,0.2724515780166473,0.31357048748353095,1.0,qwen3_4b,nonselection,omnimath,0.530961791831357
local_dufs_core,0.2318840579710145,1.0,0.2761381755767951,0.37285902503293805,1.0,qwen3_4b,nonselection,omnimath,0.5230566534914362
local_hmm_reversible_core_iu,0.2766798418972332,1.0,0.27192894548590274,0.22529644268774704,1.0,qwen3_4b,nonselection,omnimath,0.541501976284585
local_hmm_absorbing_core_iu,0.030303030303030304,1.0,0.6411037522999795,4.27536231884058,4.0,qwen3_4b,nonselection,omnimath,0.14888010540184454
mindgap_locator,0.21739130434782608,1.0,nan,1.160737812911726,2.0,qwen3_4b,nonselection,omnimath,0.4453227931488801
local_iu_core,0.30434782608695654,1.0,0.3114574273816837,-0.21739130434782608,1.0,qwen3_8b,nonselection,gsm8k,0.6328502415458938
local_temporal_core,0.30917874396135264,1.0,0.30892434556994297,-0.178743961352657,1.0,qwen3_8b,nonselection,gsm8k,0.6231884057971014
local_dufs_core,0.30434782608695654,1.0,0.3114574273816837,-0.21739130434782608,1.0,qwen3_8b,nonselection,gsm8k,0.6328502415458938
local_hmm_reversible_core_iu,0.20772946859903382,1.0,0.3396750768702187,-1.3429951690821256,2.0,qwen3_8b,nonselection,gsm8k,0.4782608695652174
local_hmm_absorbing_core_iu,0.12077294685990338,1.0,0.5555668030574064,1.748792270531401,2.0,qwen3_8b,nonselection,gsm8k,0.3961352657004831
mindgap_locator,0.22705314009661837,1.0,nan,0.06280193236714976,1.0,qwen3_8b,nonselection,gsm8k,0.5362318840579711
local_iu_core,0.29292929292929293,0.9983164983164983,0.29584986938824004,0.36930860033726814,1.0,qwen3_8b,nonselection,math,0.6043771043771043
local_temporal_core,0.29292929292929293,0.9983164983164983,0.2892823851473847,0.209106239460371,1.0,qwen3_8b,nonselection,math,0.6077441077441077
local_dufs_core,0.29292929292929293,0.9983164983164983,0.2958847077382957,0.37099494097807756,1.0,qwen3_8b,nonselection,math,0.6043771043771043
local_hmm_reversible_core_iu,0.265993265993266,0.9949494949494949,0.3075793220322238,0.13705583756345177,1.0,qwen3_8b,nonselection,math,0.5959595959595959
local_hmm_absorbing_core_iu,0.05555555555555555,1.0,0.6437772771740676,3.291245791245791,3.0,qwen3_8b,nonselection,math,0.2474747474747475
mindgap_locator,0.24579124579124578,1.0,nan,0.8434343434343434,1.0,qwen3_8b,nonselection,math,0.5168350168350169
local_iu_core,0.2481089258698941,1.0,0.2689434417542124,0.059001512859304085,1.0,qwen3_8b,nonselection,olympiadbench,0.5491679273827534
local_temporal_core,0.23903177004538578,1.0,0.2697037576636164,-0.06354009077155824,1.0,qwen3_8b,nonselection,olympiadbench,0.5416036308623298
local_dufs_core,0.2481089258698941,1.0,0.26715821065089124,0.08925869894099848,1.0,qwen3_8b,nonselection,olympiadbench,0.5521936459909228
local_hmm_reversible_core_iu,0.21633888048411498,1.0,0.2969290261190966,-0.4069591527987897,2.0,qwen3_8b,nonselection,olympiadbench,0.46142208774583965
local_hmm_absorbing_core_iu,0.13161875945537066,1.0,0.40880024855439273,1.313161875945537,2.0,qwen3_8b,nonselection,olympiadbench,0.3071104387291982
mindgap_locator,0.18456883509833585,1.0,nan,1.033282904689864,2.0,qwen3_8b,nonselection,olympiadbench,0.44780635400907715
local_iu_core,0.22266139657444006,1.0,0.28157624226328953,0.43478260869565216,1.0,qwen3_8b,nonselection,omnimath,0.5164690382081687
local_temporal_core,0.2002635046113307,1.0,0.27707274037927343,0.3333333333333333,1.0,qwen3_8b,nonselection,omnimath,0.5217391304347826
local_dufs_core,0.22266139657444006,1.0,0.28157624226328953,0.43478260869565216,1.0,qwen3_8b,nonselection,omnimath,0.5164690382081687
local_hmm_reversible_core_iu,0.2753623188405797,1.0,0.28016146268950803,0.20816864295125165,1.0,qwen3_8b,nonselection,omnimath,0.5349143610013175
local_hmm_absorbing_core_iu,0.034255599472990776,1.0,0.6305081477172058,4.144927536231884,4.0,qwen3_8b,nonselection,omnimath,0.16205533596837945
mindgap_locator,0.2015810276679842,1.0,nan,1.2015810276679841,2.0,qwen3_8b,nonselection,omnimath,0.43741765480895917
