gate_id,variant_id,metric_id,observed,threshold,direction,passed,unit,status,evidence_status
P3D_NO_PRUNE_ALIAS,P3D0_H2_VIEW_FULLPOOL_IU,max_abs_error,0.0,1e-12,le,true,fraction,PASS,DEVELOPMENT
P3D_H0_ABSTENTION_ALIAS,P3D1_H2_VIEW_DEPLOYED_UPCR,mismatches,0,0,eq,true,fraction,PASS,DEVELOPMENT
P3D_PRIMARY_PRACTICAL,P3D1_H2_VIEW_DEPLOYED_UPCR,macro_f1_ci_low,-0.008682760918677849,0.003,gt,false,fraction,FAIL,DEVELOPMENT
P3D_H2_SYSTEM_PRACTICAL,P3D1_H2_VIEW_DEPLOYED_UPCR,macro_f1_ci_low,-0.017884728561707943,0.003,gt,false,fraction,FAIL,DEVELOPMENT
P3D_EXACT_FLOOR,P3D1_H2_VIEW_DEPLOYED_UPCR,first_error_exact,0.0035956292739493523,-0.01,ge,true,fraction,PASS,DEVELOPMENT
P3D_CLEAN_FLOOR,P3D1_H2_VIEW_DEPLOYED_UPCR,clean_abstention_accuracy,0.0,-0.01,ge,true,fraction,PASS,DEVELOPMENT
P3D_WORST_CELL_FLOOR,P3D1_H2_VIEW_DEPLOYED_UPCR,worst_cell_delta,-0.0057299514326158985,-0.02,ge,true,fraction,PASS,DEVELOPMENT
P3D_MASK_STABILITY,P3D1_H2_VIEW_DEPLOYED_UPCR,minimum_cell_mean_pairwise_jaccard,0.9571428571428571,0.6,ge,true,fraction,PASS,DEVELOPMENT
P3D_REFIT_BEATS_EQUAL_MASK,P3D1_H2_VIEW_DEPLOYED_UPCR,macro_f1_ci_low,-0.006004795733216696,0.0,gt,false,fraction,FAIL,DEVELOPMENT
P3D_RHO_MASK_BEATS_RANDOM,P3D2_H2_VIEW_MASK_EQUAL_CONTROL,macro_f1_ci_low,-0.009545127107861626,0.0,gt,false,fraction,FAIL,DEVELOPMENT
