domain,n_cells,n_groups,current_delta_vs_iu_pp,primary_delta_vs_iu_pp,primary_minus_current_pp,nrm_reference_pp
processbench_llama,4,4,0.5879929777481585,0.5600702767775578,-0.027922700970600678,1.58
processbench_qwen,8,4,0.13665027464765667,0.12128331859934116,-0.015366956048315505,0.557
semgrad,2,2,0.2565540872500993,0.2506547826616856,-0.005899304588413701,1.31
