budget,macro_auc_recovery,macro_auroc,macro_final_decision_agreement,macro_spearman_vs_final,mean_n_at_risk,method,n_cells,n_cells_at_risk_ge_20
16,0.036848877515110075,0.5284303910913775,0.547563451717399,0.1525186777614354,55.63636363636363,deepconf_entropy_w32,11,10
32,0.25079333796552317,0.5839549347645041,0.5592381704373934,0.3381270380374249,55.63636363636363,deepconf_entropy_w32,11,10
64,0.363595066204048,0.610750436585698,0.6629216042568467,0.5044573328209274,55.63636363636363,deepconf_entropy_w32,11,10
128,0.5967786479053264,0.6706104452072237,0.7818525766234199,0.6902810142417742,55.45454545454545,deepconf_entropy_w32,11,10
256,0.6665231281545644,0.6526910634197317,0.8556320134117136,0.7692926321317048,48.90909090909091,deepconf_entropy_w32,11,7
512,0.7456737296683758,0.7070363557493676,0.885897435897436,0.8151839984701714,49.285714285714285,deepconf_entropy_w32,7,7
16,0.0001762889945076257,0.5284303910913775,0.5487299287713381,0.137813536403079,55.63636363636363,deepconf_entropy_w64,11,10
32,0.1968900003073231,0.5839549347645041,0.575188330910874,0.33456761658245443,55.63636363636363,deepconf_entropy_w64,11,10
64,0.3842023920224856,0.6162584853406335,0.5998423196358378,0.4900927181406369,55.63636363636363,deepconf_entropy_w64,11,10
128,0.646958009889394,0.6707985208608453,0.769204552643174,0.6801106976443405,55.45454545454545,deepconf_entropy_w64,11,10
256,0.6996137865492057,0.6428375047083509,0.8613867293286309,0.7730420931767771,48.90909090909091,deepconf_entropy_w64,11,7
512,0.8113363516879775,0.6919133713693012,0.8783817373103088,0.8358371635300259,49.285714285714285,deepconf_entropy_w64,7,7
16,0.015247430501261571,0.5049589822224796,0.5353386450441096,0.09719138200122769,55.63636363636363,iu28_no_length,11,10
32,0.3313483883689228,0.5796028159163954,0.5639357445469622,0.17154707078981898,55.63636363636363,iu28_no_length,11,10
64,0.6098434315841902,0.6482041716699766,0.6395579741066235,0.4172014150384152,55.63636363636363,iu28_no_length,11,10
128,0.8016582568317566,0.6938576296666278,0.7386967096763601,0.6585418193188975,55.45454545454545,iu28_no_length,11,10
256,0.7735184267659229,0.6037227053964441,0.8400927353887614,0.7728606309459284,48.90909090909091,iu28_no_length,11,7
512,1.0475318226069132,0.6438183370910429,0.8801249345892204,0.8174976683400101,49.285714285714285,iu28_no_length,7,7
16,0.015749794704872064,0.5056039358064823,0.5153353623267294,0.10051434811892634,55.63636363636363,iu29_elapsed_length,11,10
32,0.31360162978599504,0.5774993473014745,0.5395686998900625,0.16912014226497624,55.63636363636363,iu29_elapsed_length,11,10
64,0.5949552348603047,0.6478281833553075,0.6136167460573586,0.4184121427537035,55.63636363636363,iu29_elapsed_length,11,10
128,0.7927972851169861,0.6952805809660118,0.7268497755161104,0.6561581683100246,55.45454545454545,iu29_elapsed_length,11,10
256,0.7281113451076596,0.6039028832401191,0.8349409472861538,0.7665445015108948,48.90909090909091,iu29_elapsed_length,11,7
512,1.10715879516767,0.642419764902997,0.8779140502354787,0.811782155594544,49.285714285714285,iu29_elapsed_length,7,7
16,0.2136446888988276,0.5224794868514728,0.5346317638328918,0.13596374345255927,55.63636363636363,max_entropy,11,10
32,0.4752551533155804,0.5650635709945698,0.5585438477617556,0.2283445994466181,55.63636363636363,max_entropy,11,10
64,0.8301019408298818,0.6336486052154844,0.6301114101237055,0.4364304283343656,55.63636363636363,max_entropy,11,10
128,0.8555292265821209,0.6666341755504107,0.7338990417637086,0.6307844789268026,55.45454545454545,max_entropy,11,10
256,0.5472987716609924,0.6181424062138273,0.8507110153833327,0.7638754404955502,48.90909090909091,max_entropy,11,7
512,0.8628151511037908,0.6356148670557256,0.8804650706436421,0.8458609143065079,49.285714285714285,max_entropy,7,7
16,-0.029144603569605524,0.5284303910913775,0.6077505107892912,0.20212653896311136,55.63636363636363,mean_entropy,11,10
32,0.1480697860120684,0.5839549347645041,0.6283177082812901,0.37586521745146034,55.63636363636363,mean_entropy,11,10
64,0.5260283252963753,0.6162584853406335,0.6368058557101972,0.49121834629017164,55.63636363636363,mean_entropy,11,10
128,0.8674634721981372,0.6638707140387813,0.743972512865962,0.6980725764965373,55.45454545454545,mean_entropy,11,10
256,0.8797851292311887,0.6179576185467291,0.7983765827964586,0.8074404847282461,48.90909090909091,mean_entropy,11,7
512,1.175588205943498,0.68992201514493,0.8382685766614338,0.8550189784157268,49.285714285714285,mean_entropy,7,7
