macro_final_auroc,method,n_cells
0.7841099396723599,deepconf_entropy_w32,11
0.7771431113604961,deepconf_entropy_w64,11
0.7640786034286605,iu28_no_length,11
0.7664137276056512,iu29_elapsed_length,11
0.754913285565947,max_entropy,11
0.7101421808765185,mean_entropy,11
