baseline,budget,cell_bootstrap_ci_high,cell_bootstrap_ci_low,equal_family_mean_delta_auroc,family_bootstrap_ci_high,family_bootstrap_ci_low,family_losses,family_ties,family_wins,losses,mean_delta_auroc,method,n_cells,n_cells_at_risk_ge_20,n_dataset_families,supported_mean_delta_auroc,ties,wins
deepconf_entropy_w64,16,0.015899284357313786,-0.06626430624440412,-0.03011033261745607,0.029636255715041228,-0.10045842663792662,3,0,2,5,-0.023471408868897883,iu28_no_length,11,10,5,-0.016559290496528406,0,6
iu28_no_length,16,0.0016410154717781803,-0.0002005798823417287,0.0007162927139756803,0.0015624628055892597,-5.146633855312999e-07,1,0,4,3,0.000644953584002653,iu29_elapsed_length,11,10,5,0.0007094489424029182,4,4
deepconf_entropy_w64,32,0.04598892360271482,-0.05107919269013466,-0.02458737076388896,0.021127658176610588,-0.09311894341429372,3,0,2,5,-0.004352118848108594,iu28_no_length,11,10,5,-0.023305849251437978,0,6
iu28_no_length,32,4.868937569187735e-05,-0.005641066403105611,-0.0012974327436123534,0.00011767571030087964,-0.003032488378754572,4,0,1,4,-0.0021034686149209196,iu29_elapsed_length,11,10,5,-0.00046196362456115135,5,2
deepconf_entropy_w64,64,0.08122148797582358,-0.010446474564615112,0.024454690569532332,0.05554857141587684,-0.0046764235331411995,2,0,3,5,0.031945686329343144,iu28_no_length,11,10,5,0.012918032740055235,0,6
iu28_no_length,64,0.0008250815720643608,-0.0013770094938913215,-0.0005876569883127847,0.000559450044917409,-0.0017347640215429783,3,0,2,5,-0.0003759883146691734,iu29_elapsed_length,11,10,5,-0.00041358714613609073,4,2
deepconf_entropy_w64,128,0.04799999133704468,-0.004291799843662917,0.013775416195174922,0.05819344707768333,-0.03147394907888856,2,0,3,3,0.023059108805782477,iu28_no_length,11,10,5,0.02036501968636074,1,7
iu28_no_length,128,0.0033309321737311393,0.00019171783877666463,0.0013264127683137671,0.00231677946841623,0.00033604606821130423,0,1,4,0,0.0014229512993838768,iu29_elapsed_length,11,10,5,0.0015652464293222645,6,5
deepconf_entropy_w64,256,0.03553808953186008,-0.10389872920007434,-0.04269799641481463,0.010465579168787795,-0.08967216187804428,4,0,1,7,-0.03911479931190677,iu28_no_length,11,7,5,-0.024597426335738075,0,4
iu28_no_length,256,0.0014344716172434383,-0.001022414859235629,0.0006022360320828479,0.00257163004298856,-0.0012545132792119106,1,1,3,3,0.00018017784367493653,iu29_elapsed_length,11,7,5,0.00028313661148918597,5,3
deepconf_entropy_w64,512,-0.0009114129803785089,-0.10656190284139468,-0.056203525363846506,-0.010204052014396864,-0.10220299871329615,4,0,0,5,-0.048095034278258446,iu28_no_length,7,7,4,-0.048095034278258446,0,2
iu28_no_length,512,0.0001754385964912413,-0.0032972582972583065,-0.0012237506645401339,0.00029970760233919563,-0.0036931818181818316,2,1,1,3,-0.0013985721880458673,iu29_elapsed_length,7,7,4,-0.0013985721880458673,3,1
