left_variant_id,right_variant_id,metric_id,delta,ci_low,ci_high,wins,ties,losses,worst_unit_delta
P3C_H2_INNER_IU_EQUAL_OUTER,P3A_H2_EQUAL_OUTER_REFERENCE,macro_f1,-0.003923533694243919,-0.012613730862857738,0.004538820561836029,3,0,5,-0.015683420382430202
P3C_H2_INNER_IU_EQUAL_OUTER,P3A_H2_EQUAL_OUTER_REFERENCE,first_error_exact,-0.005489790137557016,-0.014117485135022569,0.0028818341111314888,3,0,5,-0.019323671497584516
P3C_H2_INNER_IU_EQUAL_OUTER,P3A_H2_EQUAL_OUTER_REFERENCE,first_error_within_one,-0.005160796945313184,-0.014587081194887932,0.0043020524690053925,3,1,4,-0.03630862329803325
P3C_H2_INNER_IU_EQUAL_OUTER,P3A_H2_EQUAL_OUTER_REFERENCE,clean_abstention_accuracy,0.0,0.0,0.0,0,8,0,0.0
P3C_H2_INNER_IU_EQUAL_OUTER,P3A_H2_EQUAL_OUTER_REFERENCE,overall_decision_accuracy,-0.0032500000000000306,-0.008374999999999966,0.0016875000000000084,3,0,5,-0.01100000000000001
P3C_H2_INNER_IU_EQUAL_OUTER,P3_H0_REFERENCE,macro_f1,0.005905568026049357,-0.0046155100593260655,0.016564968151541817,6,1,1,-0.009779917347902733
P3C_H2_INNER_IU_EQUAL_OUTER,P3_H0_REFERENCE,first_error_exact,0.005849761399652875,-0.004345300333410432,0.01612324563015915,6,1,1,-0.011784511784511731
P3C_H2_INNER_IU_EQUAL_OUTER,P3_H0_REFERENCE,first_error_within_one,0.00781667504929362,-0.0034098551730505993,0.019275328817318933,6,0,2,-0.012102874432677768
P3C_H2_INNER_IU_EQUAL_OUTER,P3_H0_REFERENCE,clean_abstention_accuracy,0.0,0.0,0.0,0,8,0,0.0
P3C_H2_INNER_IU_EQUAL_OUTER,P3_H0_REFERENCE,overall_decision_accuracy,0.003937499999999983,-0.0020625000000000226,0.010000000000000009,6,1,1,-0.007000000000000006
