method_id,label,macro_f1,ci_low,ci_high
joint_lsml23_hierarchical_v1_1__flat_sml_structural_fallback,Joint-or-flat,0.26929034734614604,0.24996767526064076,0.28726676927964695
iu_pcr_active23,IU-PCR,0.3403778086971861,0.3187288560011176,0.3583219954149776
equal_family_active23,Equal-family,0.28598643105387467,0.26470960368799,0.3061131552884026
fixed_family_continuous_lsml_active23,Fixed-family L-SML,0.3429399895873754,0.3257841034626091,0.36279007651593603
