cell_id,method_id,label,oof_f1,candidate_component
processbench_gsm8k_qwen3_4b,joint_lsml23_hierarchical_v1_1__flat_sml_structural_fallback,Joint-or-flat,0.387705863841393,joint_lsml
processbench_gsm8k_qwen3_4b,iu_pcr_active23,IU-PCR,0.4073947612311595,joint_lsml
processbench_gsm8k_qwen3_4b,equal_family_active23,Equal-family,0.3617589105330107,joint_lsml
processbench_gsm8k_qwen3_4b,fixed_family_continuous_lsml_active23,Fixed-family L-SML,0.3872903075489282,joint_lsml
processbench_gsm8k_qwen3_8b,joint_lsml23_hierarchical_v1_1__flat_sml_structural_fallback,Joint-or-flat,0.14311132483770136,joint_lsml
processbench_gsm8k_qwen3_8b,iu_pcr_active23,IU-PCR,0.3889379972218715,joint_lsml
processbench_gsm8k_qwen3_8b,equal_family_active23,Equal-family,0.3545197398641298,joint_lsml
processbench_gsm8k_qwen3_8b,fixed_family_continuous_lsml_active23,Fixed-family L-SML,0.39985797394368117,joint_lsml
processbench_math_qwen3_4b,joint_lsml23_hierarchical_v1_1__flat_sml_structural_fallback,Joint-or-flat,0.0682577216547622,flat_sml_fallback
processbench_math_qwen3_4b,iu_pcr_active23,IU-PCR,0.3309095897928386,flat_sml_fallback
processbench_math_qwen3_4b,equal_family_active23,Equal-family,0.3276141146001942,flat_sml_fallback
processbench_math_qwen3_4b,fixed_family_continuous_lsml_active23,Fixed-family L-SML,0.3506787330316742,flat_sml_fallback
processbench_math_qwen3_8b,joint_lsml23_hierarchical_v1_1__flat_sml_structural_fallback,Joint-or-flat,0.3429960408020295,joint_lsml
processbench_math_qwen3_8b,iu_pcr_active23,IU-PCR,0.33350362726065186,joint_lsml
processbench_math_qwen3_8b,equal_family_active23,Equal-family,0.31305039260510886,joint_lsml
processbench_math_qwen3_8b,fixed_family_continuous_lsml_active23,Fixed-family L-SML,0.3440324877379885,joint_lsml
processbench_olympiadbench_qwen3_4b,joint_lsml23_hierarchical_v1_1__flat_sml_structural_fallback,Joint-or-flat,0.28918317229349794,joint_lsml
processbench_olympiadbench_qwen3_4b,iu_pcr_active23,IU-PCR,0.3085366252987982,joint_lsml
processbench_olympiadbench_qwen3_4b,equal_family_active23,Equal-family,0.2061239731142644,joint_lsml
processbench_olympiadbench_qwen3_4b,fixed_family_continuous_lsml_active23,Fixed-family L-SML,0.30273118020690976,joint_lsml
processbench_olympiadbench_qwen3_8b,joint_lsml23_hierarchical_v1_1__flat_sml_structural_fallback,Joint-or-flat,0.27373474369406026,joint_lsml
processbench_olympiadbench_qwen3_8b,iu_pcr_active23,IU-PCR,0.2936799315685488,joint_lsml
processbench_olympiadbench_qwen3_8b,equal_family_active23,Equal-family,0.20587548555539048,joint_lsml
processbench_olympiadbench_qwen3_8b,fixed_family_continuous_lsml_active23,Fixed-family L-SML,0.311204378527068,joint_lsml
processbench_omnimath_qwen3_4b,joint_lsml23_hierarchical_v1_1__flat_sml_structural_fallback,Joint-or-flat,0.3141203741759416,joint_lsml
processbench_omnimath_qwen3_4b,iu_pcr_active23,IU-PCR,0.32053325604984784,joint_lsml
processbench_omnimath_qwen3_4b,equal_family_active23,Equal-family,0.24506293210423685,joint_lsml
processbench_omnimath_qwen3_4b,fixed_family_continuous_lsml_active23,Fixed-family L-SML,0.3107687330664402,joint_lsml
processbench_omnimath_qwen3_8b,joint_lsml23_hierarchical_v1_1__flat_sml_structural_fallback,Joint-or-flat,0.33521353746978244,joint_lsml
processbench_omnimath_qwen3_8b,iu_pcr_active23,IU-PCR,0.3395266811537725,joint_lsml
processbench_omnimath_qwen3_8b,equal_family_active23,Equal-family,0.27388590005466207,joint_lsml
processbench_omnimath_qwen3_8b,fixed_family_continuous_lsml_active23,Fixed-family L-SML,0.3369561226363135,joint_lsml
