control_id,control_label,delta,ci_low,ci_high
iu_pcr_active23,IU-PCR,-0.07108746135104005,-0.08472054145425392,-0.05433481544224735
equal_family_active23,Equal-family,-0.016696083707728626,-0.033615268416214844,-0.0006290283915537161
fixed_family_continuous_lsml_active23,Fixed-family L-SML,-0.07364964224122938,-0.09127850578480419,-0.061706111891858526
