cell,scale,m,K,cluster_sizes,n_cross_cluster_pairs,spearman_fiterr_vs_abscorr,ratio_lsml,ratio_lsml_decile_matched,ratio_random_partition,ratio_magnitude_clustering,mannwhitney_p,design_rank_cross_only,design_sigma_min_cross_only,identifiable
ars_gsm8k_r1distill8b,unit,30,4,"[5, 7, 7, 11]",328,0.7554667654026689,2.5728528474397643,0.8317130736132728,0.9429191823360995,3.775798667389881,7.94325975478667e-20,30,3.263387481499249,True
epr_triviaqa_mistral24b,unit,28,8,"[1, 2, 2, 2, 3, 3, 7, 8]",320,0.9153670963333413,2.0883643757207273,1.0287071058981143,1.1641605975362972,2.5400583010703084,4.965590170511959e-21,28,3.593864167610197,True
inside_coqa_llama7b,unit,27,6,"[1, 2, 3, 5, 7, 9]",280,0.7159482184482183,2.0160190714818285,1.118725358395285,1.1047573096776007,1.883216228045081,4.44145780660835e-15,27,3.2688781846378596,True
internalstates_gsm8k_qwen25_7b,unit,29,8,"[1, 2, 2, 3, 3, 5, 5, 8]",350,0.8941675217537287,2.121660043432168,1.0045073466518821,0.9340551951927233,2.6502068060675232,8.007592725765701e-19,29,3.8413378232090447,True
lapeigvals_gsm8k_llama3b,unit,30,6,"[2, 3, 4, 5, 5, 11]",350,0.9607946502375583,1.8653348948319661,0.9807962234445181,0.9692260695719398,3.419598729376042,6.399695219837067e-18,30,3.419957127228447,True
lapeigvals_gsm8k_llama8b,unit,29,8,"[1, 2, 2, 2, 3, 3, 7, 9]",340,0.9632465425568874,1.9290522851346474,0.9273299820789489,0.9142089252006407,2.5132838802919193,1.6445597654040056e-19,29,3.567139063141614,True
lapeigvals_gsm8k_mistral24b,unit,30,7,"[2, 2, 3, 3, 3, 7, 10]",358,0.9543226272966758,1.87830988856333,0.9979223701912288,0.8554025265848689,3.5410462453791127,2.223687981862115e-18,30,3.530632082159764,True
lapeigvals_gsm8k_nemo,unit,29,8,"[1, 1, 1, 2, 4, 4, 5, 11]",328,0.8622529381150071,2.519070338177393,1.000603052088511,0.9460132457842947,2.682701349912604,1.1883723678656383e-28,29,3.315694748708562,True
lapeigvals_gsm8k_phi35,unit,29,7,"[1, 2, 2, 3, 3, 5, 13]",310,0.815479787893581,2.349925005022188,0.624589849569148,0.8703657613259941,3.0882658634877447,1.0480124966695643e-21,29,2.975885681634291,True
losnet_hotpotqa_mistral7b,unit,29,8,"[1, 1, 2, 2, 3, 5, 6, 9]",340,0.8646541456672104,2.62062169686415,0.9516076160588834,0.9277748151531153,2.6872229401447916,2.1298332037383457e-24,29,3.62556251281786,True
math500_dsmath7b,unit,30,4,"[5, 7, 9, 9]",332,0.8243853298480764,1.8268158575660425,0.9472131055522389,0.96084297909006,4.116235234473948,2.6267973128643566e-12,30,3.4641016151377535,True
math500_qwenmath7b,unit,28,7,"[1, 1, 2, 4, 6, 6, 8]",313,0.9876140196402229,1.5955816510313199,0.9545093147878556,0.9479927978707341,3.415732045599142,6.265640443829691e-12,28,3.6420999781701573,True
math500_r1distill8b,unit,28,6,"[2, 2, 3, 5, 7, 9]",306,0.7708399224184866,1.8618798120493532,1.3719464872688092,0.9044389436894715,1.7298242532561254,2.774071966327481e-18,28,3.4155220766150465,True
math500_r1distill8b_mn4096,unit,29,4,"[2, 7, 9, 11]",293,0.8229183056769265,1.3345998695397707,0.8233858532300665,0.9131585492245663,3.917445370843154,1.093844138972717e-07,29,2.95933887269814,True
noise_gsm8k_mistral7b,unit,29,4,"[4, 5, 6, 14]",284,0.856107966452794,2.0389584583824205,1.0358034830411547,0.9971205812643567,5.897568036441053,1.415088982746248e-20,29,2.657408248327798,True
noise_gsm8k_phi3mini,unit,29,5,"[2, 3, 5, 6, 13]",299,0.715488887902681,2.193956167965899,0.8168709782390543,0.8952034804227821,2.661658221843026,7.79845648011099e-21,29,2.8730091674184566,True
