benchmark,arm,agreement_with_base,both_correct,arm_only,base_only,both_wrong,net,moved_earlier,moved_later,mean_delta_auc_vs_base,answers_improved,answers_worsened,pairs_corrected,pairs_destroyed
pb,H_TOP5,0.8320576316974336,1185.0,182.0,152.0,2923.0,30.0,436.0,310.0,,,,,
prm,H_TOP5,,,,,,,,,-0.0010764133590285083,658.0,795.0,1212.0,1445.0
pb,H_MEAN,0.4020711391265196,547.0,349.0,790.0,2756.0,-441.0,1576.0,1080.0,,,,,
prm,H_MEAN,,,,,,,,,-0.09918378205597524,1571.0,3539.0,17484.0,28722.0
pb,H_RANDATT,0.38968932913102206,516.0,353.0,821.0,2752.0,-468.0,1688.0,1023.0,,,,,
prm,H_RANDATT,,,,,,,,,-0.10835674561665422,1541.0,3613.0,17748.0,29893.0
pb,H_RAW,0.49684826654660064,676.0,276.0,661.0,2829.0,-385.0,1222.0,1013.0,,,,,
prm,H_RAW,,,,,,,,,-0.044228338324787446,1733.0,2893.0,13682.0,18738.0
