method,benchmark,metric,stratum,N,estimate,coverage
H_TOP5,pb,gated_err_acc,pb_gsm8k_q4,207,0.3333333333333333,400
H_TOP5,pb,sla,pb_gsm8k_q8,207,0.42995169082125606,400
H_TOP5,pb,tol1,pb_gsm8k_q8,207,0.6570048309178744,400
H_TOP5,pb,early,pb_gsm8k_q8,207,0.2898550724637681,400
H_TOP5,pb,late,pb_gsm8k_q8,207,0.28019323671497587,400
H_TOP5,pb,f1,pb_gsm8k_q8,207,0.4076159828372218,400
H_TOP5,pb,clean_acc,pb_gsm8k_q8,193,0.49222797927461137,400
H_TOP5,pb,gated_err_acc,pb_gsm8k_q8,207,0.34782608695652173,400
H_TOP5,pb,sla,pb_math_q4,594,0.3181818181818182,1000
H_TOP5,pb,tol1,pb_math_q4,594,0.5673400673400674,1000
H_TOP5,pb,early,pb_math_q4,594,0.2962962962962963,1000
H_TOP5,pb,late,pb_math_q4,594,0.38552188552188554,1000
H_TOP5,pb,f1,pb_math_q4,594,0.3675300836222721,1000
H_TOP5,pb,clean_acc,pb_math_q4,406,0.5862068965517241,1000
H_TOP5,pb,gated_err_acc,pb_math_q4,594,0.2676767676767677,1000
H_TOP5,pb,sla,pb_math_q8,594,0.3333333333333333,1000
H_TOP5,pb,tol1,pb_math_q8,594,0.563973063973064,1000
H_TOP5,pb,early,pb_math_q8,594,0.2676767676767677,1000
H_TOP5,pb,late,pb_math_q8,594,0.398989898989899,1000
H_TOP5,pb,f1,pb_math_q8,594,0.37539936102236426,1000
H_TOP5,pb,clean_acc,pb_math_q8,406,0.5788177339901478,1000
H_TOP5,pb,gated_err_acc,pb_math_q8,594,0.2777777777777778,1000
H_TOP5,pb,sla,pb_olympiadbench_q4,661,0.2844175491679274,1000
H_TOP5,pb,tol1,pb_olympiadbench_q4,661,0.5037821482602118,1000
H_TOP5,pb,early,pb_olympiadbench_q4,661,0.4039334341906203,1000
H_TOP5,pb,late,pb_olympiadbench_q4,661,0.31164901664145234,1000
H_TOP5,pb,f1,pb_olympiadbench_q4,661,0.3286833141691797,1000
H_TOP5,pb,clean_acc,pb_olympiadbench_q4,339,0.5958702064896755,1000
H_TOP5,pb,gated_err_acc,pb_olympiadbench_q4,661,0.22692889561270801,1000
H_TOP5,pb,sla,pb_olympiadbench_q8,661,0.2692889561270802,1000
H_TOP5,pb,tol1,pb_olympiadbench_q8,661,0.491679273827534,1000
H_TOP5,pb,early,pb_olympiadbench_q8,661,0.40998487140695916,1000
H_TOP5,pb,late,pb_olympiadbench_q8,661,0.3207261724659607,1000
H_TOP5,pb,f1,pb_olympiadbench_q8,661,0.3272333072159195,1000
H_TOP5,pb,clean_acc,pb_olympiadbench_q8,339,0.6076696165191741,1000
H_TOP5,pb,gated_err_acc,pb_olympiadbench_q8,661,0.22390317700453857,1000
H_TOP5,pb,sla,pb_omnimath_q4,759,0.2898550724637681,1000
H_TOP5,pb,tol1,pb_omnimath_q4,759,0.5177865612648221,1000
H_TOP5,pb,early,pb_omnimath_q4,759,0.3069828722002635,1000
H_TOP5,pb,late,pb_omnimath_q4,759,0.4031620553359684,1000
H_TOP5,pb,f1,pb_omnimath_q4,759,0.3310436594319196,1000
H_TOP5,pb,clean_acc,pb_omnimath_q4,241,0.7219917012448133,1000
H_TOP5,pb,gated_err_acc,pb_omnimath_q4,759,0.2147562582345191,1000
H_TOP5,pb,sla,pb_omnimath_q8,759,0.29117259552042163,1000
H_TOP5,pb,tol1,pb_omnimath_q8,759,0.5230566534914362,1000
H_TOP5,pb,early,pb_omnimath_q8,759,0.3069828722002635,1000
H_TOP5,pb,late,pb_omnimath_q8,759,0.4018445322793149,1000
H_TOP5,pb,f1,pb_omnimath_q8,759,0.33347967742680873,1000
H_TOP5,pb,clean_acc,pb_omnimath_q8,241,0.7302904564315352,1000
H_TOP5,pb,gated_err_acc,pb_omnimath_q8,759,0.2160737812911726,1000
H_TOP5,pb,sla,macro8,4442,0.32774976463311,6800
H_TOP5,pb,tol1,macro8,4442,0.5577879698119125,6800
H_TOP5,pb,early,macro8,4442,0.3214459073623383,6800
H_TOP5,pb,late,macro8,4442,0.35080432800455164,6800
H_TOP5,pb,f1,macro8,4442,0.3589764790008346,6800
H_TOP5,pb,sla,q4,2221,0.3245628853156972,3400
H_TOP5,pb,tol1,q4,2221,0.5566474840713478,3400
H_TOP5,pb,early,q4,2221,0.324266918787737,3400
H_TOP5,pb,late,q4,2221,0.35117019589656573,3400
H_TOP5,pb,f1,q4,2221,0.35702087587609077,3400
H_TOP5,pb,sla,q8,2221,0.3309366439505228,3400
H_TOP5,pb,tol1,q8,2221,0.5589284555524772,3400
H_TOP5,pb,early,q8,2221,0.3186248959369396,3400
H_TOP5,pb,late,q8,2221,0.3504384601125376,3400
H_TOP5,pb,f1,q8,2221,0.36093208212557853,3400
H_TOP5,prm,within_auc,all,6030,0.7552365398380959,6969
H_TOP5,prm,step_auroc_mean_folds,all,94203,0.7093247159756839,6969
H_TOP5,prm,step_auprc_mean_folds,all,94203,0.31477174653918116,6969
H_TOP5,prm,prmscore_inner_raw,all,6211,0.6328307362206408,6969
H_TOP5,prm,prmscore_q80_raw,all,6211,0.6314610010866939,6969
H_TOP5,prm,prmscore_inner_answer_z,all,6211,0.6370735172603396,6969
H_TOP5,prm,prmscore_q80_answer_z,all,6211,0.6361140281774373,6969
H_TOP5,prm,within_auc,kind=single,1964,0.8365267710288468,1964
H_TOP5,prm,within_auc,kind=multi,4066,0.7159709190661738,4066
H_TOP5,pb,sla,depth=2-5,1312,0.4268292682926829,1312
H_TOP5,prm,within_auc,depth=2-5,395,0.7934599156118144,395
H_TOP5,pb,sla,depth=6-10,2308,0.2920277296360485,2308
H_TOP5,prm,within_auc,depth=6-10,2527,0.7727815151914875,2527
H_TOP5,pb,sla,depth=11+,822,0.16180048661800486,822
H_TOP5,prm,within_auc,depth=11+,3108,0.7361135069717382,3108
H_MEAN,pb,sla,pb_gsm8k_q4,207,0.3333333333333333,400
H_MEAN,pb,tol1,pb_gsm8k_q4,207,0.6183574879227053,400
H_MEAN,pb,early,pb_gsm8k_q4,207,0.36231884057971014,400
H_MEAN,pb,late,pb_gsm8k_q4,207,0.30434782608695654,400
H_MEAN,pb,f1,pb_gsm8k_q4,207,0.3715308300891624,400
H_MEAN,pb,clean_acc,pb_gsm8k_q4,193,0.5025906735751295,400
H_MEAN,pb,gated_err_acc,pb_gsm8k_q4,207,0.2946859903381642,400
H_MEAN,pb,sla,pb_gsm8k_q8,207,0.2463768115942029,400
H_MEAN,pb,tol1,pb_gsm8k_q8,207,0.5700483091787439,400
H_MEAN,pb,early,pb_gsm8k_q8,207,0.48792270531400966,400
H_MEAN,pb,late,pb_gsm8k_q8,207,0.26570048309178745,400
H_MEAN,pb,f1,pb_gsm8k_q8,207,0.306204673650282,400
H_MEAN,pb,clean_acc,pb_gsm8k_q8,193,0.49222797927461137,400
H_MEAN,pb,gated_err_acc,pb_gsm8k_q8,207,0.2222222222222222,400
H_MEAN,pb,sla,pb_math_q4,594,0.21043771043771045,1000
H_MEAN,pb,tol1,pb_math_q4,594,0.48484848484848486,1000
H_MEAN,pb,early,pb_math_q4,594,0.3838383838383838,1000
H_MEAN,pb,late,pb_math_q4,594,0.4057239057239057,1000
H_MEAN,pb,f1,pb_math_q4,594,0.27162748230997485,1000
H_MEAN,pb,clean_acc,pb_math_q4,406,0.5862068965517241,1000
H_MEAN,pb,gated_err_acc,pb_math_q4,594,0.17676767676767677,1000
H_MEAN,pb,sla,pb_math_q8,594,0.1936026936026936,1000
H_MEAN,pb,tol1,pb_math_q8,594,0.46464646464646464,1000
H_MEAN,pb,early,pb_math_q8,594,0.4595959595959596,1000
H_MEAN,pb,late,pb_math_q8,594,0.3468013468013468,1000
H_MEAN,pb,f1,pb_math_q8,594,0.25267968146231645,1000
H_MEAN,pb,clean_acc,pb_math_q8,406,0.5788177339901478,1000
H_MEAN,pb,gated_err_acc,pb_math_q8,594,0.16161616161616163,1000
H_MEAN,pb,sla,pb_olympiadbench_q4,661,0.2178517397881997,1000
H_MEAN,pb,tol1,pb_olympiadbench_q4,661,0.4886535552193646,1000
H_MEAN,pb,early,pb_olympiadbench_q4,661,0.44478063540090773,1000
H_MEAN,pb,late,pb_olympiadbench_q4,661,0.3373676248108926,1000
H_MEAN,pb,f1,pb_olympiadbench_q4,661,0.27293356814966657,1000
H_MEAN,pb,clean_acc,pb_olympiadbench_q4,339,0.5958702064896755,1000
H_MEAN,pb,gated_err_acc,pb_olympiadbench_q4,661,0.17700453857791226,1000
H_MEAN,pb,sla,pb_olympiadbench_q8,661,0.18456883509833585,1000
H_MEAN,pb,tol1,pb_olympiadbench_q8,661,0.4583963691376702,1000
H_MEAN,pb,early,pb_olympiadbench_q8,661,0.5521936459909228,1000
H_MEAN,pb,late,pb_olympiadbench_q8,661,0.2632375189107413,1000
H_MEAN,pb,f1,pb_olympiadbench_q8,661,0.24804334738109574,1000
H_MEAN,pb,clean_acc,pb_olympiadbench_q8,339,0.6076696165191741,1000
H_MEAN,pb,gated_err_acc,pb_olympiadbench_q8,661,0.15582450832072617,1000
H_MEAN,pb,sla,pb_omnimath_q4,759,0.18181818181818182,1000
H_MEAN,pb,tol1,pb_omnimath_q4,759,0.4650856389986825,1000
H_MEAN,pb,early,pb_omnimath_q4,759,0.37812911725955206,1000
H_MEAN,pb,late,pb_omnimath_q4,759,0.4400527009222661,1000
H_MEAN,pb,f1,pb_omnimath_q4,759,0.23219017480984427,1000
H_MEAN,pb,clean_acc,pb_omnimath_q4,241,0.7219917012448133,1000
H_MEAN,pb,gated_err_acc,pb_omnimath_q4,759,0.1383399209486166,1000
H_MEAN,pb,sla,pb_omnimath_q8,759,0.17391304347826086,1000
H_MEAN,pb,tol1,pb_omnimath_q8,759,0.4453227931488801,1000
H_MEAN,pb,early,pb_omnimath_q8,759,0.4769433465085639,1000
H_MEAN,pb,late,pb_omnimath_q8,759,0.34914361001317523,1000
H_MEAN,pb,f1,pb_omnimath_q8,759,0.22323127267192616,1000
H_MEAN,pb,clean_acc,pb_omnimath_q8,241,0.7302904564315352,1000
H_MEAN,pb,gated_err_acc,pb_omnimath_q8,759,0.13175230566534915,1000
H_MEAN,pb,sla,macro8,4442,0.2177377936438648,6800
H_MEAN,pb,tol1,macro8,4442,0.4994198878876245,6800
H_MEAN,pb,early,macro8,4442,0.4432153293110012,6800
H_MEAN,pb,late,macro8,4442,0.339046877045134,6800
H_MEAN,pb,f1,macro8,4442,0.2723051288155336,6800
H_MEAN,pb,sla,q4,2221,0.23586024134435635,3400
H_MEAN,pb,tol1,q4,2221,0.5142362917473093,3400
H_MEAN,pb,early,q4,2221,0.3922667442696384,3400
H_MEAN,pb,late,q4,2221,0.37187301438600523,3400
H_MEAN,pb,f1,q4,2221,0.28707051383966203,3400
H_MEAN,pb,sla,q8,2221,0.19961534594337332,3400
