task,fold,arm,seed,bias,q15_H1,q15_VE1,chosen_surprisal,logprob_margin,true_tail50,energy_level,energy_innovation,top15_turnover,top50_js,dominant_freq16,bocpd_p0
pb_q4,0,H_MEAN,0,0.3451823890209198,0.20159825682640076,0.5211699604988098,0.24427610635757446,-0.06541809439659119,0.527998149394989,-0.3872387111186981,-0.06005841866135597,-0.15129277110099792,0.2466621696949005,0.039887916296720505,-0.2935425937175751
pb_q4,0,H_MEAN,1,0.43543684482574463,0.3237057030200958,0.36990270018577576,0.2442515790462494,0.0036154992412775755,0.5064049959182739,-0.3943646252155304,-0.028830623254179955,-0.16293492913246155,0.2897208333015442,0.041046012192964554,-0.30906233191490173
pb_q4,0,H_MEAN,2,0.40032732486724854,0.2284485101699829,0.37773776054382324,0.28912511467933655,0.02895384468138218,0.6047189235687256,-0.4229905903339386,-0.04247646778821945,-0.17206662893295288,0.28737491369247437,0.04570848494768143,-0.3232119679450989
pb_q4,0,H_RANDATT,0,0.33430489897727966,0.1869557648897171,0.5252348184585571,0.2370573878288269,-0.03236113861203194,0.6521093249320984,-0.39472705125808716,-0.06206585466861725,-0.1258397251367569,0.29574698209762573,0.050894878804683685,-0.3121069073677063
pb_q4,0,H_RANDATT,1,0.48606646060943604,0.3607005178928375,0.4082479178905487,0.20487190783023834,0.04879944026470184,0.4878089725971222,-0.3735572397708893,0.05803395435214043,-0.07868501543998718,0.28890523314476013,0.09036716818809509,-0.2623230516910553
pb_q4,0,H_RANDATT,2,0.5316628813743591,0.2114645391702652,0.4070788025856018,0.2587583363056183,0.07099097967147827,0.527798593044281,-0.41509923338890076,-0.02922106720507145,-0.10223034024238586,0.27364787459373474,0.01943405158817768,-0.3774556517601013
pb_q4,0,H_RAW,0,0.4555393159389496,0.11882560700178146,0.0629172995686531,0.0015069019282236695,-0.17772690951824188,0.018306152895092964,-0.0025157269556075335,-0.31843000650405884,-0.041025351732969284,0.023390810936689377,-0.0006525314529426396,-0.01251219306141138
pb_q4,0,H_RAW,1,0.5976632833480835,0.10588254779577255,0.024446748197078705,0.04484914615750313,-0.1629909873008728,0.02847563847899437,0.08298297971487045,-0.20659811794757843,-0.043702173978090286,-0.022940166294574738,0.01062833983451128,-0.004841692745685577
pb_q4,0,H_RAW,2,0.441487193107605,0.10944781452417374,0.06982879340648651,0.048356249928474426,-0.09084099531173706,0.008960862644016743,0.08825920522212982,-0.24029836058616638,-0.07223604619503021,-0.00790012814104557,0.005350606981664896,-0.006127041298896074
pb_q4,1,H_MEAN,0,0.23073330521583557,0.137409970164299,0.5116764903068542,0.20202310383319855,-0.0038938913494348526,0.5301481485366821,-0.41499313712120056,-0.02924497239291668,-0.27423787117004395,0.2133547067642212,0.0501081757247448,-0.348944753408432
pb_q4,1,H_MEAN,1,0.3401074707508087,0.2622391879558563,0.36388149857521057,0.21990956366062164,0.09130042046308517,0.5228719115257263,-0.40090280771255493,-0.005081673618406057,-0.3168310523033142,0.2768014967441559,0.0643601343035698,-0.35709190368652344
pb_q4,1,H_MEAN,2,0.3759315311908722,0.18276704847812653,0.4115171432495117,0.21233519911766052,0.09801390022039413,0.5784909725189209,-0.444518506526947,-0.022467289119958878,-0.3065885901451111,0.303435742855072,0.06673581153154373,-0.35928264260292053
pb_q4,1,H_RANDATT,0,0.45787063241004944,0.11700603365898132,0.5274600982666016,0.19587114453315735,0.048806484788656235,0.7033843398094177,-0.42904984951019287,-0.02879766933619976,-0.2593163847923279,0.24078135192394257,0.08770148456096649,-0.49745193123817444
pb_q4,1,H_RANDATT,1,0.48632359504699707,0.2761844992637634,0.34103837609291077,0.14989176392555237,0.09483107179403305,0.5292117595672607,-0.3866446912288666,0.06494386494159698,-0.23889900743961334,0.20333905518054962,0.08009187877178192,-0.46489188075065613
pb_q4,1,H_RANDATT,2,0.5795232653617859,0.18370386958122253,0.4303399622440338,0.16344179213047028,0.13959401845932007,0.4642104208469391,-0.440827876329422,0.014669818803668022,-0.24579493701457977,0.24976889789104462,0.048674728721380234,-0.49066752195358276
pb_q4,1,H_RAW,0,0.43605947494506836,0.06721575558185577,0.04571560025215149,0.04860905185341835,-0.1090722307562828,0.03174541890621185,0.08439012616872787,-0.2102380245923996,-0.0727088674902916,0.00973454024642706,0.020267749205231667,-0.017991134896874428
pb_q4,1,H_RAW,1,0.5412289500236511,0.054854560643434525,0.0399484746158123,0.04978972300887108,-0.048695456236600876,0.029024280607700348,0.057912904769182205,-0.20330698788166046,-0.08226776123046875,0.0020691589452326298,0.02353353053331375,-0.018908346071839333
