method,method_id,scope,processbench_macro_f1_percent,processbench_qwen4b_f1_percent,processbench_qwen8b_f1_percent,prmbench_within_answer_auc,prmbench_pooled_auc,prmscore,valid_answers,prmbench_within_answer_denominator,pb_gsm8k_q4_f1_percent,pb_gsm8k_q8_f1_percent,pb_math_q4_f1_percent,pb_math_q8_f1_percent,pb_olympiadbench_q4_f1_percent,pb_olympiadbench_q8_f1_percent,pb_omnimath_q4_f1_percent,pb_omnimath_q8_f1_percent
Current token (17 inputs) / LIU-PCR with chronological chain,current__chain_liu,Full cached localization development,34.58631403409591,35.348495833024415,33.824132235167404,0.732928203607198,0.7036388670940337,0.6204332546646726,13769,6030,43.00959361862671,38.889955828692145,32.95128939828081,33.65295814473189,31.348296635922583,30.310875823560096,34.08480367926758,32.442739143685486
Current token (17 inputs) / Diagonal shrinkage,current__diag_lw,Full cached localization development,34.636408899641026,35.43280725787787,33.84001054140418,0.7329079707471459,0.7045398793663279,0.6220502014229689,13769,6030,43.00959361862671,39.16653411802132,33.28853509769461,33.65295814473189,31.348296635922583,30.310875823560096,34.08480367926758,32.22967407930345
Current token (17 inputs) / Equal weights,current__equal,Full cached localization development,34.56311552654591,35.32098000367166,33.80525104942015,0.7339189140105462,0.7012937365443381,0.6206849523602403,13769,6030,43.398300313664514,39.43973694195017,33.28853509769461,33.24071735286689,30.28118240807498,30.310875823560096,34.31590219525254,32.22967407930345
Current token (17 inputs) / IU-PCR,current__iu,Full cached localization development,34.50209795170901,35.31084473042043,33.6933511729976,0.7327565475977551,0.7038074104714571,0.6205441220076804,13769,6030,43.00959361862671,38.60993912847434,32.95128939828081,33.51618211738892,31.197692225506607,30.310875823560096,34.08480367926758,32.33640762256706
Current token (17 inputs) / Joint-inspired shrinkage (singleton groups),current__joint_lw,Full cached localization development,34.59475108025644,35.179137694066775,34.0103644664461,0.7296819712011725,0.7031343788494787,0.6197550869626501,13769,6030,42.616822429906534,39.70962571886489,33.12026686833735,33.65295814473189,30.89465779875563,30.449199922884134,34.08480367926758,32.22967407930345
Current token (17 inputs) / LIU-PCR with permuted chain (control),current__permuted_chain_liu,Full cached localization development,34.50209795170901,35.31084473042043,33.6933511729976,0.7326974610283236,0.7038376582982661,0.6206471594367263,13769,6030,43.00959361862671,38.60993912847434,32.95128939828081,33.51618211738892,31.197692225506607,30.310875823560096,34.08480367926758,32.33640762256706
Current token + change (34 inputs) / Diagonal shrinkage,delta__diag_lw,Full cached localization development,34.77283050207882,35.52165395781394,34.0240070463437,0.7368434713221073,0.7080200763301552,0.6249670540309471,13769,6030,42.616822429906534,39.16653411802132,34.11939229628114,33.78910249118417,31.498297389330304,30.171946402292622,33.8521037157378,32.968445173876695
Current token + change (34 inputs) / Equal weights,delta__equal,Full cached localization development,34.92024501333661,35.57886309508274,34.2616269315905,0.7387206133058211,0.7054830035568179,0.6236501153259741,13769,6030,42.21992266216437,39.43973694195017,34.446923617691105,34.32744978697504,31.79650238473768,30.310875823560096,33.8521037157378,32.968445173876695
Current token + change (34 inputs) / IU-PCR,delta__iu,Full cached localization development,34.80850537033642,35.55079175814064,34.06621898253219,0.7369310120605546,0.7069415197528663,0.623944861874893,13769,6030,42.616822429906534,39.43973694195017,34.11939229628114,33.78910249118417,31.498297389330304,30.171946402292622,33.9686549170446,32.864090094701815
Current token + change (34 inputs) / Joint-inspired shrinkage (singleton groups),delta__joint_lw,Full cached localization development,34.7385008331789,35.67000709943525,33.80699456692254,0.7368946779853175,0.70806809097277,0.6248440386263143,13769,6030,43.00959361862671,38.60993912847434,33.78912871510905,33.65295814473189,31.79650238473768,30.310875823560096,34.08480367926758,32.654205170923866
