method,PB_all8,PB_Q4,PB_Q8,PRMB_within,PRMB_pooled,PRMScore,valid_answers
current__equal,0.34563115526545907,0.3532098000367166,0.3380525104942015,0.7339189140105462,0.7012937365443381,0.6206849523602403,13769
current__iu,0.3450209795170901,0.35310844730420426,0.33693351172997604,0.7327565475977551,0.7038074104714571,0.6205441220076804,13769
current__diag_lw,0.34636408899641025,0.3543280725787787,0.33840010541404186,0.7329079707471459,0.7045398793663279,0.6220502014229689,13769
current__joint_lw,0.34594751080256436,0.35179137694066775,0.34010364466446097,0.7296819712011725,0.7031343788494787,0.6197550869626501,13769
lag8__equal,0.31769493872158855,0.3195703490120043,0.3158195284311727,0.7084193503224253,0.6794485219218693,0.5986707151887154,13769
lag8__iu,0.323664561576241,0.3300446225287416,0.3172845006237405,0.7114996949264552,0.6807859135748106,0.5978698988981036,13769
lag8__diag_lw,0.323664561576241,0.3300446225287416,0.3172845006237405,0.7115026563100135,0.6806463086533604,0.5977232737452658,13769
lag8__joint_lw,0.3236885643110441,0.3297308479787142,0.31764628064337397,0.711561236434274,0.6814795179412826,0.5989155137615476,13769
delta__equal,0.34920245013336615,0.35578863095082736,0.342616269315905,0.7387206133058211,0.7054830035568179,0.6236501153259741,13769
delta__iu,0.3480850537033642,0.35550791758140643,0.3406621898253219,0.7369310120605546,0.7069415197528663,0.623944861874893,13769
delta__diag_lw,0.3477283050207882,0.3552165395781394,0.34024007046343696,0.7368434713221073,0.7080200763301552,0.6249670540309471,13769
delta__joint_lw,0.347385008331789,0.3567000709943525,0.33806994566922544,0.7368946779853175,0.70806809097277,0.6248440386263143,13769
shuffled_lag8__equal,0.32735997146982965,0.32923916374382445,0.3254807791958349,0.6371210021681804,0.6120847838474017,0.5432178444168476,13769
shuffled_lag8__iu,0.3268671890305583,0.3281212411035453,0.32561313695757127,0.6235902721123042,0.6020044777648969,0.5338564292700578,13769
lag8__time_then_rank_iu,0.3193867311310248,0.3221902324841252,0.31658322977792436,0.7102076319721784,0.682060433847186,0.5955879476833281,13769
lag8__rank_then_time_iu,0.3212952788026926,0.3261458437305915,0.31644471387479356,0.71179749679073,0.6797714969337088,0.5971661316737586,13769
current__chain_liu,0.3458631403409591,0.3534849583302442,0.33824132235167403,0.732928203607198,0.7036388670940337,0.6204332546646726,13769
current__permuted_chain_liu,0.3450209795170901,0.35310844730420426,0.33693351172997604,0.7326974610283236,0.7038376582982661,0.6206471594367263,13769
entropy,0.35444376642134146,0.3639529013997512,0.3449346314429317,0.7301113611124386,0.7026639408146143,0.625425539209566,13769
saved_v2__augmented_equal,0.34563115526545907,0.3532098000367166,0.3380525104942015,0.7339189140105462,0.7012937365443381,0.6206849523602403,13769
saved_v2__augmented_iu,0.3450209795170901,0.35310844730420426,0.33693351172997604,0.7327565475977551,0.7038074104714571,0.6205441220076804,13769
saved_v2__augmented_joint_lw,0.34594751080256436,0.35179137694066775,0.34010364466446097,0.7296819712011725,0.7031343788494787,0.6197550869626501,13769
