version,dataset,n,n_bem_error,iu_auroc,cardinality_auroc,leverage_auroc,dufs_liu_auroc,uniform_auroc,reverse_cardinality_auroc
cardinality-balanced-semgrad-confirmation-v1-2026-08-12,sciq,1000,388,0.7449590661006671,0.7467067583046965,0.7456918334344047,0.7442978909776968,0.7458813422276127,0.7399223435078499
cardinality-balanced-semgrad-confirmation-v1-2026-08-12,truthfulqa,817,502,0.6941756782394233,0.6770947954214886,0.6855245683930943,0.6972111553784861,0.6714285714285714,0.7091759944349586
