version,scope,method,reference,delta_pp,ci_low_pp,ci_high_pp,probability_nonpositive
cardinality-balanced-semgrad-confirmation-v1-2026-08-12,sciq,cardinality,iu,0.1747692204029372,-0.39293595445050733,0.7555399737214528,0.27875
cardinality-balanced-semgrad-confirmation-v1-2026-08-12,sciq,leverage,iu,0.07327673337376162,-0.3634357523077947,0.5146321844889239,0.37415
cardinality-balanced-semgrad-confirmation-v1-2026-08-12,sciq,dufs_liu,iu,-0.0661175122970259,-0.18613974799541744,0.04716663297621437,0.8759
cardinality-balanced-semgrad-confirmation-v1-2026-08-12,sciq,cardinality,leverage,0.10149248702917557,-0.2758405767805394,0.48894321474295,0.30505
cardinality-balanced-semgrad-confirmation-v1-2026-08-12,sciq,cardinality,dufs_liu,0.24088673269996308,-0.3895458527053419,0.8835321070008839,0.22755
cardinality-balanced-semgrad-confirmation-v1-2026-08-12,sciq,cardinality,uniform,0.08254160770837515,-0.021898793881813816,0.18992992385957752,0.0637
cardinality-balanced-semgrad-confirmation-v1-2026-08-12,sciq,cardinality,reverse_cardinality,0.678441479684655,-0.3305980897513633,1.7060213260561987,0.0984
cardinality-balanced-semgrad-confirmation-v1-2026-08-12,truthfulqa,cardinality,iu,-1.7080882817934628,-2.224751786504775,-1.195219123505975,1.0
cardinality-balanced-semgrad-confirmation-v1-2026-08-12,truthfulqa,leverage,iu,-0.8651109846328997,-1.2989312590906188,-0.4413931575286145,1.0
cardinality-balanced-semgrad-confirmation-v1-2026-08-12,truthfulqa,dufs_liu,iu,0.30354771390628255,0.20679188009865568,0.40220072092581605,0.0
cardinality-balanced-semgrad-confirmation-v1-2026-08-12,truthfulqa,cardinality,leverage,-0.8429772971605631,-1.3912761651805554,-0.291516473787391,0.9986
cardinality-balanced-semgrad-confirmation-v1-2026-08-12,truthfulqa,cardinality,dufs_liu,-2.0116359956997454,-2.556757098589768,-1.4690444570922612,1.0
cardinality-balanced-semgrad-confirmation-v1-2026-08-12,truthfulqa,cardinality,uniform,0.5666223992917274,0.04929488395624046,1.1092139378992005,0.01695
cardinality-balanced-semgrad-confirmation-v1-2026-08-12,truthfulqa,cardinality,reverse_cardinality,-3.208119901346995,-4.24525706697022,-2.1621450705116114,1.0
cardinality-balanced-semgrad-confirmation-v1-2026-08-12,equal_dataset_hierarchical,cardinality,iu,-0.7666595306952628,-1.9502940618478515,0.43481739774947625,0.80545
cardinality-balanced-semgrad-confirmation-v1-2026-08-12,equal_dataset_hierarchical,leverage,iu,-0.39591712562956904,-1.063997976348574,0.2789990566673396,0.833
cardinality-balanced-semgrad-confirmation-v1-2026-08-12,equal_dataset_hierarchical,dufs_liu,iu,0.11871510080462833,-0.11939053972104263,0.34844747992158753,0.2289
cardinality-balanced-semgrad-confirmation-v1-2026-08-12,equal_dataset_hierarchical,cardinality,leverage,-0.3707424050656938,-1.093728261556948,0.28215753655413955,0.7964
cardinality-balanced-semgrad-confirmation-v1-2026-08-12,equal_dataset_hierarchical,cardinality,dufs_liu,-0.8853746314998912,-2.2560551445013566,0.538631367495455,0.7786
cardinality-balanced-semgrad-confirmation-v1-2026-08-12,equal_dataset_hierarchical,cardinality,uniform,0.3245820035000513,0.026094670525215472,0.8319104534243948,0.00835
cardinality-balanced-semgrad-confirmation-v1-2026-08-12,equal_dataset_hierarchical,cardinality,reverse_cardinality,-1.2648392108311701,-3.694120344020746,1.1440066791321295,0.7581
