version,dataset,n_rows,n_features,n_families,family_cardinality,target_keys_accessed_during_fit,fit_key_whitelist,contribution_reconstruction_error,cardinality_weight_reconstruction_error,leverage_weight_reconstruction_error,cardinality_orthogonality,cardinality_correction_scale,expected_correction_scale,dufs_iu_identity_error,dufs_effective_feature_count,availability,contract
cardinality-balanced-semgrad-confirmation-v1-2026-08-12,sciq,1000,19,6,"[1, 3, 4, 4, 6, 1]",False,"[""token_entropies"", ""token_spilled_energies"", ""token_logsumexp"", ""top_k_logprobs""]",4.440892098500626e-16,8.881784197001252e-16,8.881784197001252e-16,6.252776074688881e-16,0.16666666666666666,0.16666666666666666,0.0,17.903423323112456,"{""cusum_max"": 1.0, ""cusum_max_energy"": 1.0, ""cusum_max_spilled"": 1.0, ""cusum_shift_idx"": 1.0, ""dominant_freq"": 0.035, ""epr"": 1.0, ""epr_energy"": 1.0, ""epr_spilled"": 1.0, ""high_band_power"": 0.035, ""hl_ratio"": 0.035, ""hurst_exponent"": 0.035, ""logprob_margin"": 1.0, ""low_band_power"": 0.035, ""mean_logprob_entropy"": 1.0, ""mean_top1_logprob"": 1.0, ""min_energy"": 1.0, ""min_spilled"": 1.0, ""pe_mean"": 0.035, ""renyi_entropy_2"": 1.0, ""rpdi"": 1.0, ""spectral_centroid"": 0.035, ""spectral_entropy"": 0.035, ""stft_max_high_power"": 0.035, ""stft_spectral_entropy"": 0.035, ""sw_var_peak"": 1.0, ""sw_var_peak_energy"": 1.0, ""sw_var_peak_spilled"": 1.0, ""topk_tail_mass"": 1.0, ""trace_length"": 1.0, ""varentropy"": 1.0}","{""rpdi"": {""centre"": null, ""transform"": ""raw""}}"
cardinality-balanced-semgrad-confirmation-v1-2026-08-12,truthfulqa,817,20,6,"[1, 4, 4, 4, 6, 1]",False,"[""token_entropies"", ""token_spilled_energies"", ""token_logsumexp"", ""top_k_logprobs""]",4.440892098500626e-16,8.881784197001252e-16,8.881784197001252e-16,4.446327706944324e-16,0.16666666666666663,0.16666666666666666,0.0,17.947718350925424,"{""cusum_max"": 1.0, ""cusum_max_energy"": 1.0, ""cusum_max_spilled"": 1.0, ""cusum_shift_idx"": 1.0, ""dominant_freq"": 0.2594859241126071, ""epr"": 1.0, ""epr_energy"": 1.0, ""epr_spilled"": 1.0, ""high_band_power"": 0.2594859241126071, ""hl_ratio"": 0.2594859241126071, ""hurst_exponent"": 0.2594859241126071, ""logprob_margin"": 1.0, ""low_band_power"": 0.2594859241126071, ""mean_logprob_entropy"": 1.0, ""mean_top1_logprob"": 1.0, ""min_energy"": 1.0, ""min_spilled"": 1.0, ""pe_mean"": 0.2594859241126071, ""renyi_entropy_2"": 1.0, ""rpdi"": 1.0, ""spectral_centroid"": 0.2594859241126071, ""spectral_entropy"": 0.2594859241126071, ""stft_max_high_power"": 0.2594859241126071, ""stft_spectral_entropy"": 0.2594859241126071, ""sw_var_peak"": 1.0, ""sw_var_peak_energy"": 1.0, ""sw_var_peak_spilled"": 1.0, ""topk_tail_mass"": 1.0, ""trace_length"": 1.0, ""varentropy"": 1.0}","{""cusum_shift_idx"": {""centre"": null, ""transform"": ""raw""}, ""rpdi"": {""centre"": null, ""transform"": ""raw""}}"
