source,unit,group,domain,repetition,n_train,n_test,n_features,positive_rate_train,positive_rate_test,upcr_n_kept,budget,n_trusted,method,auc,delta_vs_upcr,converged,n_iter
synthetic,independent,independent,synthetic,0,1080,720,18,0.5074074074074074,0.5069444444444444,18,0,0,upcr,0.9874049778120779,0.0,1,0
synthetic,independent,independent,synthetic,0,1080,720,18,0.5074074074074074,0.5069444444444444,18,0,0,platt_upcr,0.9874049778120779,0.0,1,0
synthetic,independent,independent,synthetic,0,1080,720,18,0.5074074074074074,0.5069444444444444,18,0,0,anchored_pcr2,0.9874049778120779,0.0,1,0
synthetic,independent,independent,synthetic,0,1080,720,18,0.5074074074074074,0.5069444444444444,18,0,0,anchored_pcr6,0.9874049778120779,0.0,1,0
synthetic,independent,independent,synthetic,0,1080,720,18,0.5074074074074074,0.5069444444444444,18,0,0,pseudo_gold_pcr6,0.9874049778120779,0.0,1,0
synthetic,independent,independent,synthetic,0,1080,720,18,0.5074074074074074,0.5069444444444444,18,5,5,upcr,0.9874049778120779,0.0,1,0
synthetic,independent,independent,synthetic,0,1080,720,18,0.5074074074074074,0.5069444444444444,18,5,5,platt_upcr,0.9874049778120779,0.0,1,0
synthetic,independent,independent,synthetic,0,1080,720,18,0.5074074074074074,0.5069444444444444,18,5,5,gold_pcr2,0.985591356357322,-0.0018136214547559426,1,9
synthetic,independent,independent,synthetic,0,1080,720,18,0.5074074074074074,0.5069444444444444,18,5,5,gold_pcr6,0.7746170171715223,-0.2127879606405556,1,12
synthetic,independent,independent,synthetic,0,1080,720,18,0.5074074074074074,0.5069444444444444,18,5,5,gold_ridge_all,0.833748794134671,-0.15365618367740697,1,15
synthetic,independent,independent,synthetic,0,1080,720,18,0.5074074074074074,0.5069444444444444,18,5,5,anchored_pcr2,0.9872120393594443,-0.00019293845263357312,1,7
synthetic,independent,independent,synthetic,0,1080,720,18,0.5074074074074074,0.5069444444444444,18,5,5,anchored_pcr6,0.9834381632259309,-0.003966814586147005,1,10
synthetic,independent,independent,synthetic,0,1080,720,18,0.5074074074074074,0.5069444444444444,18,5,5,pseudo_gold_pcr6,0.9608489291915879,-0.02655604862048999,1,10
synthetic,independent,independent,synthetic,0,1080,720,18,0.5074074074074074,0.5069444444444444,18,10,10,upcr,0.9874049778120779,0.0,1,0
synthetic,independent,independent,synthetic,0,1080,720,18,0.5074074074074074,0.5069444444444444,18,10,10,platt_upcr,0.9874049778120779,0.0,1,0
synthetic,independent,independent,synthetic,0,1080,720,18,0.5074074074074074,0.5069444444444444,18,10,10,gold_pcr2,0.9200154350762106,-0.06738954273586728,1,10
synthetic,independent,independent,synthetic,0,1080,720,18,0.5074074074074074,0.5069444444444444,18,10,10,gold_pcr6,0.7858306000385877,-0.2015743777734902,1,12
synthetic,independent,independent,synthetic,0,1080,720,18,0.5074074074074074,0.5069444444444444,18,10,10,gold_ridge_all,0.8533976461508779,-0.13400733166120005,1,17
synthetic,independent,independent,synthetic,0,1080,720,18,0.5074074074074074,0.5069444444444444,18,10,10,anchored_pcr2,0.9834458807640363,-0.003959097048041649,1,9
synthetic,independent,independent,synthetic,0,1080,720,18,0.5074074074074074,0.5069444444444444,18,10,10,anchored_pcr6,0.9782519776191395,-0.00915300019293841,1,11
synthetic,independent,independent,synthetic,0,1080,720,18,0.5074074074074074,0.5069444444444444,18,10,10,pseudo_gold_pcr6,0.9488018522091453,-0.038603125602932664,1,11
synthetic,independent,independent,synthetic,0,1080,720,18,0.5074074074074074,0.5069444444444444,18,20,20,upcr,0.9874049778120779,0.0,1,0
synthetic,independent,independent,synthetic,0,1080,720,18,0.5074074074074074,0.5069444444444444,18,20,20,platt_upcr,0.9874049778120779,0.0,1,0
synthetic,independent,independent,synthetic,0,1080,720,18,0.5074074074074074,0.5069444444444444,18,20,20,gold_pcr2,0.9871348639783909,-0.0002701138336870246,1,9
synthetic,independent,independent,synthetic,0,1080,720,18,0.5074074074074074,0.5069444444444444,18,20,20,gold_pcr6,0.9545359830214162,-0.03286899479066174,1,13
synthetic,independent,independent,synthetic,0,1080,720,18,0.5074074074074074,0.5069444444444444,18,20,20,gold_ridge_all,0.9547983793169978,-0.032606598495080075,1,17
synthetic,independent,independent,synthetic,0,1080,720,18,0.5074074074074074,0.5069444444444444,18,20,20,anchored_pcr2,0.9874667181169208,6.174030484284998e-05,1,8
synthetic,independent,independent,synthetic,0,1080,720,18,0.5074074074074074,0.5069444444444444,18,20,20,anchored_pcr6,0.9831140266255064,-0.004290951186571523,1,10
synthetic,independent,independent,synthetic,0,1080,720,18,0.5074074074074074,0.5069444444444444,18,20,20,pseudo_gold_pcr6,0.9714605440864365,-0.01594443372564147,1,12
synthetic,independent,independent,synthetic,0,1080,720,18,0.5074074074074074,0.5069444444444444,18,40,40,upcr,0.9874049778120779,0.0,1,0
synthetic,independent,independent,synthetic,0,1080,720,18,0.5074074074074074,0.5069444444444444,18,40,40,platt_upcr,0.9874049778120779,0.0,1,0
synthetic,independent,independent,synthetic,0,1080,720,18,0.5074074074074074,0.5069444444444444,18,40,40,gold_pcr2,0.9869033378352305,-0.0005016399768473789,1,9
synthetic,independent,independent,synthetic,0,1080,720,18,0.5074074074074074,0.5069444444444444,18,40,40,gold_pcr6,0.9804669110553733,-0.006938066756704608,1,12
synthetic,independent,independent,synthetic,0,1080,720,18,0.5074074074074074,0.5069444444444444,18,40,40,gold_ridge_all,0.9742620104186764,-0.013142967393401483,1,19
synthetic,independent,independent,synthetic,0,1080,720,18,0.5074074074074074,0.5069444444444444,18,40,40,anchored_pcr2,0.9873586725834459,-4.630522863202646e-05,1,8
synthetic,independent,independent,synthetic,0,1080,720,18,0.5074074074074074,0.5069444444444444,18,40,40,anchored_pcr6,0.9836079490642484,-0.0037970287478295006,1,10
synthetic,independent,independent,synthetic,0,1080,720,18,0.5074074074074074,0.5069444444444444,18,40,40,pseudo_gold_pcr6,0.9819795485240208,-0.005425429288057115,1,13
synthetic,independent,independent,synthetic,0,1080,720,18,0.5074074074074074,0.5069444444444444,18,80,80,upcr,0.9874049778120779,0.0,1,0
synthetic,independent,independent,synthetic,0,1080,720,18,0.5074074074074074,0.5069444444444444,18,80,80,platt_upcr,0.9874049778120779,0.0,1,0
synthetic,independent,independent,synthetic,0,1080,720,18,0.5074074074074074,0.5069444444444444,18,80,80,gold_pcr2,0.9861624541771175,-0.0012425236349604685,1,11
synthetic,independent,independent,synthetic,0,1080,720,18,0.5074074074074074,0.5069444444444444,18,80,80,gold_pcr6,0.9843951379509936,-0.0030098398610842736,1,13
synthetic,independent,independent,synthetic,0,1080,720,18,0.5074074074074074,0.5069444444444444,18,80,80,gold_ridge_all,0.9799652710785258,-0.007439706733552098,1,19
synthetic,independent,independent,synthetic,0,1080,720,18,0.5074074074074074,0.5069444444444444,18,80,80,anchored_pcr2,0.9868338799922826,-0.0005710978197953631,1,7
synthetic,independent,independent,synthetic,0,1080,720,18,0.5074074074074074,0.5069444444444444,18,80,80,anchored_pcr6,0.9859772332625892,-0.0014277445494886853,1,9
synthetic,independent,independent,synthetic,0,1080,720,18,0.5074074074074074,0.5069444444444444,18,80,80,pseudo_gold_pcr6,0.9848659077754197,-0.0025390700366582086,1,14
