budget,repeat_count,method,mean_auc,mean_delta_vs_upcr
5,1,upcr,0.7781205225552528,0.0
5,1,gold_ridge_all,0.6575787962725375,-0.1205417262827152
5,1,anchored_pcr6,0.7713296476766676,-0.006790874878585036
5,1,pseudo_gold_pcr6,0.7317771608107079,-0.046343361744544766
5,2,upcr,0.7799751072522779,0.0
5,2,gold_ridge_all,0.6775022186916395,-0.10247288856063823
5,2,anchored_pcr6,0.7743392717213613,-0.005635835530916501
5,2,pseudo_gold_pcr6,0.7350684423336515,-0.04490666491862627
5,3,upcr,0.779086295602403,0.0
5,3,gold_ridge_all,0.6697907270196657,-0.10929556858273719
5,3,anchored_pcr6,0.7749345225718288,-0.004151773030574096
5,3,pseudo_gold_pcr6,0.7359241959829038,-0.04316209961949911
5,4,upcr,0.7775920495055253,0.0
5,4,gold_ridge_all,0.6683364702811745,-0.10925557922435088
5,4,anchored_pcr6,0.7729829993249996,-0.004609050180525705
5,4,pseudo_gold_pcr6,0.7344681743803436,-0.04312387512518167
5,5,upcr,0.7772912675156748,0.0
5,5,gold_ridge_all,0.6675146355696304,-0.10977663194604421
5,5,anchored_pcr6,0.77125766266842,-0.006033604847254621
5,5,pseudo_gold_pcr6,0.7320181560326801,-0.04527311148299471
5,6,upcr,0.7757555668030477,0.0
5,6,gold_ridge_all,0.67075163613413,-0.10500393066891751
5,6,anchored_pcr6,0.7700296835317536,-0.0057258832712939285
5,6,pseudo_gold_pcr6,0.7336933186930393,-0.04206224811000823
5,7,upcr,0.7769188694753467,0.0
5,7,gold_ridge_all,0.6732200092029968,-0.10369886027235
5,7,anchored_pcr6,0.771753823188876,-0.00516504628647096
5,7,pseudo_gold_pcr6,0.7361813127736268,-0.04073755670172018
5,8,upcr,0.7771094868965981,0.0
5,8,gold_ridge_all,0.6647401902181814,-0.11236929667841662
5,8,anchored_pcr6,0.7724045556584715,-0.004704931238126607
5,8,pseudo_gold_pcr6,0.7345031312260728,-0.04260635567052536
5,9,upcr,0.7757440931433597,0.0
5,9,gold_ridge_all,0.6657922052501263,-0.1099518878932334
5,9,anchored_pcr6,0.771652923252638,-0.004091169890721701
5,9,pseudo_gold_pcr6,0.7356583594608358,-0.04008573368252385
