cell,auroc_t0.05,ncomp_t0.05,auroc_t0.08,ncomp_t0.08,auroc_t0.1,ncomp_t0.1,auroc_t0.12,ncomp_t0.12,auroc_t0.15,ncomp_t0.15,auroc_t0.18,ncomp_t0.18,auroc_t0.2,ncomp_t0.2,auroc_t0.25,ncomp_t0.25,lambda2_frac
math500_r1distill8b_mn4096,0.807061790668348,2,0.807061790668348,2,0.807061790668348,2,0.8456867965064687,1,0.8456867965064687,1,0.8456867965064687,1,0.8456867965064687,1,0.8456867965064687,1,0.11385770957081989
noise_gsm8k_mistral7b,0.7662310490230791,2,0.7662310490230791,2,0.7662310490230791,2,0.7662310490230791,2,0.7662310490230791,2,0.753210802459201,1,0.753210802459201,1,0.753210802459201,1,0.1763942317456671
noise_gsm8k_phi3mini,0.6728928164959497,2,0.6728928164959497,2,0.6728928164959497,2,0.6728928164959497,2,0.6728928164959497,2,0.6728928164959497,2,0.6723544442212849,1,0.6723544442212849,1,0.19799598231388466
sciq_llama8b,0.7378375299077135,2,0.7378375299077135,2,0.7378375299077135,2,0.7413694884356842,1,0.7413694884356842,1,0.7413694884356842,1,0.7413694884356842,1,0.7413694884356842,1,0.10116861474823832
se_nq_open_llama8b,0.7446449193179608,2,0.7446449193179608,2,0.7446449193179608,2,0.7446449193179608,2,0.7489012167682154,1,0.7489012167682154,1,0.7489012167682154,1,0.7489012167682154,1,0.14133747617580403
se_squad_v2_llama8b,0.763442914362887,2,0.763442914362887,2,0.763442914362887,2,0.763442914362887,2,0.7648759710502926,1,0.7648759710502926,1,0.7648759710502926,1,0.7648759710502926,1,0.13910454517144033
seiclr_triviaqa_opt30b,0.5722229586618688,2,0.5722229586618688,2,0.5722229586618688,2,0.5722229586618688,2,0.5748386632749589,1,0.5748386632749589,1,0.5748386632749589,1,0.5748386632749589,1,0.14352465157584096
semenergy_triviaqa_qwen3_8b,0.7921998116380424,2,0.7921998116380424,2,0.7921998116380424,2,0.7921998116380424,2,0.7921998116380424,2,0.7921998116380424,2,0.7921998116380424,2,0.7956027541078451,1,0.23282438477530307
spilled_triviaqa_llama8b,0.8826666666666667,2,0.8826666666666667,2,0.8826666666666667,2,0.9253333333333332,1,0.9253333333333332,1,0.9253333333333332,1,0.9253333333333332,1,0.9253333333333332,1,0.11190411486119037
trace_gsm8k_llama8b_k10,0.8074141551383399,2,0.8074141551383399,2,0.8074141551383399,2,0.8064947710803688,1,0.8064947710803688,1,0.8064947710803688,1,0.8064947710803688,1,0.8064947710803688,1,0.11463094997752045
trace_math500_qwenmath15b_k10,0.6709145559185989,2,0.6709145559185989,2,0.6709145559185989,2,0.6710874499582683,1,0.6710874499582683,1,0.6710874499582683,1,0.6710874499582683,1,0.6710874499582683,1,0.1028965884723021
truthfulqa_llama8b,0.6418854345239734,2,0.6418854345239734,2,0.6418854345239734,2,0.6418854345239734,2,0.6418854345239734,2,0.6391313940328398,1,0.6391313940328398,1,0.6391313940328398,1,0.1734365881168931
