cell,auroc_t0.05,ncomp_t0.05,auroc_t0.08,ncomp_t0.08,auroc_t0.1,ncomp_t0.1,auroc_t0.12,ncomp_t0.12,auroc_t0.15,ncomp_t0.15,auroc_t0.18,ncomp_t0.18,auroc_t0.2,ncomp_t0.2,auroc_t0.25,ncomp_t0.25,lambda2_frac
ars_gsm8k_r1distill8b,0.6822074983839691,2,0.6822074983839691,2,0.6822074983839691,2,0.6822074983839691,2,0.6822074983839691,2,0.6822074983839691,2,0.6822074983839691,2,0.6953175500969618,1,0.21481231614899685
epr_triviaqa_mistral24b,0.7425653686454944,2,0.7425653686454944,2,0.7425653686454944,2,0.7425653686454944,2,0.7432948041746157,1,0.7432948041746157,1,0.7432948041746157,1,0.7432948041746157,1,0.1342835472481752
inside_coqa_llama7b,0.5386910612706436,2,0.5386910612706436,2,0.5386910612706436,2,0.5386910612706436,2,0.5386910612706436,2,0.5406667599799324,1,0.5406667599799324,1,0.5406667599799324,1,0.16253737508937943
internalstates_gsm8k_qwen25_7b,0.6734115742614326,2,0.6734115742614326,2,0.6734115742614326,2,0.6734115742614326,2,0.6584571505656086,1,0.6584571505656086,1,0.6584571505656086,1,0.6584571505656086,1,0.14619728275948318
lapeigvals_gsm8k_llama3b,0.7128750430548961,2,0.7128750430548961,2,0.7128750430548961,2,0.7128191880544772,1,0.7128191880544772,1,0.7128191880544772,1,0.7128191880544772,1,0.7128191880544772,1,0.11874396060410036
lapeigvals_gsm8k_llama8b,0.8072503803346947,2,0.8072503803346947,2,0.8072503803346947,2,0.8058691648650813,1,0.8058691648650813,1,0.8058691648650813,1,0.8058691648650813,1,0.8058691648650813,1,0.10849832052737651
lapeigvals_gsm8k_mistral24b,0.8512851618773221,2,0.8512851618773221,2,0.8512851618773221,2,0.8638714079915081,1,0.8638714079915081,1,0.8638714079915081,1,0.8638714079915081,1,0.8638714079915081,1,0.10213553175900321
lapeigvals_gsm8k_nemo,0.7852975827747308,2,0.7852975827747308,2,0.7852975827747308,2,0.7852975827747308,2,0.7852975827747308,2,0.774430225472273,1,0.774430225472273,1,0.774430225472273,1,0.15842976414758425
lapeigvals_gsm8k_phi35,0.7972303064285015,2,0.7972303064285015,2,0.7972303064285015,2,0.7972303064285015,2,0.7972303064285015,2,0.7834441388762805,1,0.7834441388762805,1,0.7834441388762805,1,0.15861659470043857
losnet_hotpotqa_mistral7b,0.5714260176263429,2,0.5714260176263429,2,0.5714260176263429,2,0.5714260176263429,2,0.5714260176263429,2,0.5716405370135326,1,0.5716405370135326,1,0.5716405370135326,1,0.1666707078780308
math500_dsmath7b,0.7454335427044979,2,0.7454335427044979,2,0.7454335427044979,2,0.7454335427044979,2,0.7454335427044979,2,0.7454335427044979,2,0.7703414915890548,1,0.7703414915890548,1,0.18892981671507061
math500_qwenmath7b,0.9168356997971603,2,0.9168356997971603,2,0.9219700811359025,1,0.9219700811359025,1,0.9219700811359025,1,0.9219700811359025,1,0.9219700811359025,1,0.9219700811359025,1,0.09415953048782728
math500_r1distill8b,0.8237883068898065,2,0.8237883068898065,2,0.8237883068898065,2,0.8237883068898065,2,0.8237883068898065,2,0.8385133666594218,1,0.8385133666594218,1,0.8385133666594218,1,0.1589408382974916
