cell,dataset_family,n,n_correct,iu_auroc,default_auroc,default_delta_pp,incumbent_auroc,incumbent_delta_pp
epr_triviaqa_mistral24b,triviaqa,621,469,0.7425934238581529,0.7424952306138481,-0.009819324430471177,0.7439260464594322,0.13326226012793096
losnet_hotpotqa_mistral7b,hotpotqa,500,169,0.5721589588659075,0.5719265628631187,-0.02323960027887928,0.5725879976402868,0.04290387743792756
sciq_llama8b,sciq,198,131,0.7369260567392047,0.7377235957616498,0.07975390224450596,0.7393186738065399,0.23926170673351788
se_nq_open_llama8b,nq_open,8460,4105,0.739502916412037,0.7400428756619787,0.05399592499416572,0.7433454483415398,0.38425319295027904
se_squad_v2_llama8b,squad_v2,2933,820,0.812104509828818,0.8113905786478595,-0.07139311809585269,0.8112728406034652,-0.08316692253528268
seiclr_triviaqa_opt30b,triviaqa,5000,2324,0.8266982889919704,0.8262022304464495,-0.049605854552092765,0.8256699925904771,-0.10282964014932672
semenergy_triviaqa_qwen3_8b,triviaqa,4392,2094,0.8072191008667475,0.8069591264527187,-0.02599744140288074,0.8079028065599172,0.06837056931696672
truthfulqa_llama8b,truthfulqa,7633,809,0.6631464677130233,0.6630991903802039,-0.004727733281939539,0.6617774175925295,-0.136905012049382
ars_gsm8k_r1distill8b,gsm8k,500,364,0.7589689722042663,0.7583023594053007,-0.06666127989656268,0.7576963477698773,-0.12726244343890247
internalstates_gsm8k_qwen25_7b,gsm8k,500,147,0.7131294444123258,0.7112408702857913,-0.18885741265345368,0.711510666589582,-0.16187778227438887
lapeigvals_gsm8k_llama3b,gsm8k,1319,587,0.6947338043771702,0.6952504631310452,0.05166587538749656,0.6951573714636803,0.042356708651003494
lapeigvals_gsm8k_llama8b,gsm8k,500,362,0.8180598927055809,0.8185603330931219,0.05004403875410457,0.8184001921691089,0.03402994635279821
lapeigvals_gsm8k_mistral24b,gsm8k,1319,1210,0.8466525134581848,0.8470012889529153,0.03487754947304467,0.8467586625217985,0.010614906361372523
lapeigvals_gsm8k_nemo,gsm8k,1319,1094,0.7974812106439163,0.7969124517570586,-0.05687588868577009,0.7986999796871825,0.12187690432662324
lapeigvals_gsm8k_phi35,gsm8k,1319,1118,0.809703717548216,0.807834708390071,-0.18690091581450297,0.8102822203828799,0.05785028346638743
noise_gsm8k_mistral7b,gsm8k,1319,658,0.7856016259788752,0.7854199908952539,-0.018163508362123437,0.785953400254749,0.03517742758738507
noise_gsm8k_phi3mini,gsm8k,1319,936,0.6727700787753008,0.6752945705295574,0.2524491754256619,0.6761453660931469,0.33752873178460874
math500_dsmath7b,math500,300,57,0.7882463360046207,0.789690275070392,0.1443939065771338,0.7902678506967006,0.20215146920798954
math500_qwenmath7b,math500,300,68,0.9307809330628803,0.931288032454361,0.050709939148063654,0.9283088235294118,-0.24721095334685472
math500_r1distill8b,math500,300,86,0.8384046946316018,0.839056726798522,0.06520321669201135,0.8387307107150619,0.03260160834600567
math500_r1distill8b_mn4096,math500,300,117,0.8320956517677829,0.8325627014151604,0.04670496473775376,0.8338704404278175,0.17747886600346652
trace_gsm8k_llama8b_k10,gsm8k,5000,3680,0.8148908926218709,0.8148927453886693,0.00018527667984269414,0.8149108613306982,0.001996870882736701
trace_math500_qwenmath15b_k10,math500,3000,529,0.686874358819394,0.6867427757449552,-0.013158307443872364,0.6869539206783566,0.007956185896262902
