held_family,selected_key,beta,eta,k,lambda,readout,trust_factor,held_delta_pp,held_nrm_delta_pp,held_recovery_fraction,same_graph_u2_delta_pp,same_graph_cs_t1_delta_pp,dufs_same_readout_delta_pp,best_key,best_mean,best_se,one_se_threshold,eligible_count,tail_safe_count,chosen_training_mean,chosen_training_worst,held_auprc_delta_pp
gsm8k,cs__e0100__b0000__k15__l0003__t0100,0.0,1.0,15,0.03,cs,1.0,-0.021548676280830348,0.30659474384678864,-0.07028390640512298,-0.002723751048360201,-0.021548676280830348,-0.001769837905417626,cs__e0100__b0000__k15__l0100__t0200,0.003684532764660099,0.0032788844286310358,0.0004056483360290633,86,72,0.000526027954721008,-0.00035232864077846166,-0.008667505487437999
hotpotqa,u2__e0100__b0000__k15__l0003,0.0,1.0,15,0.03,u2,,-0.0017876615599154988,-0.30032714206545963,0.005952380952387774,-0.0017876615599154988,-0.017876615599132784,0.005362984679746496,cs__e0100__b0000__k15__l0100__t0200,0.0025791162498610487,0.0036257743402279457,-0.001046658090366897,373,306,2.2405393208546093e-05,-3.4658862110995926e-05,0.0007755895953476255
math500,u2__e0100__b0000__k15__l0003,0.0,1.0,15,0.03,u2,,0.012844621547387637,0.5237611296941425,0.024523815951917684,0.012844621547387637,0.08410881863063047,0.013266171798380631,cs__e0100__b0000__k15__l0100__t0200,0.0024933540738312217,0.0036326097537230455,-0.0011392556798918239,383,317,1.5021316266844697e-06,-3.4658862110995926e-05,0.012221851127591776
nq_open,u2__e0100__b0000__k15__l0003,0.0,1.0,15,0.03,u2,,-0.0024947873767056095,-0.09895803471164921,0.02521055904126526,-0.0024947873767056095,-0.006119500874712802,0.14466969938092822,cs__e0100__b0000__k15__l0100__t0200,0.002811793008865197,0.003593444477348478,-0.0007816514684832808,305,285,2.3415572946817677e-05,-3.4658862110995926e-05,0.000716753977625384
sciq,u2__e0100__b0000__k15__l0003,0.0,1.0,15,0.03,u2,,0.0,0.6266378033496611,0.0,0.0,0.13672097527628324,0.09114731685084809,cs__e0100__b0000__k15__l0100__t0200,0.0015926627845244084,0.0035400927728179554,-0.001947429988293547,381,307,1.985159098009538e-05,-3.4658862110995926e-05,0.0
squad_v2,u2__e0100__b0000__k15__l0003,0.0,1.0,15,0.03,u2,,0.003462883658666982,0.8739164059884841,0.003962488442759151,0.003462883658666982,0.016621841561548223,-0.06389020350212604,cs__e0100__b0000__k15__l0100__t0200,0.0019818739180831285,0.0036172427660635434,-0.001635368847980415,383,335,1.4904614324856833e-05,-3.4658862110995926e-05,0.004390290017752818
triviaqa,cs__e0100__b0000__k15__l0003__t0100,0.0,1.0,15,0.03,cs,1.0,-0.03523286407784616,-0.05386558203425521,0.6540886173928321,-0.0034658862110995927,-0.03523286407784616,0.015832301059826026,cs__e0100__b0000__k15__l0100__t0200,0.003673484187901605,0.0032849876960632405,0.00038849649183836463,110,97,0.0005455767944310305,-0.00021548676280830348,0.011845775796581748
truthfulqa,u2__e0100__b0000__k15__l0003,0.0,1.0,15,0.03,u2,,0.00806069467609305,0.33911070793549714,0.02377009775116358,0.00806069467609305,0.18999691338793534,-0.05082766126097704,cs__e0100__b0000__k15__l0300__t0050,0.0012454357259999438,0.0013627542957804007,-0.00011731856978045691,238,227,8.336312871391024e-06,-3.4658862110995926e-05,0.008195087967646786
