version,regime,domain,group,cell,n,n_correct,families_present,iu_auroc,nrm_auroc,nrm_delta_pp,correction_scale,baseline_correction_covariance,weight_reconstruction_error
neutral-residual-mode-cs-iu-v1-2026-08-13,original_lofo,original_23,triviaqa,epr_triviaqa_mistral24b,621,469,entropy_level|entropy_dynamics|sampled_token_energy|partition_energy|topk_distribution|structural,0.7425934238581529,0.7449360341151385,0.23426102569856777,0.16666666666666666,-2.9480801410738857e-16,8.881784197001252e-16
neutral-residual-mode-cs-iu-v1-2026-08-13,original_lofo,original_23,triviaqa,seiclr_triviaqa_opt30b,5000,2324,entropy_level|entropy_dynamics|sampled_token_energy|partition_energy|topk_distribution|structural,0.8266982889919704,0.8241856760803623,-0.2512612911608092,0.16666666666666666,-2.915001573455811e-16,8.881784197001252e-16
neutral-residual-mode-cs-iu-v1-2026-08-13,original_lofo,original_23,triviaqa,semenergy_triviaqa_qwen3_8b,4392,2094,entropy_level|entropy_dynamics|sampled_token_energy|partition_energy|topk_distribution|structural,0.8072191008667475,0.8057731360603423,-0.14459648064052422,0.16666666666666669,5.197218894875505e-17,1.7763568394002505e-15
neutral-residual-mode-cs-iu-v1-2026-08-13,original_lofo,original_23,truthfulqa,truthfulqa_llama8b,7633,809,entropy_level|entropy_dynamics|sampled_token_energy|partition_energy|topk_distribution|structural,0.6631464677130233,0.6665375747923783,0.33911070793549714,0.16666666666666666,2.0758683358378401e-16,8.881784197001252e-16
neutral-residual-mode-cs-iu-v1-2026-08-13,source23_transfer,processbench_qwen,gsm8k,qwen3_4b__gsm8k,400,193,entropy_level|entropy_dynamics|sampled_token_energy|partition_energy|topk_distribution|structural,0.7654126304723285,0.7641861280068083,-0.12265024655202517,0.16666666666666666,-1.5987211554602254e-16,4.440892098500626e-16
neutral-residual-mode-cs-iu-v1-2026-08-13,source23_transfer,processbench_qwen,math,qwen3_4b__math,1000,406,entropy_level|entropy_dynamics|sampled_token_energy|partition_energy|topk_distribution|structural,0.7927634306944652,0.8008409215305766,0.8077490836111423,0.16666666666666666,-9.192646643896296e-17,8.881784197001252e-16
neutral-residual-mode-cs-iu-v1-2026-08-13,source23_transfer,processbench_qwen,olympiadbench,qwen3_4b__olympiadbench,1000,339,entropy_level|entropy_dynamics|sampled_token_energy|partition_energy|topk_distribution|structural,0.7840672262907278,0.7946706295547553,1.0603403264027533,0.16666666666666669,2.5579538487363605e-16,8.881784197001252e-16
neutral-residual-mode-cs-iu-v1-2026-08-13,source23_transfer,processbench_qwen,omnimath,qwen3_4b__omnimath,1000,241,entropy_level|entropy_dynamics|sampled_token_energy|partition_energy|topk_distribution|structural,0.8288258737473962,0.8398416785571755,1.1015804809779262,0.16666666666666666,-1.141309269314661e-16,4.440892098500626e-16
neutral-residual-mode-cs-iu-v1-2026-08-13,source23_transfer,processbench_qwen,gsm8k,qwen3_8b__gsm8k,400,193,entropy_level|entropy_dynamics|sampled_token_energy|partition_energy|topk_distribution|structural,0.7528972991915097,0.7561763159870842,0.32790167955745186,0.16666666666666663,6.966649479522857e-17,4.440892098500626e-16
neutral-residual-mode-cs-iu-v1-2026-08-13,source23_transfer,processbench_qwen,math,qwen3_8b__math,1000,406,entropy_level|entropy_dynamics|sampled_token_energy|partition_energy|topk_distribution|structural,0.7929873447114826,0.7963792274137101,0.33918827022275666,0.16666666666666666,-9.259260025373805e-17,8.881784197001252e-16
neutral-residual-mode-cs-iu-v1-2026-08-13,source23_transfer,processbench_qwen,olympiadbench,qwen3_8b__olympiadbench,1000,339,entropy_level|entropy_dynamics|sampled_token_energy|partition_energy|topk_distribution|structural,0.7829515483378631,0.7906140245181386,0.766247618027549,0.16666666666666666,3.852473895449293e-17,8.881784197001252e-16
neutral-residual-mode-cs-iu-v1-2026-08-13,source23_transfer,processbench_qwen,omnimath,qwen3_8b__omnimath,1000,241,entropy_level|entropy_dynamics|sampled_token_energy|partition_energy|topk_distribution|structural,0.8310454354113024,0.8327620422154067,0.1716606804104348,0.16666666666666666,-4.107825191113079e-17,4.440892098500626e-16
neutral-residual-mode-cs-iu-v1-2026-08-13,source23_transfer,processbench_llama,gsm8k,llama31_8b__gsm8k,400,193,entropy_level|entropy_dynamics|sampled_token_energy|partition_energy|topk_distribution|structural,0.7734975344797377,0.7999299141448274,2.643237966508971,0.16666666666666669,-5.162537064506978e-17,8.881784197001252e-16
neutral-residual-mode-cs-iu-v1-2026-08-13,source23_transfer,processbench_llama,math,llama31_8b__math,1000,406,entropy_level|entropy_dynamics|sampled_token_energy|partition_energy|topk_distribution|structural,0.7864440795475278,0.7936922592095005,0.7248179661972665,0.16666666666666666,2.9309887850104134e-17,8.881784197001252e-16
neutral-residual-mode-cs-iu-v1-2026-08-13,source23_transfer,processbench_llama,olympiadbench,llama31_8b__olympiadbench,1000,339,entropy_level|entropy_dynamics|sampled_token_energy|partition_energy|topk_distribution|structural,0.7513198470182391,0.765863824811785,1.4543977793545992,0.16666666666666669,2.347011474057581e-16,8.881784197001252e-16
neutral-residual-mode-cs-iu-v1-2026-08-13,source23_transfer,processbench_llama,omnimath,llama31_8b__omnimath,1000,241,entropy_level|entropy_dynamics|sampled_token_energy|partition_energy|topk_distribution|structural,0.7990093976022173,0.813994172283907,1.4984774681689683,0.16666666666666666,4.3876013933186186e-16,8.881784197001252e-16
neutral-residual-mode-cs-iu-v1-2026-08-13,source23_transfer,semgrad,sciq,semgrad__sciq,1000,612,entropy_level|entropy_dynamics|sampled_token_energy|partition_energy|topk_distribution|structural,0.7449590661006671,0.7470057610673136,0.20466949666465561,0.16666666666666669,6.838973831690964e-17,1.7763568394002505e-15
neutral-residual-mode-cs-iu-v1-2026-08-13,source23_transfer,semgrad,truthfulqa,semgrad__truthfulqa,817,315,entropy_level|entropy_dynamics|sampled_token_energy|partition_energy|topk_distribution|structural,0.6941756782394233,0.7183266932270916,2.415101498766836,0.16666666666666666,1.7801617653108384e-16,8.881784197001252e-16
