method,method_id,PB_macro_percent,PB_Q4_percent,PB_Q8_percent,PRMB_within_AUC,PRMB_pooled_AUC,PRMScore,PRMScore_conditional,valid_answers,within_answers
Six Renyi views + SEL / Joint L-SML (tail/head/selected groups),R6_sel__joint,35.48883213632509,36.295345816767274,34.6823184558829,0.7380416926855916,0.6761329876061384,0.5914619115045195,0.5914619115045195,13769,6030
Single view / Renyi H_0.1,view__H0.1,35.37061402944089,36.024233692445996,34.71699436643578,0.7425243540883604,0.7152145858570389,0.6331233717756067,0.6331233717756067,13769,6030
Single view / Renyi H_0.25,view__H0.25,35.51908872066802,36.34263073185262,34.69554670948342,0.7413913307907771,0.7130733737469258,0.6322321186191026,0.6322321186191026,13769,6030
Single view / Renyi H_0.5,view__H0.5,35.55201269447277,36.25385745043277,34.850167938512776,0.7371119329766015,0.7088205447792225,0.629581490422481,0.629581490422481,13769,6030
Single view / Shannon H_1 (entropy15),view__H1,35.444376642134145,36.395290139975124,34.493463144293166,0.7301113611124386,0.7026639492591413,0.625425539209566,0.625425539209566,13769,6030
Single view / Renyi H_2 (collision),view__H2,35.590634478744086,36.52791918770642,34.65334976978175,0.7241579067722151,0.6971651392365618,0.6212590127780733,0.6212590127780733,13769,6030
Single view / Min-entropy H_inf (= s_1),view__Hinf,35.77448428193377,36.51188874885053,35.037079815017,0.7178449973156557,0.6923946823401893,0.615788362161201,0.615788362161201,13769,6030
Single view / Selected-token surprisal,view__sel1,22.843343886777966,23.055401524007603,22.631286249548328,0.6975067839657089,0.7121266015207434,0.6118771656806595,0.6118771656806595,13769,6030
Six Renyi views / oriented equal weights,R6__equal,35.624495940250384,36.57510763640657,34.67388424409421,0.7324905817721251,0.6775707907847158,0.5968322323274818,0.5968322323274818,13769,6030
Six Renyi views / IU-PCR learned weights,R6__iu,35.62270056553667,36.5920513612916,34.65334976978175,0.7309977159333767,0.6777164091477175,0.597474856942191,0.597474856942191,13769,6030
Six Renyi views + SEL / oriented equal weights,R6_sel__equal,35.60635444530051,36.39042250312413,34.8222863874769,0.7351553361008776,0.6755931364970746,0.5949129699085991,0.5949129699085991,13769,6030
Six Renyi views + SEL / IU-PCR learned weights,R6_sel__iu,35.78378546625516,36.43248263965862,35.135088292851705,0.7337935905591219,0.6819729119538348,0.6028175404223356,0.6028175404223356,13769,6030
Six Renyi views + SEL / joint-target LW shrinkage IU,R6_sel__shrink,35.75007281958591,36.40810596352619,35.09203967564563,0.7338317690990364,0.6814155121792477,0.6024001274755042,0.6024001274755042,13769,6030
Token entropy reference (frozen),entropy,35.444376642134145,36.395290139975124,34.493463144293166,0.7301113611124386,0.7026639408146143,0.625425539209566,0.625425539209566,13769,6030
"Direct probability IU-PCR (17 inputs, frozen)",direct_iu,34.50209795170901,35.31084473042043,33.6933511729976,0.7327565475977551,0.7038074104714571,0.6205441220076804,0.6205441220076804,13769,6030
Raw varentropy15 reference (frozen Step339),ref__varentropy15,35.960987290405434,36.63539010061059,35.286584480200275,0.7377863024015934,0.710137783099181,0.6257812284738609,0.6257812284738609,13769,6030
Varentropy15 contribution IU (frozen Step339),ref__varentropy15_iu,35.34983585022531,35.898223922652384,34.801447777798245,0.74682374405604,0.710261309641098,0.6226885909285921,0.6226885909285921,13769,6030
