contrast,primary,ci_level,pb_delta_pp,pb_ci_low_pp,pb_ci_high_pp,prm_within_delta_common,prm_within_ci_low,prm_within_ci_high,common_prm_answers,gained,lost
R6__equal_minus_view__H0.1,False,0.95,0.2538819108095003,-0.49816872256198574,0.9924788509076955,-0.010033772316235284,-0.01231048891269178,-0.007803254289131516,6030,146,134
R6__equal_minus_view__H0.25,False,0.95,0.10540721958235966,-0.602508484997693,0.8097174245194316,-0.008900749018652003,-0.010868860296908665,-0.006924547334861518,6030,130,123
R6__equal_minus_view__H0.5,False,0.95,0.07248324577761034,-0.5422524453137963,0.6845799158220585,-0.004621351204476432,-0.006145420732037833,-0.003115448676811561,6030,102,101
R6__equal_minus_view__H1,True,0.975,0.18011929811623806,-0.23522102394422478,0.602808239794925,0.0023792206596864956,0.0012257283067482001,0.003568929906683199,6030,51,45
R6__equal_minus_view__H2,False,0.95,0.03386146150629599,-0.34106299189348016,0.4168529847386915,0.008332674999910052,0.006686638915101846,0.010002901155338561,6030,46,45
R6__equal_minus_view__Hinf,False,0.95,-0.14998834168338804,-0.7590517163361024,0.47725825647327513,0.014645584456469511,0.012455817856647287,0.016936166871560705,6030,104,115
R6__equal_minus_view__sel1,False,0.95,12.781152053472416,10.58277048286247,15.04327594306709,0.034983797806416375,0.028341628660451368,0.04176472304012518,6030,943,387
R6__iu_minus_view__H0.1,False,0.95,0.2520865360957858,-0.5389132024182166,1.0410000183012442,-0.011526638154983549,-0.01396693010295544,-0.009123677223848556,6030,159,145
R6__iu_minus_view__H0.25,False,0.95,0.10361184486864516,-0.6488929138490186,0.8386111199993934,-0.010393614857400266,-0.012523378321313079,-0.008230205151069587,6030,143,134
R6__iu_minus_view__H0.5,False,0.95,0.07068787106389585,-0.5742549528366103,0.7146832732363713,-0.006114217043224696,-0.007836288373546245,-0.004431416769763659,6030,115,112
R6__iu_minus_view__H1,True,0.975,0.17832392340252357,-0.2779133766222363,0.6453681566662046,0.000886354820938233,-0.00021825275267142047,0.002024547305460637,6030,63,55
R6__iu_minus_view__H2,False,0.95,0.032066086792581494,-0.30406108303674223,0.3766640371486774,0.006839809161161788,0.0054042651179973195,0.00828727893731143,6030,38,35
