cell,domain,m,n,nnz_pairs,sparse_fraction,relative_residual_frobenius,ridge_gamma_observed,ridge_gamma_structured,cond_raw_observed,cond_raw_structured,cond_after_observed,cond_after_structured,n_clipped_negative_observed,n_clipped_negative_structured,psd_distortion_observed,psd_distortion_structured,min_eigenvalue_structured,min_eigenvalue_observed,top2_concentration_pcr_observed,top2_concentration_ridge_observed,top2_concentration_pcr_structured,top2_concentration_ridge_structured,residual_eig_top1,residual_eig_top5_share,weight_norm_su_pcr_reproduction,weight_norm_ridge_observed,weight_norm_pcr_structured,weight_norm_sdsf,auroc_su_pcr_reproduction,auroc_ridge_observed,auroc_pcr_structured,auroc_sdsf,weight_cosine_su_pcr_reproduction__ridge_observed,score_spearman_su_pcr_reproduction__ridge_observed,weight_cosine_su_pcr_reproduction__pcr_structured,score_spearman_su_pcr_reproduction__pcr_structured,weight_cosine_su_pcr_reproduction__sdsf,score_spearman_su_pcr_reproduction__sdsf,weight_cosine_ridge_observed__pcr_structured,score_spearman_ridge_observed__pcr_structured,weight_cosine_ridge_observed__sdsf,score_spearman_ridge_observed__sdsf,weight_cosine_pcr_structured__sdsf,score_spearman_pcr_structured__sdsf,splithalf_weight_cosine_su_pcr_reproduction,splithalf_weight_cosine_ridge_observed,splithalf_weight_cosine_pcr_structured,splithalf_weight_cosine_sdsf
epr_triviaqa_mistral24b,QA,28,621,48,0.12698412698412698,0.14971283299934376,0.13021067882316303,0.13042581162769637,148622.66638983187,3.0941942280241106e+18,100.00000000000006,99.99999999999996,0,2,2.575240014145268e-15,0.019282064821575174,-0.2390548485266395,8.679387137900679e-05,1.0,0.024178417020758357,1.0,0.010787342347598232,1.2489785586111712,0.5483611976592329,0.19710072165854506,1.2333252546816866,0.2338124459638277,2.178401537504037,0.6463920996521153,0.5955700819212209,0.6183649422062619,0.5839832790932555,0.15548513413040302,0.6469936417885169,0.9779261972671737,0.9881842693769113,-0.004838296550342453,0.12489117782497958,0.2466501000462686,0.669967084016682,0.9342430690727156,0.7091643128406409,0.10385545912555973,0.11848315893223738,0.6641014730783709,0.3743975469192721,0.5866377460511557,0.30111078216568155
losnet_hotpotqa_mistral7b,QA,29,500,2,0.0049261083743842365,0.1851355345890336,0.11184082961510353,0.09797458373632946,1.1082638708836769e+18,806.6238818374749,99.99999999999994,99.99999999999997,0,0,1.7345568853911045e-15,1.6977112414910312e-15,0.013726515674328097,-4.172621955221387e-18,1.0,0.42593012434919575,1.0,0.5565422617129278,1.3898929069384127,0.5543163490676619,0.14931737461008493,0.22644282674133445,0.14931278776850931,0.19834398270173398,0.5699601351472139,0.5734103219578469,0.5699601351472139,0.5712830047015499,0.6526321123750274,0.9826386185544742,0.9999973178438466,0.9999973119892479,0.7458202299915216,0.9781655766623066,0.6523370521313642,0.9826169224676898,0.8961736207707858,0.9948209712838851,0.7460166283794566,0.9781794967179868,0.9874760448840811,0.8476043495971298,0.9871264794100568,0.9079483919441594
sciq_llama8b,QA,30,198,0,0.0,0.18036001516141278,0.1486178970176422,0.06326005285620576,415910.41007890954,174.08241547551702,100.00000000000003,100.0000000000003,0,0,1.251911111100715e-15,1.7507670772542743e-15,0.08453754096117604,3.5384327684236e-05,1.0,0.14620016745020187,1.0,0.16710929964967103,2.00231766913871,0.546840891020361,0.1372749484443218,0.35542955083910355,0.13729227073926614,0.3344119798777655,0.7420530933120656,0.7229121567733849,0.7418252250199385,0.7186965933690326,0.3823613038522088,0.9356140802458687,0.9999431770160118,0.9999659889974407,0.4080846545919823,0.882062210761545,0.38256655142162393,0.9356975617976052,0.786850593151019,0.9638911369646264,0.40879003493639543,0.8822260819556945,0.9685720370998594,0.6203737540434716,0.9657327472500663,0.5162501821786419
se_nq_open_llama8b,QA,27,8460,44,0.12535612535612536,0.13989829040743912,0.11122655608649112,0.11136530625829436,118948.48645991972,1.800204309301158e+17,99.99999999999993,99.99999999999982,0,2,1.563845938705972e-15,0.0209627659504361,-0.24994026188892748,9.26509826127445e-05,1.0,0.016822672209152126,1.0,0.006422255131077897,0.9135801910885645,0.5133157711054265,0.20308608650138005,1.5287935170091331,0.22801092462994324,2.7687823336503943,0.6302360398886295,0.6052151684191244,0.6117215850849751,0.5996262293889869,0.129697909586164,0.6088394317183135,0.9905137232779185,0.9950203941942645,-0.010623077094308079,0.0813625074196254,0.20987092350176545,0.6173586213706325,0.9505056016447768,0.692743656822422,0.08013590447105741,0.0709945720932035,0.6213865431115011,0.4794289467328622,0.6244208935330341,0.3260276170085738
se_squad_v2_llama8b,QA,27,2933,0,0.0,0.19832652136947435,0.10924533564479498,0.07448694517591245,1321143.8889553312,314.2546270276633,99.99999999999989,100.00000000000114,0,0,1.6844281627973337e-15,6.724756088408706e-15,0.03441796181822197,8.186925747760511e-06,1.0,0.41499202613660985,1.0,0.5706076038145056,1.125840874014106,0.46140645658869106,0.15274642383200204,0.2346373453275757,0.1527574414984743,0.2007805372420896,0.8123018941973612,0.8087807186637885,0.8124138607689911,0.7988370482379693,0.6441961906982396,0.9770089976755861,0.9999975592471763,0.99999720867324,0.7549929857998008,0.963129302049732,0.6441078124859656,0.9770845304355167,0.8753474812178224,0.9909815399920855,0.7553843061861137,0.9632608216238022,0.9987566126463738,0.9453454887886219,0.9987626773100056,0.8202801064855715
seiclr_triviaqa_opt30b,QA,19,5000,2,0.011695906432748537,0.20129269133821434,0.0738353233411679,0.06392960082992064,22495.738812136864,724.9993623183944,99.99999999999999,99.99999999999935,0,0,1.4960480904681734e-15,1.8461210054447964e-15,0.010126459103389733,0.00032638784869260326,1.0,0.01677869413364533,1.0,0.061008093989896865,0.9030802859841226,0.6164418315837036,0.11501856577887692,0.8781323519447245,0.11508163426473347,0.46145030649624214,0.8239816247694173,0.7563062146085946,0.8243017714676772,0.7346651982690531,0.12953212750817394,0.7471525820196858,0.9999410256264863,0.9999847650603472,0.24694106818664394,0.7325084687193314,0.12751051930920668,0.7476842846487727,0.7757794829138585,0.9171776614781671,0.2469974854406669,0.7325631136505169,0.9953478373765143,0.9903786427258575,0.9952722775146061,0.9727994906146661
semenergy_triviaqa_qwen3_8b,QA,27,4392,6,0.017094017094017096,0.15437148889963595,0.09103293011399402,0.06830167704887591,41358.07707141772,397.63747043657276,100.00000000000023,99.99999999999967,0,0,1.2405437216869705e-15,1.3573355084028638e-15,0.022718463565492657,0.00021843626075177818,1.0,0.06058991574861655,1.0,0.05478083223371279,1.1596807957680926,0.5008062717369953,0.11192708693811158,0.44970489289484544,0.11197111934098153,0.4744360444535546,0.7872432570824843,0.772430742067975,0.7869728920044256,0.7608310203715203,0.24614976465387897,0.7856535187046697,0.9999718052944898,0.9999779172704143,0.23403415151563856,0.648749065815882,0.2463013785532171,0.7852806708014607,0.8225171489649641,0.9166527764160178,0.23405282441835434,0.6482643433575652,0.998652542781093,0.9709605246235878,0.9986948391559255,0.9004102003656846
spilled_triviaqa_llama8b,QA,28,256,0,0.0,0.12885338423989556,0.14187093148665988,0.12657132674560675,310846.3041891019,924.8255531159991,100.00000000000001,99.99999999999984,0,0,2.7229342539727267e-15,1.7702085053336435e-15,0.015191771521235799,4.519835643375047e-05,1.0,0.2015386944760601,1.0,0.2929771578424236,1.3866856200916824,0.49117252020763086,0.14072691999732387,0.3103357651498633,0.14072265133347897,0.257662065151638,0.9359999999999999,0.8366666666666667,0.9353333333333333,0.8093333333333333,0.4489305638998803,0.8963271057450216,0.9999972204696642,0.9999935626001373,0.5413454896056662,0.8905191405355913,0.44891293417459555,0.8964165140764476,0.8874788357660478,0.9906571869993132,0.541273611868136,0.8905563344014649,0.38634620146178594,0.10069553495673218,0.35782427333141115,0.16456818782728952
truthfulqa_llama8b,QA,29,7633,4,0.009852216748768473,0.18794922863870384,0.10085366953911966,0.10093496272351056,116340.54664171822,2.230268653427205e+17,100.00000000000007,100.00000000000017,0,1,1.3442067455060791e-15,0.016181100173505887,-0.18979091481039279,8.589527125308987e-05,1.0,0.6607829693471418,1.0,0.818182424070355,1.228831128082331,0.4519782973211786,0.1547820942494181,0.18845511728945072,0.15490402428188454,0.16949015064924064,0.6642847464848126,0.667360127927753,0.664614600979311,0.6678493849237114,0.8128844912635493,0.9918036507206959,0.9999485555531141,0.9999817715487327,0.9028972857760731,0.989392082001283,0.8133764729333167,0.9922004423170608,0.9280228068649712,0.9978015907090211,0.9045330904102982,0.9899708237059583,0.6442486231921059,0.40708312579270334,0.6240365267155437,0.17859739426033183
ars_gsm8k_r1distill8b,math,30,500,6,0.013793103448275862,0.17668832760109474,0.09625958340690291,0.0962589579882257,3.2353355086119526e+17,3.923753166771641e+16,100.00000000000007,100.00000000000036,0,1,1.1918405113906558e-15,0.006803082759615909,-0.08206770789657022,-4.9615002304039e-16,1.0,0.030228967959365503,1.0,0.029068482180913503,1.2555855495840147,0.5389880494614538,0.10849164250194816,0.6168099691649062,0.10845842131885007,0.6288103826887478,0.7580599547511312,0.6845709437621201,0.7582619586296058,0.6738243374272787,0.1738643648094925,0.7840747842991371,0.9999644438255934,0.9999751359005435,0.1715421584287272,0.7777220548882194,0.17300470851639083,0.7838234552938211,0.9591924431757027,0.9740606962427849,0.17049439120574067,0.7771314605258421,0.9893555663782487,0.9624892650880111,0.9897527907079899,0.98905915783641
