reference,candidate,n,mean_delta_pp,median_delta_pp,wins,losses,p_wilcoxon,effect
su_pcr_reproduction,ridge_observed,24,-3.7428877710647845,-2.2141766628091473,2,22,5.960464477539062e-07,"solver PCR->ridge, observed C"
pcr_structured,sdsf,24,-5.276374662949485,-2.5914094975276356,2,22,5.960464477539062e-07,"solver PCR->ridge, structured C"
su_pcr_reproduction,pcr_structured,24,-0.37063231484257136,-0.0026328659606889016,7,14,0.08534092651572474,"matrix observed->structured, PCR"
ridge_observed,sdsf,24,-1.9041192067272725,-0.7766304727978346,4,20,7.62939453125e-05,"matrix observed->structured, ridge"
su_pcr_reproduction,sdsf,24,-5.647006977792056,-2.851102360530333,2,22,5.960464477539062e-07,registered H2 (both at once)
