method,pb_all8,pb_q4,pb_q8,prm_within,prm_pooled,prmscore_q08,valid_answers
view__H0lim,0.3553494592544898,0.363228743485258,0.34747017502372146,0.7439716251034375,0.7162348916174882,0.6334221765985538,13769
view__ve0,0.35566188740848065,0.36249376304759817,0.3488300117693631,0.7534060391728257,0.7230919254721395,0.6354767355299806,13769
view__ve0.75,0.36764768002119413,0.3737513390808455,0.36154402096154276,0.7323022945501653,0.7043142167386917,0.6186785249641445,13769
view__ve1,0.35960987290405433,0.36635390100610593,0.3528658448020027,0.7377863024015935,0.710137783099181,0.6257812284738609,13769
equal,0.36204089367474834,0.36763879714036585,0.3564429902091308,0.7466016580967767,0.6751532362177817,0.5898832827876952,13769
local_iu,0.3634997678871266,0.3680676316062981,0.35893190416795523,0.7457031363877792,0.6715259890744746,0.5870013581043353,13769
external_iu_static,0.36262179910247855,0.36719196315654057,0.35805163504841653,0.7462790293072114,0.6749439423675815,0.589507326930077,13769
external_iu_position_mean,0.36354440288017864,0.36664192953413716,0.3604468762262201,0.7387331293565825,0.6624490147838767,0.5830139852605758,13769
external_iu_position,0.34652086143351835,0.34812295588333836,0.3449187669836983,0.7394845635108326,0.6636023879944061,0.5836829945151322,13769
external_iu_position_shuffled,0.36289890947513515,0.3675543960861584,0.3582434228641118,0.7462906440452026,0.6749417064444707,0.5895293076776548,13769
local_shrink_pooled,0.3637092221928735,0.3684865402177918,0.35893190416795523,0.7456668531215586,0.670486364581801,0.5870135915826735,13769
local_shrink_position,0.35918859262381597,0.3654416520772964,0.35293553317033566,0.7473812068499324,0.6715819593998661,0.5874096999153982,13769
local_shrink_position_scale_only,0.3575487804697162,0.3667305463798204,0.348367014559612,0.7463253042985465,0.6725577385765191,0.5882154981438852,13769
local_shrink_position_shuffled,0.3641980421022632,0.36926259903542746,0.359133485169099,0.7455550761598624,0.6704575893866842,0.5870066335552919,13769
reference__ve1_raw,0.35960987290405433,0.36635390100610593,0.3528658448020027,0.7377863024015935,0.710137783099181,0.6257812284738609,13769
reference__ve1_iu,0.3534983585022531,0.35898223922652384,0.34801447777798244,0.74682374405604,0.710261309641098,0.6226885909285921,13769
reference__entropy,0.35444376642134146,0.3639529013997512,0.3449346314429317,0.7301113611124387,0.7026639408146143,0.625425539209566,13769
reference__direct_iu,0.3450209795170901,0.35310844730420426,0.33693351172997604,0.7327565475977552,0.7038074104714571,0.6205441220076804,13769
reference__temporal_current_iu,0.3450209795170901,0.35310844730420426,0.33693351172997604,0.7327565475977552,0.7038074104714571,0.6205441220076804,13769
reference__temporal_lag8_iu,0.323664561576241,0.3300446225287416,0.3172845006237405,0.7114996949264553,0.6807859135748106,0.5978698988981036,13769
