fold,view,subset,n,r2,abs_correlation
0,qwen3_4b,gsm8k,80,0.0001817807927901871,0.04290189043177215
0,qwen3_4b,math,200,-0.028444645178608008,0.04968316576013718
0,qwen3_4b,olympiadbench,200,-0.0020416566576080264,0.025861518091427966
0,qwen3_4b,omnimath,200,0.0009077922887911205,0.08251390849383888
0,qwen3_8b,gsm8k,80,0.0009051664119085201,0.05576179482373547
0,qwen3_8b,math,200,-0.029255993025504967,0.04306772732702279
0,qwen3_8b,olympiadbench,200,-0.0015344219600488263,0.006477884891596709
0,qwen3_8b,omnimath,200,0.0009050409639882462,0.0927139083411433
0,llama31_8b,gsm8k,80,-0.2709552806889659,0.06215291548503239
0,llama31_8b,math,200,-0.1424117130227629,0.11832772292485123
0,llama31_8b,olympiadbench,200,-0.07531301771482646,0.06285390728213748
0,llama31_8b,omnimath,200,-0.03359670572713269,0.012185500613730619
1,qwen3_4b,gsm8k,80,0.0036033370935260045,0.2478086118984015
1,qwen3_4b,math,200,-0.0017617474834792368,0.03959407430509228
1,qwen3_4b,olympiadbench,200,0.00197769181803531,0.1188463540367145
1,qwen3_4b,omnimath,200,-0.011717973895724931,0.05642751749185617
1,qwen3_8b,gsm8k,80,0.00403349143192655,0.26035084285854415
1,qwen3_8b,math,200,-0.0019450341466333843,0.03376256604008692
1,qwen3_8b,olympiadbench,200,0.002141819974159742,0.12845025633331858
1,qwen3_8b,omnimath,200,-0.011560394056543855,0.046149663131438395
1,llama31_8b,gsm8k,80,-0.22060317992010914,0.21341694823693655
1,llama31_8b,math,200,-0.023911278771487465,0.052051616100870314
1,llama31_8b,olympiadbench,200,-0.05772853077772444,0.07223666560992824
1,llama31_8b,omnimath,200,-0.005304421843795426,0.09081739155276713
2,qwen3_4b,gsm8k,80,-0.009396718238260382,0.1998887837673708
2,qwen3_4b,math,200,-0.004975071612226767,0.008558097237279107
2,qwen3_4b,olympiadbench,200,-0.0021885676654744834,0.011767941689840663
2,qwen3_4b,omnimath,200,-0.0028295503426485347,0.07803877210218949
2,qwen3_8b,gsm8k,80,-0.017831485968822225,0.20111784270670272
2,qwen3_8b,math,200,-0.0037761350751084333,0.00025175170309307967
2,qwen3_8b,olympiadbench,200,-0.0020317076479132723,0.0013745194167720666
2,qwen3_8b,omnimath,200,-0.00218290372529073,0.0664922723653323
2,llama31_8b,gsm8k,80,-0.1379944074282713,0.17939669461364374
2,llama31_8b,math,200,-0.006246141731766519,0.02870617802060939
2,llama31_8b,olympiadbench,200,-0.059600548082740845,0.08307467647192919
2,llama31_8b,omnimath,200,-0.030495000565583075,0.1891217486937142
3,qwen3_4b,gsm8k,80,0.0008608744231383136,0.1985073939951313
3,qwen3_4b,math,200,0.00017945019996046252,0.05806680536210153
3,qwen3_4b,olympiadbench,200,-0.0015443285061480516,0.023975953948557765
3,qwen3_4b,omnimath,200,-0.001991700470709512,0.025342289239064637
3,qwen3_8b,gsm8k,80,-0.003252181157750167,0.2034036695415099
3,qwen3_8b,math,200,-0.00019143851696079572,0.061275201391187833
3,qwen3_8b,olympiadbench,200,-0.0013588943250610885,0.011812118250062387
3,qwen3_8b,omnimath,200,-0.0015629468553879367,0.016085995744294018
3,llama31_8b,gsm8k,80,-0.1363171365311997,0.2999186229098673
3,llama31_8b,math,200,-0.00910755312168754,0.02721560157824938
3,llama31_8b,olympiadbench,200,-0.017532016639602688,0.09933133981873728
3,llama31_8b,omnimath,200,-0.027977075275896768,0.12143457679890826
4,qwen3_4b,gsm8k,80,-0.0058637924191338175,0.02540762818844048
4,qwen3_4b,math,200,-0.022492198014817832,0.05785002885938298
4,qwen3_4b,olympiadbench,200,-0.004189221598635884,0.0567518813577433
4,qwen3_4b,omnimath,200,-0.009200572637854343,0.013357893412159068
4,qwen3_8b,gsm8k,80,-0.004271447158676445,0.010391723718834017
4,qwen3_8b,math,200,-0.019030757396291786,0.048199281644941284
4,qwen3_8b,olympiadbench,200,-0.003879426825595722,0.06335177081687499
4,qwen3_8b,omnimath,200,-0.008900248509225994,0.0036019841080522585
4,llama31_8b,gsm8k,80,-0.11745257825741118,0.026931320957603293
4,llama31_8b,math,200,-0.001897251827322588,0.045630971697497635
4,llama31_8b,olympiadbench,200,-0.014887970685593332,0.006080320903717444
4,llama31_8b,omnimath,200,-0.0573517609753722,0.03762279972114577
