task,fold_a,fold_b,cosine
pb_q4,0,1,0.8311113044009288
pb_q4,0,2,0.6483125995434947
pb_q4,0,3,0.7818843499419406
pb_q4,0,4,0.9836307160181008
pb_q4,1,2,0.9300288080090907
pb_q4,1,3,0.9643306521604138
pb_q4,1,4,0.8815965657124502
pb_q4,2,3,0.97878800392516
pb_q4,2,4,0.7230899124085265
pb_q4,3,4,0.8355983223768957
pb_q8,0,1,0.9820753798444152
pb_q8,0,2,0.9477866499918892
pb_q8,0,3,0.9458635867294519
pb_q8,0,4,0.18909487809781586
pb_q8,1,2,0.9707816155287261
pb_q8,1,3,0.9680370717377312
pb_q8,1,4,0.03164442410231986
pb_q8,2,3,0.995091547642808
pb_q8,2,4,-0.004865331845585496
pb_q8,3,4,0.005574183507600281
prm,0,1,0.9698632815537286
prm,0,2,-0.00453018361309595
prm,0,3,-0.02893687517604853
prm,0,4,0.9418406829905209
prm,1,2,-0.025031970699697603
prm,1,3,-0.0655086712491093
prm,1,4,0.834108525778916
prm,2,3,0.9915723760431069
prm,2,4,0.009894529271207887
prm,3,4,0.006904560661261978
