benchmark,arm,agreement_with_base,both_correct,arm_only,base_only,both_wrong,net,moved_earlier,moved_later,mean_delta_auc_vs_base,answers_improved,answers_worsened,pairs_corrected,pairs_destroyed
pb,R_CONTRIB,0.8397118415128321,1179.0,177.0,158.0,2928.0,19.0,385.0,327.0,,,,,
prm,R_CONTRIB,,,,,,,,,-0.005577085022949503,1390.0,1630.0,4033.0,4814.0
pb,R_CONTRIB_ONLY,0.21476812246735705,349.0,583.0,988.0,2522.0,-405.0,1669.0,1819.0,,,,,
prm,R_CONTRIB_ONLY,,,,,,,,,-0.29039034578727646,1133.0,4570.0,22397.0,57942.0
pb,R_RANDOM_DIR,0.904997748761819,1275.0,91.0,62.0,3014.0,29.0,34.0,388.0,,,,,
prm,R_RANDOM_DIR,,,,,,,,,0.0028449030249313124,1073.0,826.0,2086.0,1672.0
pb,R_RANDOM_DIR_s0,0.8444394416929311,1206.0,171.0,131.0,2934.0,40.0,106.0,585.0,,,,,
prm,R_RANDOM_DIR_s0,,,,,,,,,0.0015288353289837483,1511.0,1456.0,4450.0,4217.0
pb,R_RANDOM_DIR_s1,0.9187303016659163,1246.0,81.0,91.0,3024.0,-10.0,178.0,183.0,,,,,
prm,R_RANDOM_DIR_s1,,,,,,,,,-0.01682817570328112,1126.0,1736.0,2855.0,5258.0
pb,R_RANDOM_DIR_s2,0.8421882035119316,1204.0,157.0,133.0,2948.0,24.0,87.0,614.0,,,,,
prm,R_RANDOM_DIR_s2,,,,,,,,,0.006264990051296322,1696.0,1294.0,4980.0,3665.0
