task,fold,status,chosen_eigenvalue,eigengap,component_sum,active_channels,corr_aux_base_A,corr_aux_base_H,var_aux_H,mean_abs_corr_U_base_H,load_q15_H1,load_q15_VE1,load_chosen_surprisal,load_logprob_margin,load_true_tail50,load_energy_level,load_energy_innovation,load_top15_turnover,load_top50_js,load_dominant_freq16,load_bocpd_p0
pb_q4,0,OK,0.8529582607942301,0.05120857331361606,0.14750275138222668,11,-1.8599985694324297e-15,-0.020071267231536797,0.5524719811516693,0.032064296600289706,-0.0807298501560241,0.7795850956605368,-0.06995132512624662,-0.26221523220471643,-0.2632706878447538,-0.21178149277715405,-0.2597341764358793,0.11131292599255917,0.0013722261824579555,0.06564112412824276,0.33727414396320443
pb_q4,1,OK,0.8399971781858074,0.03758308417420142,0.08354111920116514,11,-2.0872366721720853e-15,0.002647599428436663,0.5740335966583865,0.03213418544704574,0.05948673661777459,0.47267844370876444,0.2023734990252456,-0.22682821225368166,-0.16900814854764873,-0.33880031207560607,-0.5758009710700389,0.24832724503621065,-0.05255957334904513,0.10181851541022854,0.36185389669896184
pb_q4,2,OK,0.8873898698194476,0.0726968149951317,0.06526061616495774,11,-2.0896875320843153e-16,0.03920565466116876,0.5274007888027606,0.026134000783921443,0.26672597489257077,0.28665333489164374,0.21385768366305458,-0.282468022158638,-0.013914721175607752,-0.4939264998598409,-0.5703350242738902,0.23057937227425282,0.015387702993170533,0.125232680581468,0.28746813433677393
pb_q4,3,OK,0.8812184664756191,0.05568544069597958,0.14595786423698115,11,8.045246007075036e-16,0.014817356332342966,0.5079460872140318,0.035269042477299034,0.20696567458874082,0.450549021060552,0.15972436215170704,-0.29786051151730913,-0.076124826834588,-0.45976809261007767,-0.5181469424529235,0.25234491535111564,0.03479881991584266,0.11934355634674686,0.27413188823717455
pb_q4,4,OK,0.8445877118313394,0.07543660962315235,0.0841878426361044,11,-1.6387983292408863e-15,-0.028240832078922883,0.5590230056884959,0.027488906394047264,-0.09733128285036637,0.7150679388309028,0.00343682552450379,-0.3405065104206258,-0.20447229306044265,-0.2527042245752159,-0.2990453403643638,0.12854636635385402,-0.06430348884329885,0.1365466193734514,0.3589532326677059
pb_q8,0,OK,1.0692975519344052,0.17756120664357722,0.03868651121956945,11,1.7797817008787133e-15,-0.03501011037090264,0.6791529212840115,0.0358025503969756,0.14920706646164558,-0.10906025157255224,-0.13411817145823796,0.5444909669573083,-0.4571236729091291,-0.14361722050119902,-0.11533917047296982,-0.15754999809598189,-0.03668078124135716,-0.10998697681944615,0.608464720871489
pb_q8,1,OK,1.0557185224978074,0.23745902807445618,0.021386885603242645,11,1.0228632281702744e-15,-0.023718408649561762,0.7390665907997134,0.038701352089571504,0.18983629262266102,-0.2553465821092354,-0.14928528581166295,0.5781974327607406,-0.3878617257679449,-0.1289463079705395,-0.06392917631583053,-0.13092571513983345,-0.07707072404118254,-0.1288841149137811,0.5756027922898515
pb_q8,2,OK,1.0624735376560681,0.19387904433317393,0.22536372479036892,11,1.358847838537896e-15,-0.03524345148664813,0.8115092977934187,0.03133060905622133,0.2412910829890189,-0.25558506501601724,-0.11849622607050236,0.6537896982495479,-0.4165782689558958,-0.17298880909120679,-0.09783219620991027,0.019288095259682333,-0.06571163438589252,-0.027122689700763765,0.46530973772230844
pb_q8,3,OK,1.1167799378056638,0.18174880327902443,0.276417775596319,11,-1.7604195413992178e-15,-0.08399955008931156,0.7329947848458555,0.03713465985997181,0.23791463529533025,-0.25111480873243014,-0.17800187488582123,0.6682177355766101,-0.41246739470265054,-0.12482847577254372,-0.09305063157561794,-0.007649528983619868,-0.02583669588703678,0.008291242272901922,0.45494357299119687
pb_q8,4,OK,0.8871351440865444,0.19270854787373304,0.2577109514892024,11,-3.586887170823219e-16,-0.04882047689040088,0.5586693600386408,0.032626560115198114,0.08850161016435297,0.7317964752224679,-0.2297081201666296,-0.2674643705289658,-0.3114797546073733,-0.26298278355035637,-0.0060134549241127365,-0.11877630082640529,0.1447034392752025,0.16890470788522213,0.32022950354580004
