cell,domain,family,m,n,nnz_pairs,sparse_fraction,relative_residual_frobenius,psd_distortion_observed,psd_distortion_structured,leakage_fraction_rho,observed_cond_singular,observed_eig_min,observed_eig_max,observed_n_negative_eig,structured_raw_cond_singular,structured_raw_eig_min,structured_raw_eig_max,structured_raw_n_negative_eig,structured_psd_cond_singular,structured_psd_eig_min,structured_psd_eig_max,structured_psd_n_negative_eig,identity_rel_error_k3,identity_rel_error_k10,identity_rel_error_k30,identity_rel_error_k100,identity_rel_error_k300,pcr_consistency_rel_error,gamma_k3,tail_to_head_norm_k3,tail_score_var_k3,tail_score_var_share_k3,head_tail_pearson_k3,head_tail_spearman_k3,ridge_system_k3_cond_singular,ridge_system_k3_eig_min,ridge_system_k3_eig_max,ridge_system_k3_n_negative_eig,gamma_k10,tail_to_head_norm_k10,tail_score_var_k10,tail_score_var_share_k10,head_tail_pearson_k10,head_tail_spearman_k10,ridge_system_k10_cond_singular,ridge_system_k10_eig_min,ridge_system_k10_eig_max,ridge_system_k10_n_negative_eig,gamma_k30,tail_to_head_norm_k30,tail_score_var_k30,tail_score_var_share_k30,head_tail_pearson_k30,head_tail_spearman_k30,ridge_system_k30_cond_singular,ridge_system_k30_eig_min,ridge_system_k30_eig_max,ridge_system_k30_n_negative_eig,gamma_k100,tail_to_head_norm_k100,tail_score_var_k100,tail_score_var_share_k100,head_tail_pearson_k100,head_tail_spearman_k100,ridge_system_k100_cond_singular,ridge_system_k100_eig_min,ridge_system_k100_eig_max,ridge_system_k100_n_negative_eig,gamma_k300,tail_to_head_norm_k300,tail_score_var_k300,tail_score_var_share_k300,head_tail_pearson_k300,head_tail_spearman_k300,ridge_system_k300_cond_singular,ridge_system_k300_eig_min,ridge_system_k300_eig_max,ridge_system_k300_n_negative_eig,auroc_rho_only,auroc_pcr_structured,auroc_pcr_structured_psd,auroc_head_pcr,auroc_head_ridge,auroc_head_pcr_plus_tail,auroc_head_ridge_plus_tail
epr_triviaqa_mistral24b,QA,triviaqa,28,621,48,0.12698412698412698,0.14971283299934376,2.575240014145268e-15,0.019282064821575174,0.30312358720928295,148622.6663897173,8.679387137901215e-05,12.899536590631062,0,134853.5976361006,-0.23905484852663994,12.912155351141976,2,3.0941942280241106e+18,1.3928598782081252e-16,12.912155351141955,0,1.2638729139969415e-15,1.6380277459282029e-15,2.4282717069694855e-15,2.956096063591488e-15,7.288309833800436e-15,2.9667496556160033e-15,6.44963810450845,0.6954645301267105,0.003237079344566355,0.04133512025015086,-1.8891637759785736e-16,-0.0775846613221412,3.0000000000000004,6.449724898379832,19.34917469513948,0,1.433185405768583,1.5075764925005226,0.026451005696002877,0.1372500317888154,-3.1914454867073547e-16,-0.07768653100411037,9.999999999999995,1.4332721996399613,14.332721996399624,0,0.4447218198099886,3.0973048569332504,0.08818698935489817,0.29325488250509885,-7.386710732254778e-16,-0.07787979778392103,29.999999999999996,0.44480861368136765,13.344258410441029,0,0.13021067882316303,6.352889154570303,0.24224428464760397,0.5096607682833542,-2.60687269903989e-16,-0.06298913607193914,100.00000000000006,0.1302974726945418,13.029747269454205,0,0.04305517869303462,10.32086491965533,0.4715641822765332,0.6632074910154859,-1.0583164870349285e-15,-0.04404182619819642,300.00000000000017,0.043141972564413565,12.942591769324078,0,0.724624060150376,0.6183649422062619,0.6183649422062619,0.6463920996521153,0.6490854000673325,0.5953736954326114,0.5955700819212209
losnet_hotpotqa_mistral7b,QA,hotpotqa,29,500,2,0.0049261083743842365,0.1851355345890336,1.7345568853911045e-15,1.6977112414910312e-15,0.05254381554482908,1.6366535455075917e+18,-4.172621955222833e-18,11.072242131895262,0,806.6238818374756,0.013726515674328131,11.072135357329415,0,806.6238818374749,0.013726515674328064,11.072135357329422,0,1.3393918096015281e-15,2.8968521507734013e-15,6.181485515759448e-15,1.441147070626253e-14,2.7788219134218905e-14,3.1025920397242393e-15,5.536121065947624,0.1337860806516012,0.00016571001694686737,0.0015338625476319309,-6.087187734707987e-17,-0.013591638366553466,3.0,5.53612106594762,16.608363197842877,0,1.2302491257661385,0.3190619936346297,0.001274998357204245,0.00642580910006342,-1.3929028010534738e-16,-0.01133562934251737,9.999999999999996,1.230249125766139,12.302491257661394,0,0.38180145282397404,0.6234260226789733,0.003607929127737561,0.015596457149012087,-2.8945634887069556e-16,-0.008269761079044315,29.99999999999998,0.3818014528239738,11.45404358471922,0,0.11184082961510353,1.160949156625399,0.007396716845430556,0.030022740827830005,-1.176263993471543e-16,-0.0021637526550106197,99.99999999999994,0.11184082961510354,11.184082961510352,0,0.037030910140117904,1.8616206780560047,0.011292445678977085,0.04454016415598626,-1.0081400879875696e-16,0.00022790491161964646,299.9999999999996,0.03703091014011792,11.109273042035362,0,0.570621569924382,0.5699601351472139,0.5699601351472139,0.5699601351472139,0.5699601351472139,0.5733745687266487,0.5734103219578469
sciq_llama8b,QA,sciq,30,198,0,0.0,0.18036001516141278,1.251911111100715e-15,1.7507670772542743e-15,0.10254263124567721,415910.410078963,3.538432768423668e-05,14.716710237514981,0,174.08241547551697,0.08453754096117613,14.716499328881998,0,174.08241547551702,0.08453754096117641,14.716499328882012,0,1.6185193228651074e-15,3.1896611312116746e-15,4.742667708500615e-15,6.412137690941522e-15,8.92646716964972e-15,2.055975750812704e-15,7.358302042265975,0.27814716814665275,0.0005277898917480348,0.004263773062423866,-3.318854108104935e-17,0.06799649686673638,3.0,7.358337426593656,22.075012279780985,0,1.6351507104709067,0.7035591160108234,0.005523431480076097,0.023998306597559943,1.348783010571606e-16,0.06519986488356255,9.999999999999996,1.6351860947985903,16.351860947985898,0,0.5074361623339474,1.3528607595332554,0.01877585334928854,0.06755759752444543,1.3577704872602087e-16,0.06499425291354481,29.999999999999975,0.5074715466616309,15.224146399848944,0,0.1486178970176422,2.416596252234516,0.03935880870698429,0.12648724724610816,1.2529766521632769e-16,0.06718796257862146,100.00000000000003,0.14865328134532627,14.865328134532643,0,0.04918426401073486,3.6800926573556882,0.05897269135867917,0.1763246630426889,2.2003997563820506e-16,0.058931018730013704,299.9999999999997,0.049219648338419256,14.765894501525736,0,0.7409137518514298,0.7418252250199385,0.7418252250199385,0.7420530933120656,0.7420530933120656,0.7230260909194486,0.7229121567733849
se_nq_open_llama8b,QA,nq_open,27,8460,44,0.12535612535612536,0.13989829040743912,1.563845938705972e-15,0.0209627659504361,0.3126272005196288,118948.48646032848,9.2650982612831e-05,11.020694150823914,0,126617.47153143198,-0.2499402618889286,11.025165319571148,2,1.800204309301158e+17,-9.817299345307389e-17,11.02516531957113,0,2.3041755892818493e-15,2.3679448021866916e-15,2.4064013091923575e-15,4.441779346766809e-15,4.524645866688762e-15,4.4119253577870116e-15,5.510208098938029,0.7303100158470686,0.0022618578601810465,0.03085879821742253,2.360275769009209e-15,-0.17841724667052947,2.9999999999999996,5.510300749920645,16.530902249761926,0,1.2244186267775299,1.7206158121294053,0.021511924983985353,0.11791851217539755,3.0581979375491786e-15,-0.17180396353316013,9.999999999999993,1.2245112777601426,12.245112777601424,0,0.3799280903912246,3.740291001778599,0.09169501189089577,0.30894304501365194,2.9472962469564195e-15,-0.13482836968286951,29.999999999999975,0.3800207413738372,11.400622241215121,0,0.11122655608649112,7.64484062921541,0.3049138167083132,0.5763568837255727,2.627222580997548e-15,-0.08692956515662612,99.99999999999993,0.11131920706910409,11.131920706910392,0,0.03676554801351194,11.853115495458972,0.6179803294676816,0.7287860586276435,2.2270761339911867e-15,-0.059070339420708474,299.9999999999987,0.03685819899612498,11.05745969883741,0,0.7148859096254883,0.6117215850849751,0.6117215850849751,0.6302360398886295,0.6322228080062537,0.6048881051502536,0.6052151684191244
se_squad_v2_llama8b,QA,squad_v2,27,2933,0,0.0,0.19832652136947435,1.6844281627973337e-15,6.724756088408706e-15,0.054991937345140844,1321143.8890563927,8.186925747748663e-06,10.8161069214095,0,314.2546270276601,0.03441796181822129,10.816003754237666,0,314.2546270276633,0.03441796181822316,10.816003754237649,0,1.4069770016518808e-15,3.275946980081008e-15,6.62849802457954e-15,1.1162514453957136e-14,1.3037720982527254e-14,3.75685602484721e-15,5.408041180316125,0.13998413748787006,0.0001868255985462149,0.001698114012143061,-2.863021649419499e-16,-0.06411279771126462,2.9999999999999987,5.40804936724187,16.224148101725607,0,1.2017805613502237,0.3280474917290801,0.0014670072755079422,0.0072553331668994666,-2.3601345902851295e-16,-0.053639819610111,9.999999999999995,1.201788748275972,12.017887482759708,0,0.3729607349530019,0.6331145268420056,0.004000524710629469,0.0169574341709524,-1.4016452725864667e-16,-0.040089481517708074,29.99999999999998,0.37296892187874964,11.189067656362482,0,0.10924533564479498,1.1873015009725494,0.007988253162971592,0.031775816597348815,-1.6802064877584855e-16,-0.01961109656573095,99.99999999999989,0.10925352257054259,10.925352257054275,0,0.03616605633339507,1.798500207279122,0.012326011981455382,0.047577688124857305,-1.179306032615891e-16,-0.004373761242333674,299.99999999999596,0.036174243259142834,10.852272977742874,0,0.8107591795274318,0.8124138607689911,0.8124138607689911,0.8123018941973612,0.8122453337642701,0.8088840280262717,0.8087807186637885
seiclr_triviaqa_opt30b,QA,triviaqa,19,5000,2,0.011695906432748537,0.20129269133821434,1.4960480904681734e-15,1.8461210054447964e-15,0.23589293254697474,22495.73881214501,0.0003263878486926111,7.342335795644887,0,724.9993623184262,0.010126459103389907,7.3416763925011,0,724.9993623183944,0.010126459103389685,7.341676392501112,0,1.4808342153255791e-15,2.2445775228988677e-15,3.197738774214169e-15,5.988070086029302e-15,1.0214751101669396e-14,2.1458519024396715e-15,3.6706783160494063,0.6081628231144499,0.0012087472434540352,0.029979558009077964,2.232130904243959e-16,0.04658600662170158,3.000000000000001,3.6710047038980984,11.01301411169429,0,0.8154524352397737,1.5131526838861087,0.008661228185867648,0.10636337324713435,3.5675816831597404e-16,0.0749788138691453,9.999999999999996,0.8157788230884667,8.157788230884666,0,0.2528463503511762,3.392713519494042,0.02419727462072346,0.2223779909525648,7.844888379751368e-16,0.09759758417220386,30.000000000000036,0.25317273819986896,7.595182145996068,0,0.0738353233411679,7.655024092215203,0.06098788621747557,0.4065699648440184,1.6040502515654413e-15,0.09058971545230543,99.99999999999999,0.07416171118986072,7.416171118986059,0,0.024228827561996943,13.283300703135497,0.12584031545173774,0.5822111573789857,1.3538829007904082e-15,0.0669744283004811,300.0000000000016,0.024555215410689595,7.366564623206889,0,0.8090250978288555,0.8243017714676772,0.8243017714676772,0.8239816247694173,0.8238478417192151,0.7573026732168906,0.7563062146085946
semenergy_triviaqa_qwen3_8b,QA,triviaqa,27,4392,6,0.017094017094017096,0.15437148889963595,1.2405437216869705e-15,1.3573355084028638e-15,0.2020078187684455,41358.07707142812,0.00021843626075179447,9.03410370736059,0,397.6374704365791,0.0227184635654926,9.033712384387991,0,397.63747043657276,0.02271846356549264,9.033712384387979,0,1.3435888884261773e-15,2.2939442224554384e-15,3.3372430103307154e-15,4.227029663210644e-15,6.856500106465954e-15,2.8848495739842327e-15,4.516724199289159,0.49518036902224966,0.0011568950202534816,0.025274287414269198,-7.565898914269691e-17,0.005182342086788517,3.000000000000001,4.516942635549909,13.550827906649747,0,1.0035465938614507,1.1114288216483175,0.008295552548091995,0.09016291303848317,-4.29760887450508e-17,-0.007976420410810384,10.000000000000012,1.0037650301222025,10.037650301222039,0,0.31129484894958703,2.1141373172304623,0.02129450853598068,0.17922678365100286,2.5786997384910735e-16,-0.02709602343692453,30.000000000000036,0.3115132852103386,9.345398556310167,0,0.09103293011399402,3.9375622672730435,0.041245118118265645,0.2866300469472475,2.6122497793383644e-16,-0.05458746553802701,100.00000000000023,0.09125136637474554,9.125136637474574,0,0.029995226853294567,6.033087613137231,0.062466520039147835,0.37491756608746835,2.6709401214660016e-16,-0.06382955217577163,300.0000000000004,0.0302136631140461,9.064098934213872,0,0.8050455817649665,0.7869728920044256,0.7869728920044256,0.7872432570824843,0.7874041045616679,0.7731034336572726,0.772430742067975
spilled_triviaqa_llama8b,QA,triviaqa,28,256,0,0.0,0.12885338423989556,2.7229342539727267e-15,1.7702085053336435e-15,0.09667363553966658,310846.304188957,4.519835643375147e-05,14.04974205282273,0,924.8255531159679,0.015191771521235768,14.049738499938645,0,924.8255531159991,0.015191771521235553,14.049738499938623,0,1.5754202907808102e-15,3.3763516687037945e-15,6.388856141892048e-15,1.2920215485596139e-14,2.4256503121762288e-14,4.502684330023649e-15,7.024803228876697,0.2606249117132435,0.0004913827826295287,0.003958519403499816,-5.551115123125783e-17,-0.07157887960631723,3.000000000000002,7.024848427233134,21.074545281699386,0,1.5610322299175954,0.6479933039240691,0.00508280889515684,0.022058618815537265,-1.2836953722228372e-16,-0.044332942320897226,10.000000000000004,1.561077428274029,15.610774282740298,0,0.48442710696998914,1.1961309188447764,0.016932219983944372,0.06115029792678148,-3.1051550219984847e-16,-0.01994592584115358,30.00000000000003,0.48447230532642305,14.534169159792686,0,0.14187093148665988,1.9904337030414945,0.03363785691982242,0.10981865041438768,-5.950101522600448e-16,-0.004100623712520027,100.00000000000001,0.14191612984309362,14.191612984309359,0,0.046943754334088955,3.0995497751487697,0.04658035867344745,0.1442423064956226,-1.294103713078698e-15,-0.007543202105745021,300.00000000000017,0.04698895269052255,14.096685807156785,0,0.9326666666666666,0.9353333333333333,0.9353333333333333,0.9359999999999999,0.9359999999999999,0.8366666666666667,0.8366666666666667
truthfulqa_llama8b,QA,truthfulqa,29,7633,4,0.009852216748768473,0.18794922863870384,1.3442067455060791e-15,0.016181100173505887,0.05141994262768436,116340.54664128291,8.589527125304322e-05,9.993102811498165,0,428.89323157576,-0.18979091481039373,9.992561309627561,1,2.230268653427205e+17,1.3177597581145307e-16,9.992561309627558,0,1.0297010954113684e-15,2.578381017734573e-15,5.845286176511531e-15,1.4472807358734995e-14,3.3164227174121604e-14,1.9054844742965384e-15,4.9964225628422065,0.11025867950851526,0.0002413750760093807,0.002311065753547332,1.2911990278163817e-16,0.02316023496558169,2.9999999999999973,4.9965084581134604,14.989525374340378,0,1.110249317642849,0.21807347789688913,0.0011345932766479885,0.005915997789686168,1.7452904002327697e-16,0.030722693100176616,9.999999999999995,1.1103352129141024,11.103352129141015,0,0.3445008949434681,0.39564341099784556,0.0022564346641780553,0.010138934342633922,2.8293334268992477e-18,0.036154231668512615,29.999999999999996,0.3445867902147212,10.33760370644164,0,0.10085366953911966,0.7164887959202069,0.003769851381574132,0.01604355255095172,-7.402590899224852e-17,0.03739472088987582,100.00000000000007,0.10093956481037271,10.093956481037292,0,0.03333556598703075,1.051987860628857,0.0052899065257357375,0.022072061062963666,-2.231869882672019e-16,0.037127005573639946,299.99999999999983,0.03342146125828393,10.026438377485203,0,0.6626914460270376,0.664614600979311,0.664614600979311,0.6642847464848126,0.6642318538366009,0.6673769738739301,0.667360127927753
ars_gsm8k_r1distill8b,math,gsm8k,30,500,6,0.013793103448275862,0.17668832760109474,1.1918405113906558e-15,0.006803082759615909,0.18223723660267072,2.1708163319453972e+16,-4.9615002304039e-16,9.529698757283391,0,587.3636248966142,-0.08206770789657043,9.529636840834401,1,3.923753166771641e+16,5.542326097506835e-16,9.5296368408344,0,2.3136641434912083e-15,4.1701500076473905e-15,5.53577360023624e-15,7.702381940850122e-15,1.830427370166207e-14,2.1083380620557745e-15,4.764849378641693,0.46601420392648707,0.0006327686595560582,0.014897790254214798,-1.1499741675118918e-16,-0.043378253513014046,3.000000000000002,4.764849378641694,14.294548135925092,0,1.0588554174759317,1.1604296251706088,0.0055079616605923625,0.06473774713569493,5.575366020035436e-17,-0.06146635786543146,10.000000000000012,1.0588554174759324,10.58855417475933,0,0.3286103019752892,2.4977260589594183,0.016922262100585037,0.15376531945090685,3.6569962439775914e-17,-0.08726290905163621,30.00000000000001,0.3286103019752893,9.858309059258696,0,0.09625958340690291,5.6639960714983015,0.0387729000190604,0.283067541901652,6.217696610281451e-16,-0.11352928611714445,100.00000000000007,0.09625958340690297,9.625958340690296,0,0.03187190219827221,11.513641757532355,0.07207827060648975,0.4196441863095491,1.3501579748513005e-15,-0.11531047724190899,299.99999999999926,0.031871902198272246,9.56157065948167,0,0.7499191984486102,0.7582619586296058,0.7582619586296058,0.7580599547511312,0.7579387524240466,0.6853587588881707,0.6845709437621201
