contrast,reference,candidate,n_cells,mean_delta_pp,median_delta_pp,family_macro_delta_pp,ci_lo_pp,ci_hi_pp,wins,losses,p_wilcoxon
"head rescaling, tail absent",auroc_head_pcr,auroc_head_ridge,24,0.017761114199725998,0.0,0.030987499651937908,-0.004208891299720626,0.06201218131526298,10,9,0.9039076325167246
"head rescaling, tail present",auroc_head_pcr_plus_tail,auroc_head_ridge_plus_tail,24,-0.02922815471816803,-0.025173037037817814,-0.012564070703702523,-0.03552563537522098,-0.006000599028458768,4,19,0.0006580763435422673
tail addition at PCR head,auroc_head_pcr,auroc_head_pcr_plus_tail,24,-3.7136596163466162,-2.1815632222246917,-2.419456862169376,-5.356875261604097,-1.758085758451841,2,22,5.960464477539062e-07
tail addition at ridge head,auroc_head_ridge,auroc_head_ridge_plus_tail,24,-3.760648885264511,-2.2088543241669867,-2.4630084325250166,-5.3988537908721295,-1.8265989777990057,2,22,5.960464477539062e-07
"solver leg, both at once",auroc_head_pcr,auroc_head_ridge_plus_tail,24,-3.7428877710647845,-2.2141766628091473,-2.432020932873079,-5.384761795621674,-1.8562495898082219,2,22,5.960464477539062e-07
"matrix leg, PCR solver (raw structured)",auroc_head_pcr,auroc_pcr_structured,24,-0.37063231484257136,-0.0026328659606889016,-0.4231735024583804,-0.8122812027351637,-0.011371395125904649,7,14,0.08534092651572474
"matrix leg, PCR solver (PSD structured)",auroc_head_pcr,auroc_pcr_structured_psd,24,-0.37063231484257136,-0.0026328659606889016,-0.4231735024583804,-0.8103012824299605,-0.05274507251819184,7,14,0.08534092651572474
PSD repair on the structured matrix,auroc_pcr_structured,auroc_pcr_structured_psd,24,0.0,0.0,0.0,0.0,0.0,0,0,nan
no inversion at all,auroc_head_pcr,auroc_rho_only,24,0.5205889479182226,-0.09196261071232614,1.186274001144495,-0.24094996656301823,2.239604517379422,8,16,0.20761656761169434
interaction (tail effect at ridge head - at PCR head),-,-,24,-0.046989268917894046,-0.03380162643387141,-0.043551570355640445,-0.0834367679652166,-0.022382546631157563,3,20,7.687343458186032e-05
