cell,domain,family,kappa,gamma,auroc_head_pcr,auroc_head_ridge,auroc_head_pcr_plus_tail,auroc_head_ridge_plus_tail,tail_effect_pp,head_effect_pp
epr_triviaqa_mistral24b,QA,triviaqa,3.0,6.44963810450845,0.6463920996521153,0.699584782852654,0.6430815845584109,0.6957833015374257,-0.33105150937043915,5.3192683200538715
epr_triviaqa_mistral24b,QA,triviaqa,10.0,1.433185405768583,0.6463920996521153,0.6701268095612165,0.6341740545393334,0.6517787004825497,-1.2218045112781906,2.3734709909101204
epr_triviaqa_mistral24b,QA,triviaqa,30.0,0.4447218198099886,0.6463920996521153,0.655524071372461,0.6218437885759174,0.6257574907417798,-2.4548311076197926,0.9131971720345744
epr_triviaqa_mistral24b,QA,triviaqa,100.0,0.13021067882316303,0.6463920996521153,0.6490854000673325,0.5953736954326114,0.5955700819212209,-5.101840421950388,0.26933004152172035
epr_triviaqa_mistral24b,QA,triviaqa,300.0,0.04305517869303462,0.6463920996521153,0.6472618112445292,0.5721159241387049,0.5720317585007294,-7.4276175513410365,0.0869711592413891
losnet_hotpotqa_mistral7b,QA,hotpotqa,3.0,5.536121065947624,0.5699601351472139,0.5704249271527915,0.5694059600636407,0.569978011762813,-0.05541750835731385,0.04647920055775856
losnet_hotpotqa_mistral7b,QA,hotpotqa,10.0,1.2302491257661385,0.5699601351472139,0.5704070505371923,0.5700852714564077,0.5703176674591967,0.012513630919386287,0.04469153899784306
losnet_hotpotqa_mistral7b,QA,hotpotqa,30.0,0.38180145282397404,0.5699601351472139,0.5698528754536191,0.5714796474731403,0.5715511539355369,0.15195123259263976,-0.01072596935948189
losnet_hotpotqa_mistral7b,QA,hotpotqa,100.0,0.11184082961510353,0.5699601351472139,0.5699601351472139,0.5733745687266487,0.5734103219578469,0.3414433579434828,0.0
losnet_hotpotqa_mistral7b,QA,hotpotqa,300.0,0.037030910140117904,0.5699601351472139,0.5699601351472139,0.5753231198269544,0.5753767496737517,0.5362984679740501,0.0
sciq_llama8b,QA,sciq,3.0,7.358302042265975,0.7420530933120656,0.7420530933120656,0.7400022786829212,0.738976871368349,-0.20508146291443596,0.0
sciq_llama8b,QA,sciq,10.0,1.6351507104709067,0.7420530933120656,0.7420530933120656,0.7352170445482511,0.7349891762561239,-0.6836048763814495,0.0
sciq_llama8b,QA,sciq,30.0,0.5074361623339474,0.7420530933120656,0.7419391591660021,0.7305457445596445,0.7305457445596445,-1.1507348752421098,-0.011393414606353236
sciq_llama8b,QA,sciq,100.0,0.1486178970176422,0.7420530933120656,0.7420530933120656,0.7230260909194486,0.7229121567733849,-1.902700239261701,0.0
sciq_llama8b,QA,sciq,300.0,0.04918426401073486,0.7420530933120656,0.7420530933120656,0.7110630055827734,0.7111769397288368,-3.0990087729292237,0.0
se_nq_open_llama8b,QA,nq_open,3.0,5.510208098938029,0.6302360398886295,0.6777828276401185,0.6304941329145521,0.6802013729721113,0.02580930259226122,4.754678775148902
se_nq_open_llama8b,QA,nq_open,10.0,1.2244186267775299,0.6302360398886295,0.6485160070536478,0.6284463935359277,0.6458843979297739,-0.17896463527018458,1.827996716501823
se_nq_open_llama8b,QA,nq_open,30.0,0.3799280903912246,0.6302360398886295,0.6368325150225636,0.6216152629525473,0.6260207442129743,-0.8620776936082208,0.6596475133934021
se_nq_open_llama8b,QA,nq_open,100.0,0.11122655608649112,0.6302360398886295,0.6322228080062537,0.6048881051502536,0.6052151684191244,-2.5347934738375932,0.19867681176242158
se_nq_open_llama8b,QA,nq_open,300.0,0.03676554801351194,0.6302360398886295,0.6309183027055298,0.592617834653212,0.592642055346802,-3.761820523541748,0.06822628169003142
se_squad_v2_llama8b,QA,squad_v2,3.0,5.408041180316125,0.8123018941973612,0.8116173975275011,0.8123117057010607,0.8117449470755947,0.0009811503699497237,-0.06844966698601462
se_squad_v2_llama8b,QA,squad_v2,10.0,1.2017805613502237,0.8123018941973612,0.811732249835513,0.8123428716539887,0.8119030854293399,0.004097745662745567,-0.056964436184825384
se_squad_v2_llama8b,QA,squad_v2,30.0,0.3729607349530019,0.8123018941973612,0.8121183613634528,0.8117559128738473,0.8113386353929796,-0.054598132351391104,-0.018353283390837305
se_squad_v2_llama8b,QA,squad_v2,100.0,0.10924533564479498,0.8123018941973612,0.8122453337642701,0.8088840280262717,0.8087807186637885,-0.3417866171089523,-0.005656043309110181
se_squad_v2_llama8b,QA,squad_v2,300.0,0.03616605633339507,0.8123018941973612,0.8123451802430944,0.8056450775108792,0.8055279166137614,-0.6656816686481992,0.004328604573322625
seiclr_triviaqa_opt30b,QA,triviaqa,3.0,3.6706783160494063,0.8239816247694173,0.8196746788563608,0.8200610738919805,0.8086415971380719,-0.39205508774368125,-0.430694591305647
seiclr_triviaqa_opt30b,QA,triviaqa,10.0,0.8154524352397737,0.8239816247694173,0.8226179059608066,0.8001142140631714,0.7935004753157409,-2.3867410706245873,-0.13637188086106367
seiclr_triviaqa_opt30b,QA,triviaqa,30.0,0.2528463503511762,0.8239816247694173,0.823611148630396,0.7796566631677253,0.7769798765851363,-4.4324961601691975,-0.037047613902130294
seiclr_triviaqa_opt30b,QA,triviaqa,100.0,0.0738353233411679,0.8239816247694173,0.8238478417192151,0.7573026732168906,0.7563062146085946,-6.667895155252667,-0.013378305020217418
seiclr_triviaqa_opt30b,QA,triviaqa,300.0,0.024228827561996943,0.8239816247694173,0.823903799052713,0.7315045737080288,0.7310598093848809,-9.247705106138849,-0.007782571670422733
semenergy_triviaqa_qwen3_8b,QA,triviaqa,3.0,4.516724199289159,0.7872432570824843,0.7933631503828336,0.7930863430930764,0.8000391520220648,0.5843086010592025,0.6119893300349233
semenergy_triviaqa_qwen3_8b,QA,triviaqa,10.0,1.0035465938614507,0.7872432570824843,0.7895279562893858,0.7950763630680887,0.7959153052818654,0.7833105985604383,0.22846992069014416
semenergy_triviaqa_qwen3_8b,QA,triviaqa,30.0,0.31129484894958703,0.7872432570824843,0.787912415846012,0.7886501529921373,0.7874612532138323,0.14068959096529277,0.06691587635276885
semenergy_triviaqa_qwen3_8b,QA,triviaqa,100.0,0.09103293011399402,0.7872432570824843,0.7874041045616679,0.7731034336572726,0.772430742067975,-1.4139823425211695,0.01608474791835457
semenergy_triviaqa_qwen3_8b,QA,triviaqa,300.0,0.029995226853294567,0.7872432570824843,0.7872950025893535,0.7565361433013883,0.7563112893317805,-3.070711378109603,0.005174550686914969
spilled_triviaqa_llama8b,QA,triviaqa,3.0,7.024803228876697,0.9359999999999999,0.9359999999999999,0.9286666666666666,0.9253333333333333,-0.7333333333333303,0.0
spilled_triviaqa_llama8b,QA,triviaqa,10.0,1.5610322299175954,0.9359999999999999,0.9353333333333333,0.9159999999999999,0.9099999999999999,-2.0000000000000018,-0.06666666666665932
spilled_triviaqa_llama8b,QA,triviaqa,30.0,0.48442710696998914,0.9359999999999999,0.9353333333333333,0.8719999999999999,0.8706666666666666,-6.400000000000006,-0.06666666666665932
spilled_triviaqa_llama8b,QA,triviaqa,100.0,0.14187093148665988,0.9359999999999999,0.9359999999999999,0.8366666666666667,0.8366666666666667,-9.933333333333326,0.0
spilled_triviaqa_llama8b,QA,triviaqa,300.0,0.046943754334088955,0.9359999999999999,0.9359999999999999,0.812,0.81,-12.399999999999988,0.0
truthfulqa_llama8b,QA,truthfulqa,3.0,4.9964225628422065,0.6642847464848126,0.6628559204262712,0.6657912812628156,0.6651918916294849,0.15065347780029992,-0.14288260585414436
truthfulqa_llama8b,QA,truthfulqa,10.0,1.110249317642849,0.6642847464848126,0.6637456762071479,0.667176815051074,0.6668994909263748,0.2892068566261341,-0.05390702776647549
truthfulqa_llama8b,QA,truthfulqa,30.0,0.3445008949434681,0.6642847464848126,0.6640662926021299,0.6675668077620323,0.6674954389147877,0.3282061277219639,-0.021845388268271204
truthfulqa_llama8b,QA,truthfulqa,100.0,0.10085366953911966,0.6642847464848126,0.6642318538366009,0.6673769738739301,0.667360127927753,0.3092227389117519,-0.005289264821173312
truthfulqa_llama8b,QA,truthfulqa,300.0,0.03333556598703075,0.6642847464848126,0.6642662702857796,0.666811094993747,0.6668080156272416,0.2526348508934406,-0.0018476199033057306
ars_gsm8k_r1distill8b,math,gsm8k,3.0,4.764849378641693,0.7580599547511312,0.7567671299288947,0.7530502585649645,0.7482021654815774,-0.5009696186166646,-0.12928248222364713
ars_gsm8k_r1distill8b,math,gsm8k,10.0,1.0588554174759317,0.7580599547511312,0.757999353587589,0.7376575630252102,0.7336982870071105,-2.0402391725920954,-0.0060601163542228775
ars_gsm8k_r1distill8b,math,gsm8k,30.0,0.3286103019752892,0.7580599547511312,0.7579387524240465,0.7153765352294764,0.7131544925662572,-4.2683419521654775,-0.01212023270846796
ars_gsm8k_r1distill8b,math,gsm8k,100.0,0.09625958340690291,0.7580599547511312,0.7579387524240466,0.6853587588881707,0.6845709437621201,-7.270119586296053,-0.012120232708456857
ars_gsm8k_r1distill8b,math,gsm8k,300.0,0.03187190219827221,0.7580599547511312,0.7580599547511313,0.6562297996121527,0.6559671945701359,-10.183015513897853,1.1102230246251565e-14
