cell,domain,family,fraction,n,m,n_train,n_train_over_m,underdetermined_flag,reps_ok,reps_skipped,heldout_auroc_head_pcr,heldout_auroc_sd_head_pcr,heldout_auroc_head_ridge,heldout_auroc_sd_head_ridge,heldout_auroc_head_pcr_plus_tail,heldout_auroc_sd_head_pcr_plus_tail,heldout_auroc_head_ridge_plus_tail,heldout_auroc_sd_head_ridge_plus_tail,heldout_ridge_minus_pcr_pp,heldout_tail_effect_pp,heldout_head_effect_pp,tail_norm_cv,tail_cosine_median,top2_subspace_angle_deg_mean,residual_subspace_angle_deg_mean
lapeigvals_gsm8k_nemo,math,gsm8k,0.25,1319,29,330,11.379310344827585,0,50,0,0.7962683863166613,0.008094088611580704,0.7962975969635068,0.008082922718627216,0.7769906892287172,0.009548572201977832,0.776741130132545,0.009587913273313976,-1.9527256184116326,-1.9277697087944135,0.0029210646845467814,0.2284271851495995,0.5858980086014586,21.7794546382575,40.47619071447486
lapeigvals_gsm8k_nemo,math,gsm8k,0.5,1319,29,660,22.75862068965517,0,50,0,0.7993680230921096,0.016834123814273638,0.7994394383936053,0.016819149883231993,0.7828154294336082,0.017918953282942095,0.7826055722002718,0.017963085374966093,-1.676245089183781,-1.655259365850148,0.007141530149568087,0.16308754805546946,0.6933667738555663,16.472614292546034,33.50954869576885
lapeigvals_gsm8k_nemo,math,gsm8k,0.75,1319,29,989,34.10344827586207,0,50,0,0.8017962830499458,0.027499493733795555,0.8018645294654148,0.027485433849014942,0.7865164691876484,0.02521611444867513,0.7863510342962818,0.025231996492645903,-1.5445248753663932,-1.5279813862297376,0.006824641546898658,0.06633154158581377,0.9811671775398693,11.531849512972311,17.73900129209266
lapeigvals_gsm8k_phi35,math,gsm8k,0.25,1319,29,330,11.379310344827585,0,50,0,0.8121993859512512,0.009360057869005012,0.812206386756848,0.009362561712235429,0.7993774797478994,0.013837278000000225,0.7991307975918157,0.013989622332111262,-1.3068588359435473,-1.2821906203351774,0.0007000805596790727,0.30081418709633373,0.7257968227342213,15.246819013269057,34.76699884579424
lapeigvals_gsm8k_phi35,math,gsm8k,0.5,1319,29,660,22.75862068965517,0,50,0,0.8102078574049782,0.021347101286928523,0.8102508730811943,0.021358345256685018,0.7983620467035978,0.021175466038298865,0.7981555658093515,0.021167743339683815,-1.2052291595626707,-1.1845810701380466,0.0043015676216007215,0.15588960192650628,0.9246371052785779,5.577712482970691,22.02303762981502
lapeigvals_gsm8k_phi35,math,gsm8k,0.75,1319,29,989,34.10344827586207,0,50,0,0.8087934256903395,0.02511254537448144,0.8088425920706812,0.025095814892136838,0.8007924768340056,0.02569277660926003,0.8007048957785017,0.025737983678424156,-0.8088529911837838,-0.8000948856333956,0.004916638034169196,0.10481448973732999,0.9678848926203182,3.241266280604698,16.43466399079225
noise_gsm8k_mistral7b,math,gsm8k,0.25,1319,29,330,11.379310344827585,0,50,0,0.7835226960057845,0.007475743527883014,0.7835426551557038,0.007472864905808497,0.7552680701189592,0.009471007213558476,0.7548609364749536,0.009507845564220954,-2.8661759530830944,-2.8254625886825258,0.0019959149919257513,0.1243015741369253,0.9514097851945947,8.493659226981984,28.582304466498304
noise_gsm8k_mistral7b,math,gsm8k,0.5,1319,29,660,22.75862068965517,0,50,0,0.7836072772574922,0.013147370407355767,0.7836317842405228,0.013169706886301,0.7578791693766159,0.014419501239658879,0.7575315096332395,0.014434606939041401,-2.607576762425279,-2.5728107880876316,0.0024506983030581075,0.04807144779001642,0.9814255950582854,4.050483678659801,18.76240576314968
noise_gsm8k_mistral7b,math,gsm8k,0.75,1319,29,989,34.10344827586207,0,50,0,0.7837113077789946,0.017835391124957363,0.7837400540885509,0.017859625263364078,0.7577064577073671,0.020489780296726753,0.7573327005274879,0.020563934807838555,-2.6378607251506647,-2.600485007162745,0.0028746309556293426,0.039253623562573045,0.9947077670681818,2.4686334969535655,10.555686142432835
noise_gsm8k_phi3mini,math,gsm8k,0.25,1319,29,330,11.379310344827585,0,50,0,0.6806297555581357,0.00964686684691457,0.6806625121140418,0.009646730788041995,0.6691324057053607,0.010719442957171664,0.6690137387693498,0.010722661377477377,-1.1616016788785877,-1.1497349852774952,0.00327565559061771,0.3354300701788566,0.5114956523965039,19.08501747377319,42.83171695536292
noise_gsm8k_phi3mini,math,gsm8k,0.5,1319,29,660,22.75862068965517,0,50,0,0.6819004809678934,0.016705781732445663,0.6819433727765914,0.016713028268323254,0.6707487384270842,0.016854376384075373,0.6706257201225637,0.016863775133577705,-1.1274760845329634,-1.1151742540809195,0.004289180869809783,0.2675091436072681,0.7409220163659883,9.172217085082156,31.339265497081744
noise_gsm8k_phi3mini,math,gsm8k,0.75,1319,29,989,34.10344827586207,0,50,0,0.6914151418140092,0.026354328882628664,0.6914468658236592,0.026355923521813415,0.6776431977282315,0.027543268748110333,0.6775143053107773,0.027539297107106123,-1.3900836503231928,-1.3771944085777754,0.0031724009650013762,0.16293965597955518,0.9655921591876012,3.722278281450852,22.789031786491652
math500_dsmath7b,math,math500,0.25,300,30,75,2.5,0,50,0,0.7828096771756912,0.02491470620868175,0.7828798428392254,0.02488662667188656,0.7634188596495908,0.035916844844074224,0.7630944162652998,0.036107029238212185,-1.971526091039133,-1.939081752610039,0.007016566353423848,0.9653555389733189,0.4012403015232588,27.496899739834184,49.105875324075505
math500_dsmath7b,math,math500,0.5,300,30,150,5.0,0,50,0,0.7797856691254075,0.043578495164072265,0.7799092525243398,0.04312253759631808,0.771676001480434,0.039258397806206935,0.7714899744937473,0.03919469936542978,-0.8295694631660133,-0.8109667644973451,0.01235833989323698,0.7219873111533458,0.6293986704495157,16.27511290367389,38.033774700579436
math500_dsmath7b,math,math500,0.75,300,30,225,7.5,0,50,0,0.7779465283167855,0.0550496377764422,0.7779182928777844,0.05502359498880311,0.7670142044814046,0.0590154223693715,0.7670698859587161,0.05900210630267331,-1.08766423580694,-1.0932323835380897,-0.0028235439001100815,0.14982799560758356,0.8843925497351889,8.836110016728986,24.025975138977117
math500_qwenmath7b,math,math500,0.25,300,28,75,2.6785714285714284,0,50,0,0.8820322835736519,0.09211974341409936,0.8830505001366012,0.09050467237914706,0.7832417473105551,0.13658397555109936,0.7831263790666553,0.1366780015057678,-9.890590450699666,-9.879053626309686,0.10182165629493145,0.7767631156613641,0.40519847527274755,51.10445467021805,50.8651899938034
math500_qwenmath7b,math,math500,0.5,300,28,150,5.357142857142857,0,50,0,0.852615980337744,0.12125485662528152,0.8546729818951003,0.11985310185860988,0.6869047928788048,0.10847233819484597,0.6867468888757542,0.10900056285912928,-16.58690914619898,-16.57111874589392,0.20570015573563305,0.48044625921531353,0.46874875539593863,36.59870409189865,45.024894647794824
math500_qwenmath7b,math,math500,0.75,300,28,225,8.035714285714286,0,50,0,0.8559478715880503,0.13751486512342523,0.8591070352213214,0.13552532990950641,0.6561268913134316,0.1211666072550786,0.6564474302974613,0.12149985880950565,-19.950044129058895,-19.98209802746187,0.3159163633271067,0.329583928036945,0.6394240062767227,21.970095608060138,36.14900951846631
math500_r1distill8b,math,math500,0.25,300,28,75,2.6785714285714284,0,50,0,0.8326768289247103,0.015186592619137709,0.8327360192738839,0.015088204774697843,0.8006869042424692,0.040858777675827775,0.8001410348628295,0.041150391681643715,-3.2535794061880785,-3.1989924682241044,0.005919034917356569,0.6129787953921121,0.6008280627160942,22.084815272305555,41.92510755527776
math500_r1distill8b,math,math500,0.5,300,28,150,5.357142857142857,0,50,0,0.8285955566324378,0.027587379342225105,0.8285950538956027,0.027559500773438425,0.8155403954693299,0.031219611491582987,0.8153362285638326,0.03125136572155107,-1.3259328068605192,-1.3055161163107898,-5.027368350507544e-05,0.396546356995693,0.8805546855523657,15.763823058785501,30.256773425792524
math500_r1distill8b,math,math500,0.75,300,28,225,8.035714285714286,0,50,0,0.8354224906069486,0.046278171933011286,0.8354227920198214,0.046256090462841855,0.8199902232878812,0.05093798529649283,0.8196480804180681,0.05074458505759665,-1.5774410188880483,-1.5432267319067439,3.014128727718557e-05,0.30959978993115095,0.9353716922366622,9.24639611744528,20.046690401300843
math500_r1distill8b_mn4096,math,math500,0.25,300,29,75,2.586206896551724,0,50,0,0.8243018616762775,0.016595593445611345,0.8241350325164738,0.016565560196568123,0.7593141598144784,0.03105057642406734,0.7583980008547164,0.031099863816439803,-6.590386082156108,-6.4987701861799145,-0.016682915980370527,0.23886171243002435,0.7619324527606779,21.406779752678144,44.76412274327371
math500_r1distill8b_mn4096,math,math500,0.5,300,29,150,5.172413793103448,0,50,0,0.8295634042480851,0.025461243769842497,0.8293575899707706,0.02548888834122903,0.7878071801046121,0.03657184274319762,0.7868548433439527,0.03665712372174753,-4.270856090413233,-4.175622414347291,-0.020581427731447555,0.08634861305100631,0.8850486287706738,12.10481183482135,30.22638674922331
math500_r1distill8b_mn4096,math,math500,0.75,300,29,225,7.758620689655173,0,50,0,0.8225008578286105,0.03891521262788723,0.8223445484511427,0.03886996618038155,0.7841172876215516,0.04872012666835274,0.7834597762460268,0.04893935266520195,-3.904108158258368,-3.838357020705885,-0.015630937746780038,0.07752026347854456,0.9590322338204298,8.168212939136755,16.782842436373674
trace_gsm8k_llama8b_k10,math,gsm8k,0.25,5000,29,1250,43.10344827586207,0,50,0,0.812338356857121,0.007085366189351876,0.8123714153451261,0.006856574444011745,0.7615300979432911,0.02171725421069956,0.7608495648908584,0.021796825041245974,-5.148879196626255,-5.08082589138299,0.003305848800516653,0.4722450490220871,0.9595983438255709,6.6865416399464355,21.62427943302083
trace_gsm8k_llama8b_k10,math,gsm8k,0.5,5000,29,2500,86.20689655172414,0,50,0,0.8143777373771179,0.006832010756538523,0.8143722955455523,0.006834408934889364,0.7679907040453463,0.010226223378267996,0.7673390540487728,0.010277673155416105,-4.703868332834515,-4.638703333177164,-0.0005441831565589084,0.0545236315888378,0.994539006332481,4.643322473743472,15.53816193338966
trace_gsm8k_llama8b_k10,math,gsm8k,0.75,5000,29,3750,129.31034482758622,0,50,0,0.8123474595275323,0.01285289310491291,0.8123354280076326,0.012852080526660198,0.770273127643446,0.014446988135258639,0.7696776719778121,0.014468304384123245,-4.266978754972017,-4.207433188408627,-0.0012031519899702303,0.044976993115642294,0.9988990982407548,2.9502705207201743,12.979158529326048
trace_math500_qwenmath15b_k10,math,math500,0.25,3000,30,750,25.0,0,50,0,0.686272112965866,0.007806000891458385,0.6862749289231728,0.007804717424936546,0.6619649934975324,0.009940821245598426,0.6616562330624083,0.009964351613968444,-2.4615879903457705,-2.430711946833364,0.0002815957306778749,0.06722648271394827,0.9698345885109462,11.34724636173056,19.752763030414688
trace_math500_qwenmath15b_k10,math,math500,0.5,3000,30,1500,50.0,0,50,0,0.685125489646756,0.013663354762863055,0.6851196300979844,0.013660864990923567,0.6611763764878306,0.013331342151933405,0.6608926811563767,0.013348024727973903,-2.4232808490379343,-2.394911315892545,-0.0005859548771636192,0.05005169461810388,0.9899725622821849,5.704934747281952,10.238203304265587
trace_math500_qwenmath15b_k10,math,math500,0.75,3000,30,2250,75.0,0,50,0,0.6922622263193955,0.02559434855564281,0.6922553955473646,0.025594478760150037,0.6699362297226716,0.024062678448417876,0.6696392661987405,0.024047366593655493,-2.262296012065501,-2.232599659672385,-0.0006830772030896881,0.028626351150796765,0.9977522373777326,3.393287713948748,6.532674966641398
