contrast_id,left_variant_id,right_variant_id,metric_id,source_metric_id,delta,ci_low,ci_high,wins,ties,losses,worst_unit_delta,worst_unit_id,family_wins,family_ties,family_losses,worst_family_delta,worst_family_id,multiplicity_family_size,inference
pb::C5_ENT_ENERGY::P2A_TOPK10_REFERENCE::official_macro_f1,C5_ENT_ENERGY,P2A_TOPK10_REFERENCE,macro_f1,official_macro_f1,-0.007282186749954955,-0.022162384095151193,0.007121020177523491,2,0,6,-0.019772577108153222,processbench_math_qwen3_8b,0,0,4,-0.014298253863675253,omnimath,16,Bonferroni simultaneous percentile interval across 16 opened C1--C8 primary contrasts
pb::C5_ENT_ENERGY::P2A_TOPK10_REFERENCE::first_error_exact,C5_ENT_ENERGY,P2A_TOPK10_REFERENCE,first_error_exact,first_error_exact,-0.006508301458311272,-0.017628832220841717,0.004477190544172457,2,0,6,-0.01932367149758457,processbench_gsm8k_qwen3_4b,1,0,3,-0.01185770750988141,omnimath,1,unadjusted paired diagnostic percentile interval
pb::C5_ENT_ENERGY::P2A_TOPK10_REFERENCE::first_error_within_one,C5_ENT_ENERGY,P2A_TOPK10_REFERENCE,first_error_within_one,first_error_within_one,-0.011632500540939672,-0.023350090331072833,2.553791304962858e-05,2,0,6,-0.03630862329803325,processbench_olympiadbench_qwen3_8b,1,0,3,-0.023569023569023573,math,1,unadjusted paired diagnostic percentile interval
pb::C5_ENT_ENERGY::P2A_TOPK10_REFERENCE::clean_abstention_accuracy,C5_ENT_ENERGY,P2A_TOPK10_REFERENCE,clean_abstention_accuracy,clean_abstention_accuracy,-0.00628726935729973,-0.014860744324469497,0.0021526162136235225,4,0,4,-0.03319502074688796,processbench_omnimath_qwen3_8b,0,0,4,-0.010373443983402508,omnimath,1,unadjusted paired diagnostic percentile interval
pb::C5_ENT_ENERGY::P2A_TOPK10_REFERENCE::overall_decision_accuracy,C5_ENT_ENERGY,P2A_TOPK10_REFERENCE,overall_decision_accuracy,overall_decision_accuracy,-0.0063750000000000195,-0.013812500000000005,0.0010624999999999662,2,0,6,-0.018000000000000016,processbench_math_qwen3_8b,0,0,4,-0.01150000000000001,omnimath,1,unadjusted paired diagnostic percentile interval
pb::C5_ENT_ENERGY::R1_ENTROPY_TOP5::official_macro_f1,C5_ENT_ENERGY,R1_ENTROPY_TOP5,macro_f1,official_macro_f1,0.004692060671073306,-0.011666155340515107,0.02147450064651428,5,0,3,-0.01573161978505566,processbench_math_qwen3_8b,3,0,1,-0.005193290539518586,math,16,Bonferroni simultaneous percentile interval across 16 opened C1--C8 primary contrasts
pb::C5_ENT_ENERGY::R1_ENTROPY_TOP5::first_error_exact,C5_ENT_ENERGY,R1_ENTROPY_TOP5,first_error_exact,first_error_exact,0.0019856001529026668,-0.010786566134203906,0.014808529880548508,5,0,3,-0.018518518518518517,processbench_math_qwen3_8b,3,0,1,-0.010942760942760935,math,1,unadjusted paired diagnostic percentile interval
pb::C5_ENT_ENERGY::R1_ENTROPY_TOP5::first_error_within_one,C5_ENT_ENERGY,R1_ENTROPY_TOP5,first_error_within_one,first_error_within_one,-0.015069668267227998,-0.028988141124934568,-0.0013257002716861852,1,0,7,-0.04208754208754212,processbench_math_qwen3_8b,1,0,3,-0.02777777777777779,math,1,unadjusted paired diagnostic percentile interval
pb::C5_ENT_ENERGY::R1_ENTROPY_TOP5::clean_abstention_accuracy,C5_ENT_ENERGY,R1_ENTROPY_TOP5,clean_abstention_accuracy,clean_abstention_accuracy,0.012291331366246938,0.0035321920584533207,0.021227424974804242,5,0,3,-0.01179941002949858,processbench_olympiadbench_qwen3_8b,4,0,0,0.005181347150259058,gsm8k,1,unadjusted paired diagnostic percentile interval
pb::C5_ENT_ENERGY::R1_ENTROPY_TOP5::overall_decision_accuracy,C5_ENT_ENERGY,R1_ENTROPY_TOP5,overall_decision_accuracy,overall_decision_accuracy,0.006000000000000005,-0.0023750000000000715,0.014624999999999944,5,0,3,-0.008000000000000007,processbench_math_qwen3_8b,4,0,0,0.0020000000000000018,math,1,unadjusted paired diagnostic percentile interval
