outcome,n_rows,n_selected,n_abstained,mean_selected_step_length,median_selected_step_length,q90_selected_step_length
all,6800,4771,2029,130.68518130370992,117.0,219.0
error,4442,3717,725,134.13909066451438,120.0,225.0
clean,2358,1054,1304,118.50474383301707,105.0,196.0
