contrast,lhs,rhs,metric,delta,ci_low,ci_high,wins,ties,losses,worst_cell_delta,wilcoxon_p_raw,protocol,wilcoxon_p_holm
upcr_minus_trilens,upcr,trilens_supervised_lr,auroc,0.001609842910621182,-0.009319175047969537,0.012326743459955448,6,0,7,-0.05879399078113114,0.892578125,paired within identical grouped-CV test folds,1.0
upcr_minus_trilens,upcr,trilens_supervised_lr,auprc,-0.0053816981293422,-0.017703971278388193,0.00923757001900884,5,0,8,-0.09396819421184867,0.541748046875,paired within identical grouped-CV test folds,1.0
upcr_minus_best_single_layer,upcr,best_single_layer,auroc,-0.004056367932123888,-0.011041321349953736,0.0033556123722892368,6,1,6,-0.03771932002985601,0.587890625,paired problem-group bootstrap,1.0
upcr_minus_best_single_layer,upcr,best_single_layer,auprc,-0.010506924987465804,-0.019683411641005247,0.00020542903065867474,6,1,6,-0.0788514634426396,0.541748046875,paired problem-group bootstrap,1.0
upcr_minus_equal_mean,upcr,equal_mean,auroc,0.0006867842793824019,-0.0001156497071810154,0.0014977097487926876,1,12,0,0.0,1.0,paired problem-group bootstrap,1.0
upcr_minus_equal_mean,upcr,equal_mean,auprc,0.0012807038079324972,0.00041903890198817983,0.0021611600498927705,1,12,0,0.0,1.0,paired problem-group bootstrap,1.0
upcr_minus_iu,upcr,iu_pcr,auroc,0.010775879490015,0.007994772011173903,0.013348645674946655,10,1,2,-0.020402036398078582,0.021484375,paired problem-group bootstrap,0.21484375
upcr_minus_iu,upcr,iu_pcr,auprc,0.011473132607198698,0.006105245558625612,0.017882355231504186,8,3,2,-0.04964045500951031,0.146484375,paired problem-group bootstrap,1.0
upcr_minus_dufs,upcr,dufs_liu_pcr,auroc,0.009180203073867422,0.006717626187592025,0.011488917350359154,10,1,2,-0.01953098572491707,0.021484375,paired problem-group bootstrap,0.21484375
upcr_minus_dufs,upcr,dufs_liu_pcr,auprc,0.009480551706766453,0.004912407644872504,0.014685352856030212,9,2,2,-0.04552688192650667,0.146484375,paired problem-group bootstrap,1.0
