channel,group,lsml_weight,partition_equal_weight,ordinary_equal_weight
q15_H1,2,0.07819745563879052,0.05555555555555555,0.09090909090909091
q15_VE1,2,0.07819745563879046,0.05555555555555555,0.09090909090909091
chosen_surprisal,4,0.16797673072963817,0.16666666666666666,0.09090909090909091
logprob_margin,2,0.0781974556387899,0.05555555555555555,0.09090909090909091
true_tail50,3,0.16470011773425974,0.08333333333333333,0.09090909090909091
energy_level,3,0.16470011773425974,0.08333333333333333,0.09090909090909091
energy_innovation,1,0.014877353913240368,0.05555555555555555,0.09090909090909091
top15_turnover,1,0.015706593559494355,0.05555555555555555,0.09090909090909091
top50_js,1,0.015298091034317085,0.05555555555555555,0.09090909090909091
dominant_freq16,5,0.08594965115119456,0.16666666666666666,0.09090909090909091
bocpd_p0,0,0.13619897722722515,0.16666666666666666,0.09090909090909091
