uid,cell,group_id,category,tokens,steps,first_error_step,error_start,error_stop,gate_percentile,log2_tokens,error_start_fraction,error_step_fraction,feature_change_l2,predictor_disagreement,mean_signed_residual
pb_math_q8__3ff4ea3542ca48f2,pb_math_q8,pb_source_v2:1130c8d9572e1e2de369a45d,1,987,13,3,247,359,0.5525,9.946906274456397,0.2502532928064843,0.11347517730496454,2.3565930868013285,0.24704939937247902,-0.0576979140183844
pb_math_q8__cc01c24b920d6b01,pb_math_q8,pb_source_v2:2b9c12cb160cccbf436d0f0c,0,418,5,4,238,389,0.8525,8.707359132080883,0.569377990430622,0.361244019138756,1.9658531413159916,0.25119227828238094,0.09676923425286646
pb_math_q8__aaf58f8b9c081fee,pb_math_q8,pb_source_v2:bbbd8df6fa3675a634a7271d,1,244,4,2,77,131,0.7835,7.930737337562887,0.3155737704918033,0.22131147540983606,1.0612895391883077,0.22863891836428774,0.14673894945188165
pb_math_q8__f24f272c42e7dfbd,pb_math_q8,pb_source_v2:e63c509cc40433821a354c40,0,601,5,3,207,372,0.3365,9.231221180711186,0.34442595673876875,0.27454242928452577,2.792782666673862,0.3163189840530604,0.18426567568649047
pb_math_q8__95500a26de37bc9d,pb_math_q8,pb_source_v2:24e0d4d81e82e7e91cfa4b3f,1,1058,10,2,63,178,0.9535,10.047123912114026,0.05954631379962193,0.10869565217391304,4.329971809489981,0.2957060522023069,0.06956729674030201
pb_math_q8__b28c27fb54f77b20,pb_math_q8,pb_source_v2:7f27e343328fb27397359b33,1,1052,8,3,252,413,0.9325,10.038918989292302,0.23954372623574144,0.15304182509505704,0.9745187669580156,0.24875897880701522,-0.06531717866091048
pb_math_q8__9e1634a876024d6f,pb_math_q8,pb_source_v2:4e47cd549cd91d00124a4e81,2,137,3,1,0,54,0.3195,7.098032082960526,0.0,0.39416058394160586,,0.27534041759981404,-0.009202082922708774
pb_math_q8__8bdea56d0c08b23e,pb_math_q8,pb_source_v2:df332bc05935082028989add,0,187,3,1,0,82,0.5265,7.546894459887636,0.0,0.4385026737967914,,0.19315652225751334,0.11111630619600583
pb_math_q8__35a9678f0d7a94a8,pb_math_q8,prmb_source_v2:0230d72948837c4f9ecd6a8b,1,933,13,6,411,455,0.7255,9.86573327085176,0.4405144694533762,0.04715969989281887,0.8389486109450968,0.24680445255219743,-0.0027044350505506464
pb_math_q8__f2351a92041d76e2,pb_math_q8,pb_source_v2:3f350cdb1f208744fc67fc54,0,454,5,3,159,266,0.9285,8.826548487290914,0.3502202643171806,0.2356828193832599,0.36490483990796585,0.2708754202189636,0.06486645769703733
pb_math_q8__5fbbea80798de3ef,pb_math_q8,pb_source_v2:f2b9d6e3cb5d2968246b84c9,1,762,10,2,52,132,0.9735,9.573647187493322,0.06824146981627296,0.10498687664041995,1.0431634937536856,0.20263000238505616,0.09086638731421537
pb_math_q8__20e90705298256fb,pb_math_q8,pb_source_v2:0c56792c9fff2af9c73b0aeb,2,129,3,1,0,43,0.2995,7.011227255423254,0.0,0.3333333333333333,,0.22145309275254552,-0.10566127562377271
pb_math_q8__c3150b07b4639c23,pb_math_q8,pb_source_v2:d051c7975db227d77be81a03,0,835,5,4,591,718,0.9625,9.705632387361415,0.7077844311377246,0.15209580838323353,4.957504288335517,0.3892825268861462,0.20857407485696156
pb_math_q8__50e489bd1680d4c1,pb_math_q8,pb_source_v2:543fa2b4f0fe3ef6e47b0df7,0,836,8,3,89,293,0.8975,9.707359132080883,0.10645933014354067,0.24401913875598086,2.391631536290601,0.2582175289867874,-0.014619899862965337
pb_math_q8__8b4393d8573b53e7,pb_math_q8,pb_source_v2:f63d2aeb1dcb48773a8ddd37,1,545,8,1,0,97,0.7555,9.090112419664289,0.0,0.1779816513761468,,0.2327818938132833,0.048351885895081256
pb_math_q8__9cd7fcf30461783a,pb_math_q8,pb_source_v2:4b7aefe08b8c237a1281a1dc,1,1099,10,4,225,463,0.6175,10.101975670949232,0.20473157415832574,0.21656050955414013,0.5248987257383548,0.23033509034219107,0.007635786828530622
pb_math_q8__65af5cc029c6469b,pb_math_q8,pb_source_v2:c4556bb72f34b3c8f39c8c8e,1,562,9,7,383,443,0.8485,9.134426320220927,0.6814946619217082,0.10676156583629894,3.358645327925836,0.26447258235892535,-0.11173953312020164
pb_math_q8__5339d0ae39b5ef75,pb_math_q8,prmb_source_v2:90e903a94ef122ee7557080f,2,310,4,4,259,310,0.1235,8.276124405274238,0.8354838709677419,0.16451612903225807,0.7853263519980255,0.2535136507293645,0.182203665698201
