family,model,n,parent_metric_max_abs_error,parent_reconstruction_exact,scores_and_locators_reused_exactly
gsm8k,qwen3_8b,76,0.0,True,True
math,qwen3_8b,182,0.0,True,True
olympiadbench,qwen3_8b,191,0.0,True,True
omnimath,qwen3_8b,186,0.0,True,True
gsm8k,llama31_8b,76,0.0,True,True
math,llama31_8b,182,0.0,True,True
olympiadbench,llama31_8b,191,0.0,True,True
omnimath,llama31_8b,186,0.0,True,True
