delta,family,metric_id,n_groups
0.024788996379398923,gsm8k,macro_f1,76
0.012500000000000011,gsm8k,exact_error,76
-0.08333333333333331,gsm8k,clean_abstention,76
0.024999999999999967,gsm8k,within_one,76
-0.0035096107792194353,math,macro_f1,182
-0.018518518518518504,math,exact_error,182
0.05405405405405406,math,clean_abstention,182
-0.0509259259259259,math,within_one,182
-0.038816444152176055,olympiadbench,macro_f1,191
0.009090909090909094,olympiadbench,exact_error,191
-0.2222222222222222,olympiadbench,clean_abstention,191
0.05909090909090908,olympiadbench,within_one,191
-0.005019688464027061,omnimath,macro_f1,186
-0.014184397163120574,omnimath,exact_error,186
0.07777777777777775,omnimath,clean_abstention,186
-0.031914893617021295,omnimath,within_one,186
