method,method_id,PB_macro_percent,PB_Q4_percent,PB_Q8_percent,PRMB_within_AUC,PRMB_pooled_AUC,PRMScore,valid_answers,within_answers,pb_gsm8k_q4,pb_gsm8k_q8,pb_math_q4,pb_math_q8,pb_olympiadbench_q4,pb_olympiadbench_q8,pb_omnimath_q4,pb_omnimath_q8
Moments through order 3 / equal mean,d3__equal,21.731633121630587,22.754354746279738,20.70891149698144,0.7060960857757894,0.6641516814921505,0.5817528807687382,13769,6030,31.781432952327854,26.912479740680713,27.720954918893813,26.284263047856033,14.612507610681046,13.473807719572712,16.902523503216234,16.16509547981629
Moments through order 3 / IU-PCR,d3__iu,22.3787777247784,23.26411361539061,21.493441834166184,0.7085846047642896,0.6588228461943321,0.581904934664123,13769,6030,31.781432952327854,27.790632729593874,28.10343119447839,26.967946683592515,15.724013490000644,14.35168395348275,17.447576824755537,16.863503969995612
Moments through order 3 / RBM before learning,d3__rbm_initial,35.966210065316105,36.767337993745066,35.16508213688714,0.744067528910734,0.6950464031735148,0.6130847986432351,13769,6030,43.00959361862671,38.60993912847434,34.446923617691105,34.460500421703685,33.394983838348914,32.32432836937813,36.21785090031352,35.26556062799243
Moments through order 3 / trained RBM,d3__rbm,36.20168449360268,37.351290000539755,35.052078986665606,0.7359819427631672,0.7081098773075334,0.6307492926682718,13769,6030,44.54065469904963,39.16653411802132,35.57224922669023,34.32744978697504,32.965886566748964,31.931918739291703,36.32636950967018,34.78241330237435
Moments through order 4 / equal mean,d4__equal,20.943473106679036,21.969936961288568,19.917009252069505,0.7003616070505874,0.6611920689797461,0.5777912402733668,13769,6030,31.26207541290122,25.071105905972896,26.74956945718056,25.937052748301248,13.703443429374563,13.027554506796452,16.164659545697926,15.632323847207424
Moments through order 4 / IU-PCR,d4__iu,21.62821956750188,23.10767982028361,20.148759314720145,0.7040425309950296,0.6586566072345168,0.583651667140412,13769,6030,32.29461756373937,25.071105905972896,28.482503917851155,26.284263047856033,14.38692098092643,13.251299146975192,17.266676818617483,15.988369158076468
Moments through order 4 / RBM before learning,d4__rbm_initial,36.065812063004884,36.78150523583534,35.35011889017442,0.7435493239614811,0.695416301607416,0.6124769829632485,13769,6030,44.163770000265345,38.60993912847434,34.77175644550869,34.59294497800916,32.965886566748964,33.22087642645134,35.224607930818365,34.97671502776286
Moments through order 4 / trained RBM,d4__rbm,36.17336772517356,37.060776967485765,35.28595848286136,0.7349396313986548,0.7088606426777131,0.6288741218230779,13769,6030,44.54065469904963,40.5,34.77175644550869,33.65295814473189,32.821727844462636,31.53446773032175,36.10896888092211,35.45640805639178
Moments through order 5 / equal mean,d5__equal,20.591924285881092,21.400468468557865,19.78338010320431,0.6952340448958183,0.6570875812658827,0.5730737256995494,13769,6030,30.20439061317184,25.071105905972896,26.55264013270716,25.762080823228274,13.242109909512251,13.027554506796452,15.602733218840209,15.27277917681963
Moments through order 5 / IU-PCR,d5__iu,20.765091326840363,21.822828455568565,19.707354198112156,0.6988124995827444,0.657540775576479,0.5798587637943216,13769,6030,29.665830979657898,24.592030360531307,27.528426092160384,25.937052748301248,13.932397204758045,13.027554506796452,16.164659545697926,15.27277917681963
Moments through order 5 / RBM before learning,d5__rbm_initial,36.319385290065654,37.25559307229922,35.38317750783208,0.7443500574036657,0.6941147316382874,0.610077331822743,13769,6030,44.913718383106136,38.889955828692145,35.09392399179491,34.19378890407709,33.67826581036175,33.47225027079623,35.336464103934084,34.97671502776286
Moments through order 5 / trained RBM,d5__rbm,36.15532588381485,36.67725320633926,35.63339856129043,0.7347051238455573,0.7088989991270667,0.6288514365166356,13769,6030,44.163770000265345,41.01140730799732,33.62296162082029,33.10201967892284,33.25251125736058,33.34682463757451,35.669769946910826,35.073342620667056
Moments through order 6 / equal mean,d6__equal,20.1812413516066,21.024189497134195,19.338293206079012,0.6891043599585708,0.650661588912492,0.5677957401489357,13769,6030,29.120633501500738,24.10509310432786,26.55264013270716,25.762080823228274,13.009713034050934,12.576315594334728,15.413771320277952,14.909683302425181
Moments through order 6 / IU-PCR,d6__iu,20.204600941141997,21.082288715999525,19.326913166284474,0.6906032684971303,0.6445213302683003,0.5706941733158359,13769,6030,29.120633501500738,24.10509310432786,26.55264013270716,25.762080823228274,13.242109909512251,12.348800317271465,15.413771320277952,15.091678420310295
Moments through order 6 / RBM before learning,d6__rbm_initial,36.29459417341435,37.14627820322608,35.44291014360264,0.7463248825565488,0.6901095815877019,0.6053132074697835,13769,6030,44.913718383106136,39.16653411802132,35.09392399179491,34.05951356492595,34.37691835481891,33.47225027079623,34.20055208318435,35.073342620667056
Moments through order 6 / trained RBM,d6__rbm,36.37504666989378,37.11854680558358,35.631546534203984,0.7387017592037592,0.710417498206284,0.6292760348084029,13769,6030,46.36890204659544,41.01140730799732,32.781598193943054,33.65295814473189,34.09907905097744,33.47225027079623,35.224607930818365,34.389570413290485
Direct probability + change IU-PCR (34 inputs),ref__delta_iu,34.80850537033642,35.55079175814064,34.06621898253219,0.7369310120605546,0.7069415197528663,0.623944861874893,13769,6030,42.616822429906534,39.43973694195017,34.11939229628114,33.78910249118417,31.498297389330304,30.171946402292622,33.9686549170446,32.864090094701815
Direct probability IU-PCR (17 inputs),ref__direct_iu,34.50209795170901,35.31084473042043,33.6933511729976,0.7327565475977551,0.7038074104714571,0.6205441220076804,13769,6030,43.00959361862671,38.60993912847434,32.95128939828081,33.51618211738892,31.197692225506607,30.310875823560096,34.08480367926758,32.33640762256706
Token entropy reference,ref__entropy,35.444376642134145,36.395290139975124,34.493463144293166,0.7301113611124386,0.7026639408146143,0.625425539209566,13769,6030,44.163770000265345,39.70962571886489,34.77175644550869,33.92461952265841,31.197692225506607,30.449199922884134,35.44794188861985,33.89040741276524
Top-15 varentropy / Normalized equal weights,ref__k15__equal,35.598043643273556,36.12819032849405,35.067896958053055,0.746980350290861,0.6999879034964627,0.6128118227013558,13769,6030,43.78300528084493,40.5,32.44005641748942,33.10201967892284,34.789685163521696,33.597156571763584,33.50001445212013,33.07241158152582
Top-15 varentropy / IU-PCR learned weights,ref__k15__iu,35.34983585022531,35.898223922652384,34.801447777798245,0.74682374405604,0.710261309641098,0.6226885909285921,13769,6030,43.398300313664514,39.97626038608109,32.95128939828081,32.398695854680945,34.09907905097744,32.83986346096764,33.14422692768677,33.9909714094633
Top-15 varentropy / Original sum,ref__k15__raw,35.960987290405434,36.63539010061059,35.286584480200275,0.7377863024015934,0.710137783099181,0.6257812284738609,13769,6030,45.28301886792453,40.75721780750468,32.781598193943054,33.37877000263456,35.332716412888026,33.22087642645134,33.14422692768677,33.78947368421053
Top-50 varentropy / Normalized equal weights,ref__k50__equal,34.87403074470651,35.243554110610184,34.50450737880282,0.7463228077696503,0.7172822630254639,0.6272901548806193,13769,6030,41.003790498851785,39.97626038608109,32.44005641748942,32.398695854680945,33.67826581036175,33.09440236467763,33.8521037157378,32.54867090977162
Top-50 varentropy / IU-PCR learned weights,ref__k50__iu,34.41389288615792,34.606834206290834,34.22095156602501,0.7458324345111156,0.7205546045235346,0.6284092525263825,13769,6030,39.74805983578899,39.16653411802132,32.095604822209864,31.968664610477187,32.965886566748964,33.09440236467763,33.6177856004155,32.654205170923866
Top-50 varentropy / Original sum,ref__k50__raw,35.67552412698325,36.08075114834269,35.27029710562382,0.742464548435578,0.7157833866814454,0.6327768738968429,13769,6030,43.398300313664514,40.5,32.95128939828081,32.112689238832864,34.23826690130017,34.57809177089716,33.73514798012529,33.89040741276524
Six-moment mean,moment__equal,21.731633121630587,22.754354746279738,20.70891149698144,0.7060960857757894,0.6641516814921505,0.5817528807687382,13769,6030,31.781432952327854,26.912479740680713,27.720954918893813,26.284263047856033,14.612507610681046,13.473807719572712,16.902523503216234,16.16509547981629
Six-moment IU-PCR,moment__iu,22.3787777247784,23.26411361539061,21.493441834166184,0.7085846047642896,0.6588228461943321,0.581904934664123,13769,6030,31.781432952327854,27.790632729593874,28.10343119447839,26.967946683592515,15.724013490000644,14.35168395348275,17.447576824755537,16.863503969995612
Original six-moment RBM,moment__rbm,36.20168449360268,37.351290000539755,35.052078986665606,0.7359819427631672,0.7081098773075334,0.6307492926682718,13769,6030,44.54065469904963,39.16653411802132,35.57224922669023,34.32744978697504,32.965886566748964,31.931918739291703,36.32636950967018,34.78241330237435
Six-moment RBM before learning,moment__rbm_initial,35.966210065316105,36.767337993745066,35.16508213688714,0.744067528910734,0.6950464031735148,0.6130847986432351,13769,6030,43.00959361862671,38.60993912847434,34.446923617691105,34.460500421703685,33.394983838348914,32.32432836937813,36.21785090031352,35.26556062799243
Raw powers through degree 1 / mean,power__d1__equal,20.512656525081134,19.783249746448973,21.24206330371329,0.4316816156524087,0.44930770247100543,0.4643318432752085,13769,6030,22.647713649597534,29.872075602166646,24.117626724127998,24.145007745574436,15.282664536879143,13.91515740853288,17.08499407519121,17.036012458579204
Raw powers through degree 1 / IU-PCR,power__d1__iu,27.464559744845822,28.249898672105278,26.679220817586373,0.7346211488948545,0.6739344915775347,0.5887271885606155,13769,6030,34.77168744953799,33.6039483566396,29.415590045955085,28.617041024689065,23.364210277892496,21.466464152853906,25.448106915035535,23.029429736162914
Raw powers through degree 2 / mean,power__d2__equal,20.351384179333508,19.4177842908684,21.28498406779861,0.4301422855017096,0.4470088000773098,0.4637312569497829,13769,6030,21.368322399250232,29.872075602166646,24.117626724127998,24.145007745574436,15.282664536879143,13.91515740853288,16.902523503216234,17.20769551492048
Raw powers through degree 2 / IU-PCR,power__d2__iu,27.63671214857507,28.0772664716416,27.19615782550855,0.7281750937508404,0.6670800107848996,0.584150361277903,13769,6030,34.287776708373435,31.429317613699958,30.328369729521114,29.72295867487169,22.24481253363631,23.050424148473496,25.448106915035535,24.581930864989047
Raw powers through degree 3 / mean,power__d3__equal,20.29916669072583,19.469816002221386,21.12851737923028,0.42933779473146055,0.4456381651361534,0.4637259383486186,13769,6030,21.368322399250232,29.872075602166646,24.325753569539927,23.96049068026127,15.282664536879143,13.473807719572712,16.902523503216234,17.20769551492048
Raw powers through degree 3 / IU-PCR,power__d3__iu,33.00504036905886,33.556761861746345,32.45331887637138,0.7341053209689961,0.6716344060117692,0.5911667925858141,13769,6030,40.17115529826329,37.15596330275229,34.609675254692235,32.25603137364754,27.39213411667852,28.60260709112914,32.054082777351354,31.798673737956545
Longest step + common entropy gate,control__length,33.69435830708854,33.875900172465165,33.51281644171193,0.6181358410980654,0.5861989132220188,0.5278777173269932,13769,6030,38.887941326965716,38.60993912847434,34.609675254692235,34.460500421703685,29.341994817707384,29.182152478713153,32.663989290495316,31.798673737956545
Random step + common entropy gate,control__random_step,20.275017613612,19.639023683952882,20.911011543271123,0.49847952604800216,0.5015348181277717,0.4979413313988752,13769,6030,24.50460133001948,21.54541827370661,21.76227084565346,25.05291212667555,17.447373411720086,16.258435980933502,14.841849148418493,20.787279791768835
