method,pb_all8,pb_q4,pb_q8,clean_accuracy,error_exact_accuracy,error_called_clean,clean_false_alarm
original_static_entropy,0.36167404291580163,0.3692001974954665,0.35414788833613664,0.5008481764206955,0.2705988293561459,863,1177
q15_finalist_entropy,0.3662005249837687,0.3742053299325472,0.35819572003499034,0.5008481764206955,0.2766771724448447,863,1177
original_static_tail15,0.36593664299993134,0.35678831794766364,0.37508496805219915,0.5793044953350297,0.27465105808194507,680,992
integrated_q15_tail15,0.3688182789229951,0.3601804675774421,0.37745609026854815,0.5793044953350297,0.2796037820801441,680,992
