lane,cell,split,condition,iu_auroc,dufs_liu_auroc
global24,ars_gsm8k_r1distill8b,leave_cell_out,original,0.7575953458306399,0.7555551066580478
global24,ars_gsm8k_r1distill8b,leave_cell_out,drop_length_refit_gates,0.7492929864253394,0.747737556561086
global24,ars_gsm8k_r1distill8b,leave_cell_out,train_residualized_refit_gates,0.6563106011635422,0.6593608597285069
global24,epr_triviaqa_mistral24b,leave_cell_out,original,0.7444310402872854,0.7447957580518462
global24,epr_triviaqa_mistral24b,leave_cell_out,drop_length_refit_gates,0.7460021321961621,0.7466754572999664
global24,epr_triviaqa_mistral24b,leave_cell_out,train_residualized_refit_gates,0.7432807765682864,0.7442065985860172
global24,internalstates_gsm8k_qwen25_7b,leave_cell_out,original,0.7115106665895821,0.7098340752731688
global24,internalstates_gsm8k_qwen25_7b,leave_cell_out,drop_length_refit_gates,0.7056715037289703,0.7050933687922761
global24,internalstates_gsm8k_qwen25_7b,leave_cell_out,train_residualized_refit_gates,0.6288373706423079,0.6289722687942032
global24,lapeigvals_gsm8k_llama3b,leave_cell_out,original,0.6964885823069977,0.6964047998063693
global24,lapeigvals_gsm8k_llama3b,leave_cell_out,drop_length_refit_gates,0.6956949758427123,0.6953738095903035
global24,lapeigvals_gsm8k_llama3b,leave_cell_out,train_residualized_refit_gates,0.6617537539214865,0.6623914318429357
global24,lapeigvals_gsm8k_llama8b,leave_cell_out,original,0.8141764752982625,0.8153174793818561
global24,lapeigvals_gsm8k_llama8b,leave_cell_out,drop_length_refit_gates,0.8120345904395868,0.812915365521659
global24,lapeigvals_gsm8k_llama8b,leave_cell_out,train_residualized_refit_gates,0.7787452958603572,0.7788253663223637
global24,lapeigvals_gsm8k_mistral24b,leave_cell_out,original,0.8470316172568049,0.8474410493593146
global24,lapeigvals_gsm8k_mistral24b,leave_cell_out,drop_length_refit_gates,0.8465691106224884,0.8462885738115097
global24,lapeigvals_gsm8k_mistral24b,leave_cell_out,train_residualized_refit_gates,0.7546212753051786,0.7545833649253166
global24,lapeigvals_gsm8k_nemo,leave_cell_out,original,0.7965021328458257,0.7977168393256144
global24,lapeigvals_gsm8k_nemo,leave_cell_out,drop_length_refit_gates,0.7927645744464757,0.7942677229331708
global24,lapeigvals_gsm8k_nemo,leave_cell_out,train_residualized_refit_gates,0.6984927889498274,0.7006134470851106
global24,lapeigvals_gsm8k_phi35,leave_cell_out,original,0.8121067293229737,0.8122357799553219
global24,lapeigvals_gsm8k_phi35,leave_cell_out,drop_length_refit_gates,0.8081328598510132,0.8080661095239366
global24,lapeigvals_gsm8k_phi35,leave_cell_out,train_residualized_refit_gates,0.7289803220035778,0.728824571240399
global24,losnet_hotpotqa_mistral7b,leave_cell_out,original,0.5711578683923559,0.571962316094317
global24,losnet_hotpotqa_mistral7b,leave_cell_out,drop_length_refit_gates,0.5686730188240763,0.5693523302168434
global24,losnet_hotpotqa_mistral7b,leave_cell_out,train_residualized_refit_gates,0.5335275925561772,0.5355476501188795
global24,math500_dsmath7b,leave_cell_out,original,0.7873077756118692,0.7896180781171034
global24,math500_dsmath7b,leave_cell_out,drop_length_refit_gates,0.7844920944336149,0.785647245686232
global24,math500_dsmath7b,leave_cell_out,train_residualized_refit_gates,0.7297668038408779,0.7334488484585951
global24,noise_gsm8k_mistral7b,leave_cell_out,original,0.783711701437906,0.7835162712846429
global24,noise_gsm8k_mistral7b,leave_cell_out,drop_length_refit_gates,0.7786719026619886,0.7786282182747886
global24,noise_gsm8k_mistral7b,leave_cell_out,train_residualized_refit_gates,0.6984213841972879,0.7019621187387628
global24,noise_gsm8k_phi3mini,leave_cell_out,original,0.6754479926803687,0.6782123808886211
global24,noise_gsm8k_phi3mini,leave_cell_out,drop_length_refit_gates,0.675899890651849,0.6777688513980942
global24,noise_gsm8k_phi3mini,leave_cell_out,train_residualized_refit_gates,0.6363560286536788,0.6379990404141841
global24,sciq_llama8b,leave_cell_out,original,0.7415973567278114,0.7406858835593028
global24,sciq_llama8b,leave_cell_out,drop_length_refit_gates,0.739546542098667,0.7393186738065398
global24,sciq_llama8b,leave_cell_out,train_residualized_refit_gates,0.6923778056283467,0.694998290987809
global24,se_nq_open_llama8b,leave_cell_out,original,0.7434733201788304,0.7461331215187997
global24,se_nq_open_llama8b,leave_cell_out,drop_length_refit_gates,0.7452895925134003,0.7474853410265268
global24,se_nq_open_llama8b,leave_cell_out,train_residualized_refit_gates,0.7188304705275272,0.7210003761758993
global24,se_squad_v2_llama8b,leave_cell_out,original,0.8107384022254799,0.810081608624889
global24,se_squad_v2_llama8b,leave_cell_out,drop_length_refit_gates,0.8058903651033671,0.8045594634838918
global24,se_squad_v2_llama8b,leave_cell_out,train_residualized_refit_gates,0.7418166287673288,0.7394999595996905
global24,seiclr_triviaqa_opt30b,leave_cell_out,original,0.8217253221727396,0.8206597208822478
global24,seiclr_triviaqa_opt30b,leave_cell_out,drop_length_refit_gates,0.8199014025351887,0.8189745689998945
global24,seiclr_triviaqa_opt30b,leave_cell_out,train_residualized_refit_gates,0.7633978418478526,0.7621884880971677
global24,semenergy_triviaqa_qwen3_8b,leave_cell_out,original,0.805718481167545,0.805915695970833
global24,semenergy_triviaqa_qwen3_8b,leave_cell_out,drop_length_refit_gates,0.809973458087802,0.8104553770855103
global24,semenergy_triviaqa_qwen3_8b,leave_cell_out,train_residualized_refit_gates,0.7299842560658618,0.7252970275219596
global24,spilled_triviaqa_llama8b,leave_cell_out,original,0.9319999999999999,0.9326666666666666
global24,spilled_triviaqa_llama8b,leave_cell_out,drop_length_refit_gates,0.9306666666666666,0.9286666666666666
global24,spilled_triviaqa_llama8b,leave_cell_out,train_residualized_refit_gates,0.9226666666666666,0.9213333333333332
global24,trace_gsm8k_llama8b_k10,leave_cell_out,original,0.813582839262187,0.813556488801054
global24,trace_gsm8k_llama8b_k10,leave_cell_out,drop_length_refit_gates,0.8114426877470355,0.8114428936100132
global24,trace_gsm8k_llama8b_k10,leave_cell_out,train_residualized_refit_gates,0.7701947463768117,0.7706923171936759
global24,trace_math500_qwenmath15b_k10,leave_cell_out,original,0.6863625618612579,0.6863671519685057
global24,trace_math500_qwenmath15b_k10,leave_cell_out,drop_length_refit_gates,0.6849732894009068,0.6850168954197615
global24,trace_math500_qwenmath15b_k10,leave_cell_out,train_residualized_refit_gates,0.6539280990300338,0.6545661239374858
global24,truthfulqa_llama8b,leave_cell_out,original,0.6615596882666717,0.6601734299215885
global24,truthfulqa_llama8b,leave_cell_out,drop_length_refit_gates,0.6539618042624229,0.6522931498948668
global24,truthfulqa_llama8b,leave_cell_out,train_residualized_refit_gates,0.5900823386375723,0.5907579878767152
processbench,qwen3_8b__gsm8k,model_validation,original,0.7528972991915096,0.7559009786989062
processbench,qwen3_8b__gsm8k,model_validation,drop_length_refit_gates,0.7521714099772221,0.7538985256939752
processbench,qwen3_8b__gsm8k,model_validation,train_residualized_refit_gates,0.7372781657530476,0.7407073665239918
processbench,qwen3_8b__math,model_validation,original,0.7929873447114826,0.7948864673002605
processbench,qwen3_8b__math,model_validation,drop_length_refit_gates,0.7919755850790333,0.7932983364017846
processbench,qwen3_8b__math,model_validation,train_residualized_refit_gates,0.730444842513808,0.7323646978819393
processbench,qwen3_8b__olympiadbench,model_validation,original,0.7829515483378628,0.7839110313773268
processbench,qwen3_8b__olympiadbench,model_validation,drop_length_refit_gates,0.7788146144886401,0.779095765332762
processbench,qwen3_8b__olympiadbench,model_validation,train_residualized_refit_gates,0.7315321828462283,0.7332949540117548
processbench,qwen3_8b__omnimath,model_validation,original,0.8310454354113024,0.8336422132200592
processbench,qwen3_8b__omnimath,model_validation,drop_length_refit_gates,0.828284650583045,0.8292850934019976
