lane,condition,cells,median_target_smoothness_effect,median_length_smoothness_effect,fraction_target_smoother_than_length,median_abs_feature_length_spearman,median_iu_auroc,median_dufs_liu_auroc
global24,original,21,0.18152131667578394,0.8099395883494357,0.0,0.388750908583013,0.783711701437906,0.7835162712846429
global24,drop_length_refit_gates,21,0.18287350790208692,0.6547542484821997,0.09523809523809523,0.3416978437662611,0.7786719026619886,0.7786282182747886
global24,train_residualized_refit_gates,21,0.1600746585479134,0.5364156990368505,0.047619047619047616,0.2174062189879363,0.7188304705275272,0.7210003761758993
processbench,original,4,0.2621635534233071,0.6297110341669692,0.0,0.22356022086680044,0.7879694465246727,0.7893987493387936
processbench,drop_length_refit_gates,4,0.2572410253080454,0.5347494576915223,0.0,0.21752856866034265,0.7853950997838367,0.7861970508672733
processbench,train_residualized_refit_gates,4,0.2229292911063192,0.3718110421196268,0.0,0.09870155369533268,0.734405174299638,0.7370011602678733
ragtruth,original,1,0.3144561961066252,0.9394824841202101,0.0,0.2975972488758279,0.7605228554775729,0.7628823116038053
ragtruth,drop_length_refit_gates,1,0.3059799542252278,0.8075948207805556,0.0,0.29431572643491755,0.7605241308592628,0.7625328570207849
ragtruth,train_residualized_refit_gates,1,0.2541280005430686,0.3367121220525005,0.0,0.07086753945979861,0.6949720627640836,0.6984831885562551
