contrast_id,left_variant_id,right_variant_id,metric_id,delta,ci_low,ci_high,wins,ties,losses,worst_unit_delta,worst_unit_id,multiplicity_family_size
pb::P3B_H2_OUTER_IU::P3A_H2_EQUAL_OUTER_REFERENCE::official_macro_f1,P3B_H2_OUTER_IU,P3A_H2_EQUAL_OUTER_REFERENCE,macro_f1,-0.014613615461214202,-0.02563596019972157,-0.003949771365119244,1,0,7,-0.03289930401545971,processbench_omnimath_qwen3_4b,3
pb::P3B_H2_OUTER_IU::P3A_H2_EQUAL_OUTER_REFERENCE::first_error_exact,P3B_H2_OUTER_IU,P3A_H2_EQUAL_OUTER_REFERENCE,first_error_exact,-0.012989652826362719,-0.022943615977073353,-0.003245081286832598,2,0,6,-0.030303030303030304,processbench_omnimath_qwen3_4b,1
pb::P3B_H2_OUTER_IU::P3A_H2_EQUAL_OUTER_REFERENCE::first_error_within_one,P3B_H2_OUTER_IU,P3A_H2_EQUAL_OUTER_REFERENCE,first_error_within_one,-0.004325385672817095,-0.01594634389555929,0.007233518447896839,3,0,5,-0.04689863842662634,processbench_olympiadbench_qwen3_4b,1
pb::P3B_H2_OUTER_IU::P3A_H2_EQUAL_OUTER_REFERENCE::clean_abstention_accuracy,P3B_H2_OUTER_IU,P3A_H2_EQUAL_OUTER_REFERENCE,clean_abstention_accuracy,-0.019286415020015824,-0.02978947246198302,-0.008657880138108075,3,1,4,-0.051724137931034475,processbench_math_qwen3_8b,1
pb::P3B_H2_OUTER_IU::P3A_H2_EQUAL_OUTER_REFERENCE::overall_decision_accuracy,P3B_H2_OUTER_IU,P3A_H2_EQUAL_OUTER_REFERENCE,overall_decision_accuracy,-0.01518750000000002,-0.022374999999999923,-0.007999999999999952,0,0,8,-0.02749999999999997,processbench_gsm8k_qwen3_8b,1
pb::P3B_H2_OUTER_IU::P3_H0_REFERENCE::official_macro_f1,P3B_H2_OUTER_IU,P3_H0_REFERENCE,macro_f1,-0.0031086750704955035,-0.015121317989595281,0.008727649829487674,3,0,5,-0.014478849765826252,processbench_gsm8k_qwen3_8b,3
pb::P3B_H2_OUTER_IU::P3_H0_REFERENCE::first_error_exact,P3B_H2_OUTER_IU,P3_H0_REFERENCE,first_error_exact,-0.0009973471255784183,-0.011848756105376862,0.00979821406562216,3,2,3,-0.01851851851851849,processbench_math_qwen3_4b,1
pb::P3B_H2_OUTER_IU::P3_H0_REFERENCE::first_error_within_one,P3B_H2_OUTER_IU,P3_H0_REFERENCE,first_error_within_one,0.006843634219809991,-0.0057837824220461674,0.019485676750794302,4,0,4,-0.015128593040847238,processbench_olympiadbench_qwen3_4b,1
pb::P3B_H2_OUTER_IU::P3_H0_REFERENCE::clean_abstention_accuracy,P3B_H2_OUTER_IU,P3_H0_REFERENCE,clean_abstention_accuracy,-0.017894690772159105,-0.02788867296487111,-0.008153797033012614,2,1,5,-0.051724137931034475,processbench_math_qwen3_8b,1
pb::P3B_H2_OUTER_IU::P3_H0_REFERENCE::overall_decision_accuracy,P3B_H2_OUTER_IU,P3_H0_REFERENCE,overall_decision_accuracy,-0.006500000000000006,-0.014124999999999999,0.0010624999999999662,2,0,6,-0.01749999999999996,processbench_gsm8k_qwen3_8b,1
pb::P3A_H2_EQUAL_OUTER_REFERENCE::P3_H0_REFERENCE::official_macro_f1,P3A_H2_EQUAL_OUTER_REFERENCE,P3_H0_REFERENCE,macro_f1,0.011504940390718699,0.0007397733660486401,0.022574001488229127,6,0,2,-0.007976273326633199,processbench_math_qwen3_4b,3
pb::P3A_H2_EQUAL_OUTER_REFERENCE::P3_H0_REFERENCE::first_error_exact,P3A_H2_EQUAL_OUTER_REFERENCE,P3_H0_REFERENCE,first_error_exact,0.0119923057007843,0.001588864422720418,0.022559399834172517,6,0,2,-0.011784511784511731,processbench_math_qwen3_4b,1
pb::P3A_H2_EQUAL_OUTER_REFERENCE::P3_H0_REFERENCE::first_error_within_one,P3A_H2_EQUAL_OUTER_REFERENCE,P3_H0_REFERENCE,first_error_within_one,0.011169019892627086,-0.000754607102293872,0.02304344445135555,6,2,0,0.0,processbench_gsm8k_qwen3_4b,1
pb::P3A_H2_EQUAL_OUTER_REFERENCE::P3_H0_REFERENCE::clean_abstention_accuracy,P3A_H2_EQUAL_OUTER_REFERENCE,P3_H0_REFERENCE,clean_abstention_accuracy,0.0013917242478567182,-0.006641604524066392,0.009482371850880154,4,3,1,-0.014749262536873142,processbench_olympiadbench_qwen3_4b,1
pb::P3A_H2_EQUAL_OUTER_REFERENCE::P3_H0_REFERENCE::overall_decision_accuracy,P3A_H2_EQUAL_OUTER_REFERENCE,P3_H0_REFERENCE,overall_decision_accuracy,0.008687500000000015,0.00187499999999996,0.015749999999999986,6,0,2,-0.0040000000000000036,processbench_math_qwen3_4b,1
