outcome,n_rows,n_selected,n_abstained,mean_selected_step_length,median_selected_step_length,q90_selected_step_length
all,6800,4793,2007,84.89839349050699,74.0,160.0
error,4442,3719,723,88.3124495832213,78.0,163.0
clean,2358,1074,1284,73.07635009310987,63.0,142.0
