outcome,n_rows,n_selected,n_abstained,mean_selected_step_length,median_selected_step_length,q90_selected_step_length
all,6800,4803,1997,79.47282948157401,69.0,152.80000000000018
error,4442,3728,714,82.56679184549357,73.0,156.0
clean,2358,1075,1283,68.74325581395348,57.0,135.0
