outcome,n_rows,n_selected,n_abstained,mean_selected_step_length,median_selected_step_length,q90_selected_step_length
all,6800,4820,1980,118.24211618257262,104.0,203.0
error,4442,3751,691,121.13303119168222,107.0,207.0
clean,2358,1069,1289,108.09822263797942,93.0,191.0
