contrast,primary,ci_level,pb_delta_pp,pb_ci_low_pp,pb_ci_high_pp,prm_within_delta_common,prm_within_ci_low,prm_within_ci_high,common_prm_answers,gained,lost
view__H0lim_minus_view__H1,False,0.95,0.09056928331483416,-0.622794435186349,0.8055061281078085,0.013860263990998939,0.011389116624407914,0.01638746685698465,6030,122,121
view__a0.001_minus_view__H1,False,0.95,0.09056928331483416,-0.622794435186349,0.8055061281078085,0.013852759532526699,0.011389875660401016,0.01637434413445743,6030,122,121
view__a0.01_minus_view__H1,False,0.95,0.059537556811239956,-0.6537723434122501,0.7712126043307868,0.01371338996012288,0.011265675574282461,0.016248543597271924,6030,121,122
view__a0.02_minus_view__H1,False,0.95,0.0329491792101233,-0.6766677302872659,0.7425427941176682,0.013568888191354484,0.01110974297603135,0.016086899520607188,6030,118,121
view__a0.05_minus_view__H1,False,0.95,0.09050360234673649,-0.6172341121409205,0.8164150537149824,0.013147236135849645,0.010680282523668266,0.015624533842540918,6030,118,119
view__a0.1_minus_view__H1,False,0.95,-0.07376261269326223,-0.7698366218489725,0.6367059783143526,0.012412992975921784,0.010018776400571593,0.014850898926288176,6030,112,118
view__a0.15_minus_view__H1,False,0.95,-0.00022144949791136348,-0.6894195847592218,0.7000557006736764,0.01203035032229753,0.009746558444297808,0.014331389302616647,6030,107,110
view__a0.2_minus_view__H1,False,0.95,0.04267103575726905,-0.64045307859249,0.7363953352474497,0.012024686759964417,0.009812873052315794,0.014240796169651848,6030,101,104
view__a0.25_minus_view__H1,False,0.95,0.0747120785338784,-0.5761322015284157,0.741494896026462,0.011279969678338497,0.009176737039101445,0.013355402518033918,6030,98,99
view__a0.3_minus_view__H1,False,0.95,0.046580140240859436,-0.5840990031898109,0.6997986197288243,0.010690487237644637,0.008709638571023717,0.012687662552432036,6030,93,94
view__a0.4_minus_view__H1,False,0.95,0.049108303404010734,-0.5621073832081666,0.6790328988232278,0.00931539558907836,0.007538170621800144,0.011108936792663636,6030,80,81
view__a0.5_minus_view__H1,False,0.95,0.10763605233862772,-0.43474569011501774,0.6471888295448902,0.007000571864162928,0.0054467041828940976,0.008582982003499112,6030,71,66
view__a0.75_minus_view__H1,False,0.95,-0.019426874177302933,-0.3578657511456898,0.31500578707438487,0.0028681033786220455,0.0019515678265975877,0.0037850080806527764,6030,33,35
view__a1.5_minus_view__H1,False,0.95,0.017849422120996827,-0.3515982052173942,0.38410709667804266,-0.0035965022592898827,-0.004757000101269262,-0.002422076260666273,6030,45,45
view__a2_minus_view__H1,False,0.95,0.14625783660994207,-0.356389591888685,0.6401410620755293,-0.005953454340223556,-0.007520255933682934,-0.004386228359793387,6030,75,70
view__a3_minus_view__H1,False,0.95,0.33656677954241876,-0.21206341628641168,0.8869770031728268,-0.00816826171927467,-0.010013787165572444,-0.006356945793528867,6030,101,84
view__a4_minus_view__H1,False,0.95,0.360380188117132,-0.24928975091848657,0.9715134392487471,-0.009408558908875304,-0.011441866089424404,-0.007416864933205843,6030,116,96
view__a8_minus_view__H1,False,0.95,0.4346773249211233,-0.26818014564316345,1.1254330028807369,-0.010940074427507739,-0.013067995805915932,-0.008833166868101355,6030,143,116
view__Hinf_minus_view__H1,False,0.95,0.3301076397996261,-0.4040862979461717,1.039781100800983,-0.012266363796783017,-0.014462883935769102,-0.010070795248452119,6030,156,139
view__H0lim_minus_view__a0.1,False,0.95,0.1643318960080964,-0.05900933791960176,0.39522181904582987,0.001447271015077157,0.0009091751626741852,0.0019905521696607837,6030,15,8
view__a0.001_minus_view__a0.1,False,0.95,0.1643318960080964,-0.05900933791960176,0.39522181904582987,0.001439766556604919,0.0009002023255341853,0.001984131283826463,6030,15,8
