model_id,slice_id,cell_id,official_macro_f1,first_error_exact,first_error_within_one,clean_abstention_accuracy,overall_decision_accuracy,n_examples,n_error,n_clean
qwen3_4b,gsm8k,processbench_gsm8k_qwen3_4b,0.3090557891148733,0.2463768115942029,0.4830917874396135,0.41450777202072536,0.3275,400,207,193
qwen3_4b,math,processbench_math_qwen3_4b,0.2612661622934643,0.18013468013468015,0.4074074074074074,0.4753694581280788,0.3,1000,594,406
qwen3_4b,olympiadbench,processbench_olympiadbench_qwen3_4b,0.2792794485038601,0.19062027231467474,0.4493192133131619,0.5221238938053098,0.303,1000,661,339
qwen3_4b,omnimath,processbench_omnimath_qwen3_4b,0.24273447820343463,0.15151515151515152,0.3675889328063241,0.6099585062240664,0.262,1000,759,241
qwen3_8b,gsm8k,processbench_gsm8k_qwen3_8b,0.32128744881097776,0.25120772946859904,0.46859903381642515,0.44559585492227977,0.345,400,207,193
qwen3_8b,math,processbench_math_qwen3_8b,0.2655278614199192,0.1750841750841751,0.40404040404040403,0.5492610837438424,0.327,1000,594,406
qwen3_8b,olympiadbench,processbench_olympiadbench_qwen3_8b,0.28914914535074254,0.19213313161875945,0.4493192133131619,0.584070796460177,0.325,1000,661,339
qwen3_8b,omnimath,processbench_omnimath_qwen3_8b,0.23921710764769846,0.14492753623188406,0.35046113306982873,0.6846473029045643,0.275,1000,759,241
