outcome,n_rows,n_selected,n_abstained,mean_selected_step_length,median_selected_step_length,q90_selected_step_length
all,6800,4814,1986,85.44329040299128,74.0,160.0
error,4442,3725,717,89.26013422818792,78.0,164.5999999999999
clean,2358,1089,1269,72.38751147842056,61.0,142.0
