cell,family,kappa,gamma,tail_effect_pp,head_effect_pp
math500_qwenmath7b,math500,10.0,1.7396371908842723,-0.2789046653144056,0.02535496957404293
math500_qwenmath7b,math500,30.0,0.5398865117951276,-0.6465517241379337,-0.01901622718052387
math500_qwenmath7b,math500,100.0,0.1581476593576725,-1.2677484787018134,-0.0063387423934968545
math500_qwenmath7b,math500,300.0,0.05236240641274944,-3.6637931034482762,0.006338742393519059
math500_r1distill8b,math500,3.0,7.041891091629349,0.2771136709411204,-0.05976961530100855
math500_r1distill8b,math500,10.0,1.564861784679512,0.7226689850032719,-0.03260160834600567
math500_r1distill8b,math500,30.0,0.48564418725097264,0.9454466420343532,-0.016300804172997285
math500_r1distill8b,math500,100.0,0.1422567698873465,0.07607041947403914,0.0
math500_r1distill8b,math500,300.0,0.047099243814291966,-1.0812866768093898,0.0
math500_r1distill8b_mn4096,math500,3.0,8.12877149382033,-0.14945588716080982,-0.3689692214282281
math500_r1distill8b_mn4096,math500,10.0,1.8063918971020894,-1.4245014245014231,-0.15412638363457853
math500_r1distill8b_mn4096,math500,30.0,0.5606028140048989,-3.62430526364953,-0.06538695063283972
math500_r1distill8b_mn4096,math500,100.0,0.16421537847397466,-6.449955630283499,-0.018681985895097064
math500_r1distill8b_mn4096,math500,300.0,0.054370795288147575,-7.958525991312881,-0.009340992947548532
noise_gsm8k_mistral7b,gsm8k,3.0,6.020307007103905,-0.19336089281690727,-0.010346302231578619
noise_gsm8k_mistral7b,gsm8k,10.0,1.3378231186212415,-0.7545903094234196,-0.006897534821059814
noise_gsm8k_mistral7b,gsm8k,30.0,0.415166194782293,-1.6326464921437078,0.0022991782736792032
noise_gsm8k_mistral7b,gsm8k,100.0,0.121593537197173,-2.677623017533537,0.00045983565473139976
noise_gsm8k_mistral7b,gsm8k,300.0,0.04024038793803799,-3.407612119428527,0.000919671309485004
noise_gsm8k_phi3mini,gsm8k,3.0,4.706307307049199,-0.4039186806810813,0.15314320144608207
noise_gsm8k_phi3mini,gsm8k,10.0,1.0458100412259166,-1.5035370779496127,0.062205708419815764
noise_gsm8k_phi3mini,gsm8k,30.0,0.32452979180260977,-3.0653745732074578,0.024826493494900514
noise_gsm8k_phi3mini,gsm8k,100.0,0.09503153062246666,-4.785097409118288,0.010042177144009568
noise_gsm8k_phi3mini,gsm8k,300.0,0.03143430583293825,-5.700888174778518,0.004184240476667878
sciq_llama8b,sciq,3.0,6.9478856666249555,-0.022786829212728676,-0.03418024381908191
sciq_llama8b,sciq,10.0,1.5439465412579971,-0.14811438988265868,-0.05696707303179949
sciq_llama8b,sciq,30.0,0.479130950052685,-0.5127036572860955,-0.04557365842543515
sciq_llama8b,sciq,100.0,0.1403259892146312,-1.4697504842201226,-0.056967073031788384
sciq_llama8b,sciq,300.0,0.04643832687059337,-2.0052409707189245,-0.022786829212717574
se_nq_open_llama8b,nq_open,3.0,5.490909526137066,0.0973470509347818,0.08650087890912372
se_nq_open_llama8b,nq_open,10.0,1.2201300521189014,0.22399386931174492,0.034238998952584865
se_nq_open_llama8b,nq_open,30.0,0.3785971508345338,0.23853747285310645,0.013201117060646084
se_nq_open_llama8b,nq_open,100.0,0.1108366822440533,0.13906481832383077,0.003641494579020854
se_nq_open_llama8b,nq_open,300.0,0.03663645683436447,-0.07879276903218768,0.0015494531465320982
se_squad_v2_llama8b,squad_v2,3.0,5.391198672762508,-0.018988145394949196,-0.0462872115706503
se_squad_v2_llama8b,squad_v2,10.0,1.1980377792727763,-0.1823785393556876,-0.007387485138454775
se_squad_v2_llama8b,squad_v2,30.0,0.3717991795703661,-0.6050812046218157,0.014659540821626571
se_squad_v2_llama8b,squad_v2,100.0,0.10890507966505375,-1.560548520771543,-0.0005771472764370955
se_squad_v2_llama8b,squad_v2,300.0,0.03605339407256395,-2.4659771680537568,-0.00028857363822965
seiclr_triviaqa_opt30b,triviaqa,3.0,3.653224038323626,-0.13625932300631582,-0.4253722127459225
seiclr_triviaqa_opt30b,triviaqa,10.0,0.8115723531924706,-1.3068931716616605,-0.13418504254043562
seiclr_triviaqa_opt30b,triviaqa,30.0,0.2516409866641641,-3.05078417449427,-0.04130873268860524
seiclr_triviaqa_opt30b,triviaqa,100.0,0.07348100640515748,-5.176680456611837,-0.007251941783792404
seiclr_triviaqa_opt30b,triviaqa,300.0,0.024110347757176666,-7.539559262032114,-0.0017526865952022241
semenergy_triviaqa_qwen3_8b,triviaqa,3.0,4.49485935287528,0.02196586375926568,0.27605916194721747
semenergy_triviaqa_qwen3_8b,triviaqa,10.0,0.9986874978071041,-0.26199020285071484,0.077244196398496
semenergy_triviaqa_qwen3_8b,triviaqa,30.0,0.30978663966559156,-0.6679118838440301,0.027452134367056402
semenergy_triviaqa_qwen3_8b,triviaqa,100.0,0.0905909120751103,-1.5006404805308127,0.0066708063072074
semenergy_triviaqa_qwen3_8b,triviaqa,300.0,0.02984866553785319,-2.610010116350514,0.007294246149003314
spilled_triviaqa_llama8b,triviaqa,3.0,7.005079209868222,-0.20000000000001128,-0.06666666666667043
spilled_triviaqa_llama8b,triviaqa,10.0,1.5566484889235614,-1.8000000000000127,-0.06666666666667043
spilled_triviaqa_llama8b,triviaqa,30.0,0.4830660808556483,-9.066666666666679,-0.06666666666667043
spilled_triviaqa_llama8b,triviaqa,100.0,0.14147167828858492,-16.333333333333332,0.0
spilled_triviaqa_llama8b,triviaqa,300.0,0.04681102205882059,-20.333333333333336,0.0
trace_gsm8k_llama8b_k10,gsm8k,3.0,7.202278370700902,-0.18192111330699312,-0.01692193675889575
trace_gsm8k_llama8b_k10,gsm8k,10.0,1.600497755633347,-0.9689764492753716,-0.003108530961792866
trace_gsm8k_llama8b_k10,gsm8k,30.0,0.4966986196594447,-2.3908720355731328,-0.0009881422924795658
trace_gsm8k_llama8b_k10,gsm8k,100.0,0.14548980366774844,-3.8743000658761573,-4.117259552183228e-05
trace_gsm8k_llama8b_k10,gsm8k,300.0,0.04816485704797597,-4.830163043478263,0.00016469038206512465
trace_math500_qwenmath15b_k10,math500,3.0,7.35676837176193,-0.30914372314309047,0.0013005303868940388
trace_math500_qwenmath15b_k10,math500,10.0,1.6348267475494578,-1.0034739461687647,-0.001071025024490524
trace_math500_qwenmath15b_k10,math500,30.0,0.5073505654386256,-1.9078015757838185,0.0003825089373243884
trace_math500_qwenmath15b_k10,math500,100.0,0.14860814385790633,-2.939810688676747,0.000535512512245262
trace_math500_qwenmath15b_k10,math500,300.0,0.049195528226364436,-3.9370879900608946,0.000535512512245262
truthfulqa_llama8b,truthfulqa,3.0,4.85037592117028,0.245497966169006,-0.15070781956215695
truthfulqa_llama8b,truthfulqa,10.0,1.0777940485890813,0.40537142956512673,-0.05459535675003124
truthfulqa_llama8b,truthfulqa,30.0,0.3344281623661852,0.4044476196134683,-0.020885350475374764
truthfulqa_llama8b,truthfulqa,100.0,0.09790265311344548,0.24817882642083067,-0.006847061994530446
truthfulqa_llama8b,truthfulqa,300.0,0.0323580781652424,0.04812868708853335,-0.002463493204374334
