cell,family,kappa,gamma,tail_effect_pp,head_effect_pp
ars_gsm8k_r1distill8b,gsm8k,3.0,4.673247081218226,-0.46056884292176026,-0.2060439560439442
ars_gsm8k_r1distill8b,gsm8k,10.0,1.0384993513818277,-1.840255332902374,-0.052521008403338953
ars_gsm8k_r1distill8b,gsm8k,30.0,0.32229290215298084,-3.920895281189374,-0.032320620555903457
ars_gsm8k_r1distill8b,gsm8k,100.0,0.09440903194380224,-6.187378797672904,-0.016160310277946177
ars_gsm8k_r1distill8b,gsm8k,300.0,0.0312591778007905,-7.5650452488687625,-0.0020200387847335577
epr_triviaqa_mistral24b,triviaqa,3.0,6.391001076008798,-0.15430366962181363,0.0070138031646349575
epr_triviaqa_mistral24b,triviaqa,10.0,1.4201541043312076,-0.5582987319043831,-0.004208281898765431
epr_triviaqa_mistral24b,triviaqa,30.0,0.4406768685326675,-0.8669060711480103,-0.009819324430482279
epr_triviaqa_mistral24b,triviaqa,100.0,0.12902502077858663,-1.130625070138025,-0.007013803164623855
epr_triviaqa_mistral24b,triviaqa,300.0,0.04266187137707354,-1.3228032768488385,-0.0028055212658473216
internalstates_gsm8k_qwen25_7b,gsm8k,3.0,5.852450817001145,-0.34688096201653806,-0.003854232911293387
internalstates_gsm8k_qwen25_7b,gsm8k,10.0,1.3005228457095162,-0.9346514809890016,-0.003854232911293387
internalstates_gsm8k_qwen25_7b,gsm8k,30.0,0.40359122575057443,-1.5783083771752415,0.0
internalstates_gsm8k_qwen25_7b,gsm8k,100.0,0.11820389212727482,-2.539939488543308,0.0
internalstates_gsm8k_qwen25_7b,gsm8k,300.0,0.03911901228899782,-3.6807924302865724,0.0
lapeigvals_gsm8k_llama3b,gsm8k,3.0,7.022235396842843,0.12381191759527344,-0.08704070898613026
lapeigvals_gsm8k_llama3b,gsm8k,10.0,1.5604841078293368,-0.07214604220775467,-0.03956395863004003
lapeigvals_gsm8k_llama3b,gsm8k,30.0,0.48427695728480363,-0.9120656110071512,-0.02164381266233084
lapeigvals_gsm8k_llama3b,gsm8k,100.0,0.14184740938427032,-2.4718164977052814,-0.007912791726005786
lapeigvals_gsm8k_llama3b,gsm8k,300.0,0.04695532253175749,-3.860511445620496,-0.0016291041788796257
lapeigvals_gsm8k_llama8b,gsm8k,3.0,7.202993445828123,0.04804227720393017,0.08407398510688058
lapeigvals_gsm8k_llama8b,gsm8k,10.0,1.600656171618358,-0.3082712787252917,0.06805989270558532
lapeigvals_gsm8k_llama8b,gsm8k,30.0,0.49674734911397084,-0.912803266874862,0.014012330851143062
lapeigvals_gsm8k_llama8b,gsm8k,100.0,0.14550363286257495,-1.9577227960605348,-0.008007046200653178
lapeigvals_gsm8k_llama8b,gsm8k,300.0,0.04816901488559948,-2.844503162783263,-0.010008807750827575
lapeigvals_gsm8k_mistral24b,gsm8k,3.0,7.304802701912198,-1.1668814921525494,0.03108651148684416
lapeigvals_gsm8k_mistral24b,gsm8k,10.0,1.6232785524467748,-3.7417544923800117,0.044734248237165986
lapeigvals_gsm8k_mistral24b,gsm8k,30.0,0.5037664047688589,-6.328000606566075,0.017438774736522333
lapeigvals_gsm8k_mistral24b,gsm8k,100.0,0.14755799414406742,-8.156797331109244,0.006823868375160913
lapeigvals_gsm8k_mistral24b,gsm8k,300.0,0.048847588906428145,-8.584426415952674,-0.0015164151944691007
lapeigvals_gsm8k_nemo,gsm8k,3.0,5.720705137286472,-0.11253300832826385,0.03250050782043212
lapeigvals_gsm8k_nemo,gsm8k,10.0,1.2712476553396828,-0.42372537070891614,0.022750355474288053
lapeigvals_gsm8k_nemo,gsm8k,30.0,0.3945072648082958,-1.0416412756449334,0.006500101564077543
lapeigvals_gsm8k_nemo,gsm8k,100.0,0.11554441327558171,-1.904123501929711,0.0032500507820332203
lapeigvals_gsm8k_nemo,gsm8k,300.0,0.03823984858901976,-2.6951046110095356,-0.0012187690432763354
lapeigvals_gsm8k_phi35,gsm8k,3.0,5.347604288413182,-0.28880641515143246,-0.00890004361020491
lapeigvals_gsm8k_phi35,gsm8k,10.0,1.1883304034636168,-0.849509162594897,0.024030117747586566
lapeigvals_gsm8k_phi35,gsm8k,30.0,0.36876904682330847,-1.5170124333609314,0.0062300305271434375
lapeigvals_gsm8k_phi35,gsm8k,100.0,0.10799952425593769,-2.1987557739032937,0.004895023985618252
lapeigvals_gsm8k_phi35,gsm8k,300.0,0.03573658919187888,-2.645537963136013,0.0017800087220409821
losnet_hotpotqa_mistral7b,hotpotqa,3.0,5.525526371708007,-0.17697849443143454,0.02145193871896378
losnet_hotpotqa_mistral7b,hotpotqa,10.0,1.2278947492684458,-0.4737303133770632,0.0017876615599154988
losnet_hotpotqa_mistral7b,hotpotqa,30.0,0.3810707842557244,-0.7776327785623649,0.007150646239650893
losnet_hotpotqa_mistral7b,hotpotqa,100.0,0.11162679538804024,-0.9045567493162321,0.007150646239650893
losnet_hotpotqa_mistral7b,hotpotqa,300.0,0.036960042620120134,-0.9885768426321495,0.0
math500_dsmath7b,math500,3.0,5.3212404592128735,-0.2815681178254259,0.19493177387914784
math500_dsmath7b,math500,10.0,1.1824833876785659,-1.0901739946574174,0.10107573460400587
math500_dsmath7b,math500,30.0,0.3669647528934807,-2.274204028589988,0.04331817197313903
math500_dsmath7b,math500,100.0,0.10748155091640806,-3.5881885784419865,0.0072196953288639065
math500_dsmath7b,math500,300.0,0.03557507354101288,-4.598945924481979,0.0
math500_qwenmath7b,math500,3.0,7.828371887261681,-0.2535496957403627,0.30425963488843744
